"K562_111_S31"	"K562_119_S32"	"K562_S30"	"MOLM13_108_S28"	"MOLM13_115_S29"	"MOLM13_S27"	"TUH162_S40"	"TUH167_S35"	"TUH215_S34"	"TUH219_S33"	"TUH90_S41"	"TUH93_S37"	"TUH96.METAML_S39"	"TUH96.VDM_S38"	"TUH99_S36"
"ENSG00000230829"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230830"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230831"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230832"	1	0	0	0	0	0	2	1	0	2	0	1	2	0	0
"ENSG00000230833"	1	0	0	0	3	0	1	3	0	0	0	1	0	2	0
"ENSG00000230834"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230835"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230836"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"ENSG00000230837"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230838"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230840"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230841"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230843"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230844"	445	467	592	69	95	5	304	153	26	188	406	246	183	186	215
"ENSG00000230845"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230846"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230847"	0	0	0	11.64	12.75	0	36.7	4.05	0	33.37	62.06	7.56	21.42	13.97	0
"ENSG00000230848"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230849"	0	0	0	0	0	0	0	7	0	0	0	9	4	11	7
"ENSG00000230851"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230852"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ENSG00000230853"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230854"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230859"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230860"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230863"	81	108	100	0	1	0	1	0	0	0	0	0	0	1	2
"ENSG00000230864"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230865"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230866"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"ENSG00000230867"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230869"	9.77	10.27	7.18	1.28	1.21	0	25.72	28.61	1.23	5.63	28.09	32.13	11.05	27.83	9.45
"ENSG00000230870"	13	5	3	1	0	0	0	3	0	5	4	6	2	6	4
"ENSG00000230871"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230872"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000230873"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230876"	2	0	0	0	0	0	0	2	0	0	0	4	1	0	1
"ENSG00000230879"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230881"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230882"	113	57	35	107	135	13	0	7	0	2	1	0	0	0	0
"ENSG00000230886"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230889"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230891"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230894"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230896"	9	7	11	0	2	0	0	0	0	0	3	2	0	1	1
"ENSG00000230897"	0.88	2.07	1.1	1.15	2.12	0	0	0	0	4.53	0	0	2.18	1.32	0
"ENSG00000230898"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230899"	7	5	4	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230902"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230904"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230908"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230910"	3	0	3	0	0	0	0	1	0	7	0	1	0	0	4
"ENSG00000230911"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000230912"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230913"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230914"	5	1	1	1	3	0	0	0	0	0	0	0	0	0	0
"ENSG00000230916"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230918"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ENSG00000230920"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230921"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230922"	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230923"	0	0	0	0	0	0	5	1	11	1	1	56	2	0	0
"ENSG00000230926"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230927"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230928"	2	0	2	11	8	0	5	18	0	6	0	29	7	20	47
"ENSG00000230929"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230931"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230932"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230934"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230935"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"ENSG00000230936"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230937"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230941"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230942"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230943"	0	0	0	0	0	0	5	0	0	0	4	2	2	14	2
"ENSG00000230944"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230945"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230946"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230947"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230948"	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ENSG00000230950"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230951"	0	0	0	2	1	0	1	0	0	0	0	6	2	4	0
"ENSG00000230952"	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
"ENSG00000230953"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230955"	2	1	8	0	2	0	0	0	0	0	0	0	0	0	0
"ENSG00000230956"	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000230958"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230960"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230962"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230964"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230965"	21	10	8	4	2	0	1	0	0	0	0	0	0	0	2
"ENSG00000230967"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230968"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230969"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230970"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230971"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230972"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230973"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230975"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230977"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230978"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230979"	27	18.03	63	35	74	21	24	6	6	49	23	10	16	12	8
"ENSG00000230980"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230982"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230986"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230987"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230988"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230989"	5193	4834	4971	2424	3342	274	2660	1105	724	3335	2813	2502	2895	1671	1281
"ENSG00000230990"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"ENSG00000230991"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230992"	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230993"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230994"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000230997"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000230999"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231005"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231006"	7.27	8.57	22.46	8.15	14.57	0	12.39	7.16	4.12	13.12	3.02	6.11	3.44	0	7.1
"ENSG00000231007"	177	176	208	0	0	0	0	1	9	8	0	0	0	0	7
"ENSG00000231009"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231010"	0	0	0	0	0	0	66	0	0	1	49	71	28	19	2
"ENSG00000231011"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231013"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231015"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231018"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231019"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231020"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231022"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231023"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231026"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231028"	12	9	20	14	14	0	42	37	0	12	28	30	34	30	22
"ENSG00000231029"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231031"	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231032"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231034"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231035"	1	0	1	1	0	1	2	2	0	0	0	9	0	5	4
"ENSG00000231039"	0	0	0	0	0	0	0	0	6	1	2	4	0	1	1
"ENSG00000231040"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231043"	5	0	3	0	2	1	2	0	1	2	5	2	2	0	0
"ENSG00000231046"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231047"	0	0	1	2	3	0	21	21	27	62	27	26	67	213	23
"ENSG00000231049"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231050"	7	5	5	5	1	0	1	7	0	6	14	10	9	1	18
"ENSG00000231051"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231052"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231053"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231054"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231056"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231057"	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231058"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231060"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231061"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231062"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231063"	2	0	0	0	0	0	0	0	0	0	1	6	0	1	0
"ENSG00000231064"	18	10	10	0	0	0	0	7	0	3	5	1	3	4	0
"ENSG00000231066"	34	19	22	12	7	0	0	4	2	8	0	3	3	5	2
"ENSG00000231068"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231069"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231070"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231071"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231073"	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0
"ENSG00000231074"	6326	3461	3878	2854	2897	186	1493	2659	304	1260	1254	2030	2020	3422	1106
"ENSG00000231078"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231079"	0	0	0	0	0	0	13	0	0	0	3	13	1	5	1
"ENSG00000231080"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ENSG00000231081"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000231082"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231083"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"ENSG00000231084"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231086"	1	1	5	0	0	0	2	0	0	1	3	3	0	2	0
"ENSG00000231087"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231090"	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0
"ENSG00000231092"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231093"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231095"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
"ENSG00000231096"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231098"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231099"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231100"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231102"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231104"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231105"	0	0	0	0	0	0	1	2	0	4	2	2	0	0	6
"ENSG00000231106"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	61
"ENSG00000231107"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231108"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"ENSG00000231110"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231112"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231113"	18	6	5	25	34	0	44	47	13	22	22	31	39	58	40
"ENSG00000231114"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231119"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231120"	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231122"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000231123"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231124"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231125"	36	35	45	29	16	0	21	8	0	13	18	3	8	21	4
"ENSG00000231128"	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0
"ENSG00000231130"	0	0	0	0	0	0	0	1	0	4	0	2	0	0	4
"ENSG00000231131"	0	0	0	87	108	29	515	312	114	247	172	587	171	141	176
"ENSG00000231132"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231133"	0	0	0	0	0	0	3	9	0	1	0	0	0	0	0
"ENSG00000231134"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231136"	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231137"	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000231138"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231139"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231140"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231141"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231143"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231144"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231147"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231148"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231149"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231150"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231152"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231153"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231154"	11	10	6	13	15	0	16	22	0	7	10	23	26	20	28
"ENSG00000231156"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231158"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231159"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231160"	14	0	5	0	0	0	260	237	70	114	166	619	543	357	149
"ENSG00000231162"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"ENSG00000231163"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231164"	0	0	0	2	4	0	0	2	0	0	0	1	0	4	1
"ENSG00000231165"	2	1	1	0	0	0	0	0	0	0	0	0	0	1	2
"ENSG00000231166"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231167"	3	0	0	0	0	0	0	1	0	1	0	0	0	3	3
"ENSG00000231169"	2	1	5	5	4	0	2	0	1	10	2	0	3	2	2
"ENSG00000231170"	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1
"ENSG00000231171"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231172"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231173"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231175"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231177"	120	123	85	150	113	0	87	177	67	70	93	193	94	131	305
"ENSG00000231178"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231181"	10	11	10	7	10	0	8	19	0	6	1	20	5	9	5
"ENSG00000231183"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231184"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000231185"	24	25	24	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231187"	10	0	2	0	0	0	0	5	0	38	7	3	2	1	98
"ENSG00000231188"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231189"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000231192"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"ENSG00000231193"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231194"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231195"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231198"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231199"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231201"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231202"	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0
"ENSG00000231203"	3	0	5	0	0	0	0	0	0	1	0	0	0	0	0
"ENSG00000231204"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231205"	295	27	37	0	0	0	1	46	0	43	36	51	0	2	23
"ENSG00000231206"	0	0	0	0	0	0	0	0	0	0	0	1.03	0	0	0
"ENSG00000231207"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231208"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231210"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231211"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231212"	0	0	0	9	2	0	4	0	0	1	12	5	7	13	11
"ENSG00000231213"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231216"	74	82	84	0	0	0	0	0	0	1	0	0	0	0	0
"ENSG00000231219"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231221"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231222"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231226"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231227"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231228"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231231"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000231232"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231233"	41	59	56	0	0	0	4	9	14	10	7	5	3	2	11
"ENSG00000231234"	8.23	0	7.24	0	1.85	0	0	1.7	0	7.06	0	4.4	2.57	1.22	4.7
"ENSG00000231235"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231236"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231237"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231238"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231241"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ENSG00000231243"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231244"	3	1	7	2	3	0	2	0	1	5	1	2	1	1	0
"ENSG00000231245"	1	3	8	1	7	0	3	0	1	5.97	2	0	0	0	2.96
"ENSG00000231246"	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
"ENSG00000231248"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231249"	13	14	26	7	7	0	13	11	8	13	22	39	12	6	5
"ENSG00000231251"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231252"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231253"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231254"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231255"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231256"	3	0	0	18	7	0	3	2	0	11	5	7	2	3	5
"ENSG00000231258"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231259"	150.11	10.66	71.51	89.1	114.46	0	505.03	137.76	22.52	146.04	289.85	331.2	315.13	201.69	182.24
"ENSG00000231261"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231264"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231265"	0	0	0	4	2	0	0	0	0	0	0	0	1	0	0
"ENSG00000231266"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231270"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231271"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231272"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231274"	5	8	15	0	0	0	0	3	6	7	0	0	0	0	0
"ENSG00000231276"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"ENSG00000231278"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000231280"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231290"	55	0	0	0	0	0	0	3	0	3	0	0	0	0	3
"ENSG00000231291"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231292"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231293"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231295"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231296"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231297"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231298"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231299"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231300"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231301"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231302"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231304"	5	10	2	4	0	0	4	10	20	0	9	9	8	5	8
"ENSG00000231305"	24.04	5	19.03	14.27	59	0	47	22.06	6	6.02	19	27.06	13	13	13
"ENSG00000231307"	11	6	4	12	3	0	15	6	0	1	15	21	4	23	8
"ENSG00000231310"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231311"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231312"	221	203	247	52	28	26	247	71	42	569	190	75	190	353	71
"ENSG00000231313"	1	0	1	0	0	0	0	1	0	0	0	3	0	1	0
"ENSG00000231316"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231317"	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231322"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231324"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231326"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231327"	14	4	9	0	1	0	1	0	0	2	3	6	5	4	2
"ENSG00000231328"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000231329"	0	0	0	0	0	0	46.01	1	0	0	2	111.99	0	0	1
"ENSG00000231331"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
