	Gene1	Gene2	Annotation	Direction	Score	edge
374	CEBPB	CLEC4E	predicted	-	0.54	CEBPB_CLEC4E
375	CEBPB	CNOT1	expression regulates	->	1	CEBPB_CNOT1
376	CEBPB	CR2	predicted	-	0.64	CEBPB_CR2
377	CEBPB	CREB1	reaction	-	1	CEBPB_CREB1
378	CEBPB	CREB5	predicted	-	0.98	CEBPB_CREB5
379	CEBPB	CREBBP	complex; input; reaction	-	1	CEBPB_CREBBP
380	CEBPB	CRP	predicted	-	0.64	CEBPB_CRP
381	CEBPB	CSF1R	predicted	-	0.64	CEBPB_CSF1R
382	CEBPB	CSF3	predicted	-	0.54	CEBPB_CSF3
383	CEBPB	CSRP1	expression regulates	->	1	CEBPB_CSRP1
384	CEBPB	CTAG2	expression regulates	->	1	CEBPB_CTAG2
385	CEBPB	CTCF	expression regulated by	<-	1	CEBPB_CTCF
386	CEBPB	CTCFL	expression regulates	->	1	CEBPB_CTCFL
387	CEBPB	CTSG	predicted	-	0.54	CEBPB_CTSG
388	CEBPB	CTSS	expression regulates	->	1	CEBPB_CTSS
389	CEBPB	CX3CL1	predicted	-	0.54	CEBPB_CX3CL1
390	CEBPB	CXCL2	expression regulates	->	1	CEBPB_CXCL2
391	CEBPB	CXCL8	expression regulates	->	1	CEBPB_CXCL8
392	CEBPB	CXCR4	expression regulates	->	1	CEBPB_CXCR4
393	CEBPB	CYP19A1	expression regulates	->	1	CEBPB_CYP19A1
394	CEBPB	DAB2	expression regulates	->	1	CEBPB_DAB2
395	CEBPB	DBP	predicted	-	0.98	CEBPB_DBP
396	CEBPB	DCN	expression regulates	->	1	CEBPB_DCN
397	CEBPB	DDIT3	expression regulates	->	1	CEBPB_DDIT3
398	CEBPB	DDRGK1	expression regulates	->	1	CEBPB_DDRGK1
399	CEBPB	DLC1	expression regulates	->	1	CEBPB_DLC1
400	CEBPB	DLX1	expression regulates	->	1	CEBPB_DLX1
401	CEBPB	DYNC1H1	expression regulates	->	1	CEBPB_DYNC1H1
402	CEBPB	E2F1	inhibited by	|-	1	CEBPB_E2F1
403	CEBPB	E2F2	expression regulates	->	1	CEBPB_E2F2
404	CEBPB	E4F1	expression regulates	->	1	CEBPB_E4F1
405	CEBPB	EAF2	expression regulates	->	1	CEBPB_EAF2
406	CEBPB	EBF1	reaction	-	1	CEBPB_EBF1
407	CEBPB	EBF2	predicted	-	0.54	CEBPB_EBF2
408	CEBPB	EBF3	predicted	-	0.54	CEBPB_EBF3
409	CEBPB	EBF4	predicted	-	0.54	CEBPB_EBF4
410	CEBPB	EGFR	predicted	-	0.64	CEBPB_EGFR
411	CEBPB	EGR1	expression regulated by	<-	1	CEBPB_EGR1
412	CEBPB	EHMT1	activate; inhibited by	|->	1	CEBPB_EHMT1
413	CEBPB	EHMT2	activate; inhibited by	|->	1	CEBPB_EHMT2
414	CEBPB	EID1	expression regulates	->	1	CEBPB_EID1
415	CEBPB	ELANE	predicted	-	0.99	CEBPB_ELANE
416	CEBPB	ELK1	predicted	-	0.64	CEBPB_ELK1
417	CEBPB	EMSY	expression regulates	->	1	CEBPB_EMSY
418	CEBPB	ENPP2	expression regulates	->	1	CEBPB_ENPP2
419	CEBPB	EP300	complex; expression regulated by; input; reaction	<-	1	CEBPB_EP300
420	CEBPB	EPO	expression regulates	->	1	CEBPB_EPO
421	CEBPB	ERBB3	expression regulates	->	1	CEBPB_ERBB3
422	CEBPB	ESR1	complex; input	-	1	CEBPB_ESR1
423	CEBPB	F8	expression regulates	->	1	CEBPB_F8
424	CEBPB	FABP3	expression regulates	->	1	CEBPB_FABP3
425	CEBPB	FADS1	expression regulates	->	1	CEBPB_FADS1
426	CEBPB	FAM120B	reaction	-	1	CEBPB_FAM120B
427	CEBPB	FBF1	expression regulates	->	1	CEBPB_FBF1
428	CEBPB	FGF21	expression regulates	->	1	CEBPB_FGF21
429	CEBPB	FGFR1	expression regulates	->	1	CEBPB_FGFR1
430	CEBPB	FGFR2	expression regulates	->	1	CEBPB_FGFR2
431	CEBPB	FGL1	expression regulates	->	1	CEBPB_FGL1
432	CEBPB	FN1	expression regulates	->	1	CEBPB_FN1
433	CEBPB	FOS	reaction	-	1	CEBPB_FOS
434	CEBPB	FOXA1	reaction	-	1	CEBPB_FOXA1
435	CEBPB	FOXA2	expression regulates	->	1	CEBPB_FOXA2
436	CEBPB	FOXA3	reaction	-	1	CEBPB_FOXA3
437	CEBPB	FOXF1	expression regulates	->	1	CEBPB_FOXF1
438	CEBPB	FOXO1	complex; input	-	1	CEBPB_FOXO1
439	CEBPB	FOXO3	complex; input	-	1	CEBPB_FOXO3
440	CEBPB	FOXO4	complex; input	-	1	CEBPB_FOXO4
441	CEBPB	FYB1	expression regulates	->	1	CEBPB_FYB1
442	CEBPB	FZD2	expression regulates	->	1	CEBPB_FZD2
443	CEBPB	FZR1	reaction	-	1	CEBPB_FZR1
444	CEBPB	GABPA	predicted	-	0.64	CEBPB_GABPA
445	CEBPB	GRHL3	expression regulates	->	1	CEBPB_GRHL3
446	CEBPB	GSC	expression regulates	->	1	CEBPB_GSC
447	CEBPB	GSDMB	expression regulates	->	1	CEBPB_GSDMB
448	CEBPB	GTF2H2	expression regulates	->	1	CEBPB_GTF2H2
449	CEBPB	GZF1	expression regulates	->	1	CEBPB_GZF1
450	CEBPB	H1-1	expression regulates	->	1	CEBPB_H1-1
451	CEBPB	H1-3	expression regulates	->	1	CEBPB_H1-3
452	CEBPB	HAMP	predicted	-	0.54	CEBPB_HAMP
453	CEBPB	HCFC1	expression regulates	->	1	CEBPB_HCFC1
454	CEBPB	HCLS1	expression regulates	->	1	CEBPB_HCLS1
455	CEBPB	HDAC1	reaction	-	1	CEBPB_HDAC1
456	CEBPB	HDAC4	predicted	-	0.64	CEBPB_HDAC4
457	CEBPB	HELZ2	reaction	-	1	CEBPB_HELZ2
458	CEBPB	HERPUD1	expression regulates	->	1	CEBPB_HERPUD1
459	CEBPB	HES1	predicted	-	0.64	CEBPB_HES1
460	CEBPB	HIST1H1T	expression regulates	->	1	CEBPB_HIST1H1T
461	CEBPB	HLF	expression regulates	->	1	CEBPB_HLF
462	CEBPB	HMGA1	activate; inhibited by	|->	1	CEBPB_HMGA1
463	CEBPB	HMGB1	predicted	-	0.64	CEBPB_HMGB1
464	CEBPB	HMOX1	expression regulates	->	1	CEBPB_HMOX1
465	CEBPB	HNF1A	reaction	-	1	CEBPB_HNF1A
466	CEBPB	HNF4A	reaction	-	1	CEBPB_HNF4A
467	CEBPB	HNRNPK	predicted	-	0.64	CEBPB_HNRNPK
468	CEBPB	HOXA3	expression regulates	->	1	CEBPB_HOXA3
469	CEBPB	HOXA4	expression regulates	->	1	CEBPB_HOXA4
470	CEBPB	HOXB9	expression regulates	->	1	CEBPB_HOXB9
471	CEBPB	HOXD1	expression regulates	->	1	CEBPB_HOXD1
472	CEBPB	HP	expression regulates	->	1	CEBPB_HP
473	CEBPB	HSF1	predicted	-	0.64	CEBPB_HSF1
474	CEBPB	HSF2	complex; input	-	1	CEBPB_HSF2
475	CEBPB	ICAM1	expression regulates	->	1	CEBPB_ICAM1
476	CEBPB	ID1	expression regulates	->	1	CEBPB_ID1
477	CEBPB	IGF2	expression regulates	->	1	CEBPB_IGF2
478	CEBPB	IGHG3	expression regulates	->	1	CEBPB_IGHG3
479	CEBPB	IGSF1	expression regulates	->	1	CEBPB_IGSF1
480	CEBPB	IKZF3	expression regulates	->	1	CEBPB_IKZF3
481	CEBPB	IL10	expression regulates	->	1	CEBPB_IL10
482	CEBPB	IL12B	predicted	-	0.64	CEBPB_IL12B
483	CEBPB	IL16	expression regulates	->	1	CEBPB_IL16
484	CEBPB	IL1A	expression regulates	->	1	CEBPB_IL1A
485	CEBPB	IL1B	expression regulates	->	1	CEBPB_IL1B
486	CEBPB	IL1F10	predicted	-	0.54	CEBPB_IL1F10
487	CEBPB	IL1RN	expression regulates	->	1	CEBPB_IL1RN
488	CEBPB	IL24	expression regulates	->	1	CEBPB_IL24
489	CEBPB	IL2RG	expression regulates	->	1	CEBPB_IL2RG
490	CEBPB	IL3	expression regulates	->	1	CEBPB_IL3
491	CEBPB	IL36A	predicted	-	0.54	CEBPB_IL36A
492	CEBPB	IL36B	predicted	-	0.54	CEBPB_IL36B
493	CEBPB	IL36G	predicted	-	0.54	CEBPB_IL36G
494	CEBPB	IL36RN	predicted	-	0.54	CEBPB_IL36RN
495	CEBPB	IL37	predicted	-	0.54	CEBPB_IL37
496	CEBPB	IL4	expression regulates	->	1	CEBPB_IL4
497	CEBPB	IL5	expression regulates	->	1	CEBPB_IL5
498	CEBPB	IL6	expression regulates	->	1	CEBPB_IL6
499	CEBPB	IL6R	expression regulates	->	1	CEBPB_IL6R
500	CEBPB	INSR	expression regulates	->	1	CEBPB_INSR
501	CEBPB	IRF1	predicted	-	0.64	CEBPB_IRF1
502	CEBPB	IRF4	expression regulates	->	1	CEBPB_IRF4
503	CEBPB	IRF8	expression regulates	->	1	CEBPB_IRF8
504	CEBPB	ITGA5	expression regulates	->	1	CEBPB_ITGA5
505	CEBPB	ITGB1BP1	expression regulates	->	1	CEBPB_ITGB1BP1
506	CEBPB	ITPR1	expression regulates	->	1	CEBPB_ITPR1
507	CEBPB	JCHAIN	expression regulates	->	1	CEBPB_JCHAIN
508	CEBPB	JUN	complex; input; reaction	-	1	CEBPB_JUN
509	CEBPB	JUNB	predicted	-	0.92	CEBPB_JUNB
510	CEBPB	JUND	expression regulated by	<-	1	CEBPB_JUND
511	CEBPB	KAT2A	predicted	-	0.99	CEBPB_KAT2A
512	CEBPB	KAT2B	predicted	-	0.64	CEBPB_KAT2B
513	CEBPB	KLF1	expression regulates	->	1	CEBPB_KLF1
514	CEBPB	KLF5	reaction	-	1	CEBPB_KLF5
515	CEBPB	LATS1	expression regulates	->	1	CEBPB_LATS1
516	CEBPB	LCN2	predicted	-	0.99	CEBPB_LCN2
517	CEBPB	LEP	predicted	-	0.54	CEBPB_LEP
518	CEBPB	LIN37	expression regulates	->	1	CEBPB_LIN37
519	CEBPB	LMO2	expression regulates	->	1	CEBPB_LMO2
520	CEBPB	LRIF1	expression regulates	->	1	CEBPB_LRIF1
521	CEBPB	LTBR	expression regulates	->	1	CEBPB_LTBR
522	CEBPB	LY86	expression regulates	->	1	CEBPB_LY86
523	CEBPB	LY96	predicted	-	0.64	CEBPB_LY96
524	CEBPB	LYZ	expression regulates	->	1	CEBPB_LYZ
525	CEBPB	MAGEA2	expression regulates	->	1	CEBPB_MAGEA2
526	CEBPB	MAP3K11	activated by	<-	1	CEBPB_MAP3K11
527	CEBPB	MAPK1	activated by; catalyzed by	<-	1	CEBPB_MAPK1
528	CEBPB	MAPK11	PPrel: activated by; activated by	<-	1	CEBPB_MAPK11
529	CEBPB	MAPK12	PPrel: activated by	<-	1	CEBPB_MAPK12
530	CEBPB	MAPK13	PPrel: activated by	<-	1	CEBPB_MAPK13
531	CEBPB	MAPK14	PPrel: activated by; activated by; interaction	<-	1	CEBPB_MAPK14
532	CEBPB	MAPK3	activated by; catalyzed by	<-	1	CEBPB_MAPK3
533	CEBPB	MDM4	expression regulates	->	1	CEBPB_MDM4
534	CEBPB	MED1	reaction	-	1	CEBPB_MED1
535	CEBPB	MED10	reaction	-	1	CEBPB_MED10
536	CEBPB	MED11	reaction	-	1	CEBPB_MED11
537	CEBPB	MED12	reaction	-	1	CEBPB_MED12
538	CEBPB	MED13	reaction	-	1	CEBPB_MED13
539	CEBPB	MED13L	reaction	-	1	CEBPB_MED13L
540	CEBPB	MED14	reaction	-	1	CEBPB_MED14
541	CEBPB	MED15	reaction	-	1	CEBPB_MED15
542	CEBPB	MED16	reaction	-	1	CEBPB_MED16
543	CEBPB	MED17	reaction	-	1	CEBPB_MED17
544	CEBPB	MED18	reaction	-	1	CEBPB_MED18
545	CEBPB	MED19	reaction	-	1	CEBPB_MED19
546	CEBPB	MED20	reaction	-	1	CEBPB_MED20
547	CEBPB	MED21	reaction	-	1	CEBPB_MED21
548	CEBPB	MED22	reaction	-	1	CEBPB_MED22
549	CEBPB	MED23	reaction	-	1	CEBPB_MED23
550	CEBPB	MED24	reaction	-	1	CEBPB_MED24
551	CEBPB	MED25	reaction	-	1	CEBPB_MED25
552	CEBPB	MED26	reaction	-	1	CEBPB_MED26
553	CEBPB	MED27	reaction	-	1	CEBPB_MED27
554	CEBPB	MED28	reaction	-	1	CEBPB_MED28
555	CEBPB	MED29	reaction	-	1	CEBPB_MED29
556	CEBPB	MED30	reaction	-	1	CEBPB_MED30
557	CEBPB	MED31	reaction	-	1	CEBPB_MED31
558	CEBPB	MED4	reaction	-	1	CEBPB_MED4
559	CEBPB	MED6	reaction	-	1	CEBPB_MED6
560	CEBPB	MED7	reaction	-	1	CEBPB_MED7
561	CEBPB	MED8	reaction	-	1	CEBPB_MED8
562	CEBPB	MED9	reaction	-	1	CEBPB_MED9
563	CEBPB	MEFV	expression regulates	->	1	CEBPB_MEFV
564	CEBPB	MEIS1	expression regulates	->	1	CEBPB_MEIS1
565	CEBPB	MGST2	expression regulates	->	1	CEBPB_MGST2
566	CEBPB	MHC2TA	PPrel: inhibition	-|	1	CEBPB_MHC2TA
567	CEBPB	MIA	expression regulates	->	1	CEBPB_MIA
568	CEBPB	MLLT11	expression regulates	->	1	CEBPB_MLLT11
569	CEBPB	MMP19	expression regulates	->	1	CEBPB_MMP19
570	CEBPB	MSH2	expression regulates	->	1	CEBPB_MSH2
571	CEBPB	MTF2	expression regulates	->	1	CEBPB_MTF2
572	CEBPB	MXD1	predicted	-	0.64	CEBPB_MXD1
573	CEBPB	MYB	activate; inhibited by; reaction	|->	1	CEBPB_MYB
574	CEBPB	MYBL1	activate; inhibited by	|->	1	CEBPB_MYBL1
575	CEBPB	MYC	predicted	-	0.54	CEBPB_MYC
576	CEBPB	NCOA1	reaction	-	1	CEBPB_NCOA1
577	CEBPB	NCOA2	reaction	-	1	CEBPB_NCOA2
578	CEBPB	NCOA3	reaction	-	1	CEBPB_NCOA3
579	CEBPB	NCOR2	predicted	-	0.99	CEBPB_NCOR2
580	CEBPB	NFE2	expression regulates	->	1	CEBPB_NFE2
581	CEBPB	NFE2L2	expression regulates	->	1	CEBPB_NFE2L2
582	CEBPB	NFIL3	expression regulates	->	1	CEBPB_NFIL3
583	CEBPB	NFKB1	GErel: expression by; activate; complex; inhibited by; input	->	1	CEBPB_NFKB1
584	CEBPB	NFKBIA	expression regulates	->	1	CEBPB_NFKBIA
585	CEBPB	NFX1	expression regulates	->	1	CEBPB_NFX1
586	CEBPB	NOLC1	predicted	-	0.64	CEBPB_NOLC1
587	CEBPB	NOP53	expression regulates	->	1	CEBPB_NOP53
588	CEBPB	NOS2	predicted	-	0.54	CEBPB_NOS2
589	CEBPB	NOTCH3	expression regulates	->	1	CEBPB_NOTCH3
590	CEBPB	NPAS1	expression regulates	->	1	CEBPB_NPAS1
591	CEBPB	NR0B2	expression regulates	->	1	CEBPB_NR0B2
592	CEBPB	NR2F2	activate; inhibited by	|->	1	CEBPB_NR2F2
593	CEBPB	NR5A1	predicted	-	0.54	CEBPB_NR5A1
594	CEBPB	NR5A2	predicted	-	0.54	CEBPB_NR5A2
595	CEBPB	NRF1	predicted	-	0.64	CEBPB_NRF1
596	CEBPB	NUP133	expression regulates	->	1	CEBPB_NUP133
597	CEBPB	NUP35	expression regulates	->	1	CEBPB_NUP35
598	CEBPB	PBX1	expression regulates	->	1	CEBPB_PBX1
599	CEBPB	PCNA	expression regulates	->	1	CEBPB_PCNA
600	CEBPB	PCYT1B	expression regulates	->	1	CEBPB_PCYT1B
601	CEBPB	PIAS1	predicted	-	0.54	CEBPB_PIAS1
602	CEBPB	PIAS2	predicted	-	0.54	CEBPB_PIAS2
603	CEBPB	PIAS3	predicted	-	0.54	CEBPB_PIAS3
604	CEBPB	PIAS4	predicted	-	0.54	CEBPB_PIAS4
605	CEBPB	PICALM	expression regulates	->	1	CEBPB_PICALM
606	CEBPB	PIM1	expression regulates; reaction	->	1	CEBPB_PIM1
607	CEBPB	PLAC8	predicted	-	0.54	CEBPB_PLAC8
608	CEBPB	POLR2B	expression regulates	->	1	CEBPB_POLR2B
609	CEBPB	POU5F1	expression regulates	->	1	CEBPB_POU5F1
610	CEBPB	PPARG	predicted; reaction	-	1	CEBPB_PPARG
611	CEBPB	PPARGC1A	reaction	-	1	CEBPB_PPARGC1A
612	CEBPB	PPARGC1B	predicted	-	0.54	CEBPB_PPARGC1B
613	CEBPB	PPP2CA	expression regulates	->	1	CEBPB_PPP2CA
614	CEBPB	PPRC1	predicted	-	0.54	CEBPB_PPRC1
615	CEBPB	PRDM1	predicted	-	0.64	CEBPB_PRDM1
616	CEBPB	PRDM16	predicted	-	0.54	CEBPB_PRDM16
617	CEBPB	PRG2	predicted	-	0.64	CEBPB_PRG2
618	CEBPB	PRMT5	expression regulates	->	1	CEBPB_PRMT5
619	CEBPB	PTGES2	complex; input; predicted	-	1	CEBPB_PTGES2
620	CEBPB	PTGS1	expression regulates	->	1	CEBPB_PTGS1
621	CEBPB	PTGS2	predicted	-	0.64	CEBPB_PTGS2
622	CEBPB	PXDN	expression regulates	->	1	CEBPB_PXDN
623	CEBPB	RARB	predicted	-	0.64	CEBPB_RARB
624	CEBPB	RB1	reaction	-	1	CEBPB_RB1
625	CEBPB	RBL1	predicted	-	0.54	CEBPB_RBL1
626	CEBPB	RBPJ	expression regulates	->	1	CEBPB_RBPJ
627	CEBPB	REL	predicted	-	0.64	CEBPB_REL
628	CEBPB	RELA	GErel: expression by; activate; complex; inhibited by; input	->	1	CEBPB_RELA
629	CEBPB	RGS1	expression regulates	->	1	CEBPB_RGS1
630	CEBPB	RORA	predicted	-	0.54	CEBPB_RORA
631	CEBPB	RPS6KA1	catalyzed by	<-	1	CEBPB_RPS6KA1
632	CEBPB	RPS6KA2	catalyzed by	<-	1	CEBPB_RPS6KA2
633	CEBPB	RPS6KA3	catalyzed by	<-	1	CEBPB_RPS6KA3
634	CEBPB	RRAGD	expression regulates	->	1	CEBPB_RRAGD
635	CEBPB	RXRA	reaction	-	1	CEBPB_RXRA
636	CEBPB	SAA1	expression regulates	->	1	CEBPB_SAA1
637	CEBPB	SAA2	expression regulates	->	1	CEBPB_SAA2
638	CEBPB	SAA4	predicted	-	0.54	CEBPB_SAA4
639	CEBPB	SARS	expression regulates	->	1	CEBPB_SARS
640	CEBPB	SBNO1	expression regulates	->	1	CEBPB_SBNO1
641	CEBPB	SEC16A	expression regulates	->	1	CEBPB_SEC16A
642	CEBPB	SERPINA1	expression regulates	->	1	CEBPB_SERPINA1
643	CEBPB	SESN2	expression regulates	->	1	CEBPB_SESN2
644	CEBPB	SETD3	expression regulates	->	1	CEBPB_SETD3
645	CEBPB	SFRP1	expression regulates	->	1	CEBPB_SFRP1
646	CEBPB	SFTPD	expression regulates	->	1	CEBPB_SFTPD
647	CEBPB	SLC2A4RG	expression regulates	->	1	CEBPB_SLC2A4RG
648	CEBPB	SLC40A1	expression regulates	->	1	CEBPB_SLC40A1
649	CEBPB	SMAD2	complex; input	-	1	CEBPB_SMAD2
650	CEBPB	SMAD3	complex; expression regulates; input	->	1	CEBPB_SMAD3
651	CEBPB	SMAD4	complex; expression regulates; input	->	1	CEBPB_SMAD4
652	CEBPB	SMAD6	expression regulates	->	1	CEBPB_SMAD6
653	CEBPB	SMARCA2	complex; input	-	1	CEBPB_SMARCA2
654	CEBPB	SMARCA5	predicted	-	0.64	CEBPB_SMARCA5
655	CEBPB	SMARCC1	predicted	-	0.64	CEBPB_SMARCC1
656	CEBPB	SMYD3	expression regulates	->	1	CEBPB_SMYD3
657	CEBPB	SND1	reaction	-	1	CEBPB_SND1
658	CEBPB	SP3	predicted	-	0.64	CEBPB_SP3
659	CEBPB	SP5	expression regulates	->	1	CEBPB_SP5
660	CEBPB	SPI1	expression regulates; reaction	->	1	CEBPB_SPI1
661	CEBPB	SPIB	predicted	-	0.64	CEBPB_SPIB
662	CEBPB	SREBF1	reaction	-	1	CEBPB_SREBF1
663	CEBPB	SREBF2	reaction	-	1	CEBPB_SREBF2
664	CEBPB	SRF	predicted	-	0.64	CEBPB_SRF
665	CEBPB	STAT3	complex; input; reaction	-	1	CEBPB_STAT3
666	CEBPB	STAT5A	expression regulates	->	1	CEBPB_STAT5A
667	CEBPB	STAT5B	expression regulates	->	1	CEBPB_STAT5B
668	CEBPB	STAT6	reaction	-	1	CEBPB_STAT6
669	CEBPB	TAF9	expression regulates	->	1	CEBPB_TAF9
670	CEBPB	TAL1	expression regulates	->	1	CEBPB_TAL1
671	CEBPB	TCF12	expression regulates	->	1	CEBPB_TCF12
672	CEBPB	TESC	expression regulates	->	1	CEBPB_TESC
673	CEBPB	TF	expression regulates	->	1	CEBPB_TF
674	CEBPB	TFPI	expression regulates	->	1	CEBPB_TFPI
675	CEBPB	TGFB1	activate; expression regulates; inhibited by	|->	1	CEBPB_TGFB1
676	CEBPB	THBS1	expression regulates	->	1	CEBPB_THBS1
677	CEBPB	THRAP3	reaction	-	1	CEBPB_THRAP3
678	CEBPB	TLR10	expression regulates	->	1	CEBPB_TLR10
679	CEBPB	TLR6	expression regulates	->	1	CEBPB_TLR6
680	CEBPB	TLR7	expression regulates	->	1	CEBPB_TLR7
681	CEBPB	TLR8	predicted	-	0.64	CEBPB_TLR8
682	CEBPB	TNF	expression regulates	->	1	CEBPB_TNF
683	CEBPB	TNFAIP3	predicted	-	0.54	CEBPB_TNFAIP3
684	CEBPB	TNFAIP6	expression regulates	->	1	CEBPB_TNFAIP6
685	CEBPB	TNFSF14	expression regulates	->	1	CEBPB_TNFSF14
686	CEBPB	TP53	predicted	-	0.64	CEBPB_TP53
687	CEBPB	TRIB1	predicted	-	0.77	CEBPB_TRIB1
688	CEBPB	TRIB3	activate; expression regulates; inhibited by	|->	1	CEBPB_TRIB3
689	CEBPB	TRIM26	expression regulates	->	1	CEBPB_TRIM26
690	CEBPB	TRIM28	predicted	-	0.64	CEBPB_TRIM28
691	CEBPB	UBE2C	reaction	-	1	CEBPB_UBE2C
692	CEBPB	UBE2D1	reaction	-	1	CEBPB_UBE2D1
693	CEBPB	UBE2E1	reaction	-	1	CEBPB_UBE2E1
694	CEBPB	UBQLN1	expression regulates	->	1	CEBPB_UBQLN1
695	CEBPB	UGT1A10	expression regulates	->	1	CEBPB_UGT1A10
696	CEBPB	VENTX	activate; inhibited by	|->	1	CEBPB_VENTX
697	CEBPB	VIM	expression regulates	->	1	CEBPB_VIM
698	CEBPB	WBP2	expression regulates	->	1	CEBPB_WBP2
699	CEBPB	XCL1	predicted	-	0.54	CEBPB_XCL1
700	CEBPB	XCL2	predicted	-	0.54	CEBPB_XCL2
701	CEBPB	XPO1	predicted	-	0.54	CEBPB_XPO1
702	CEBPB	XRN2	expression regulates	->	1	CEBPB_XRN2
703	CEBPB	YY1AP1	expression regulates	->	1	CEBPB_YY1AP1
704	CEBPB	ZBED9	expression regulates	->	1	CEBPB_ZBED9
705	CEBPB	ZBTB7A	expression regulated by	<-	1	CEBPB_ZBTB7A
706	CEBPB	ZIM2	expression regulates	->	1	CEBPB_ZIM2
707	CEBPB	ZMIZ1	predicted	-	0.54	CEBPB_ZMIZ1
708	CEBPB	ZMIZ2	predicted	-	0.54	CEBPB_ZMIZ2
709	CEBPB	ZNF131	expression regulates	->	1	CEBPB_ZNF131
710	CEBPB	ZNF175	expression regulates	->	1	CEBPB_ZNF175
711	CEBPB	ZNF280A	expression regulates	->	1	CEBPB_ZNF280A
712	CEBPB	ZNF280D	expression regulates	->	1	CEBPB_ZNF280D
713	CEBPB	ZNF460	expression regulates	->	1	CEBPB_ZNF460
714	CEBPB	ZNF467	reaction	-	1	CEBPB_ZNF467
715	CEBPB	ZNF587	expression regulates	->	1	CEBPB_ZNF587
716	CEBPB	ZNF595	expression regulates	->	1	CEBPB_ZNF595
717	CEBPB	ZNF638	reaction	-	1	CEBPB_ZNF638
718	CEBPB	ZNF69	expression regulates	->	1	CEBPB_ZNF69
719	CEBPB	ZNF718	expression regulates	->	1	CEBPB_ZNF718
720	CEBPB	ZNF805	expression regulates	->	1	CEBPB_ZNF805
721	CENPC	CKAP5	complex; input	-	1	CENPC_CKAP5
722	CFTR	RAB27A	predicted	-	0.64	CFTR_RAB27A
723	CHM	RAB27A	complex	-	1	CHM_RAB27A
724	CHML	RAB27A	complex	-	1	CHML_RAB27A
725	CHMP2A	PIK3C3	reaction	-	1	CHMP2A_PIK3C3
726	CHMP2B	PIK3C3	reaction	-	1	CHMP2B_PIK3C3
727	CHMP3	PIK3C3	reaction	-	1	CHMP3_PIK3C3
728	CHMP4A	PIK3C3	reaction	-	1	CHMP4A_PIK3C3
729	CHMP4B	PIK3C3	reaction	-	1	CHMP4B_PIK3C3
730	CHMP4C	PIK3C3	reaction	-	1	CHMP4C_PIK3C3
731	CHMP6	PIK3C3	reaction	-	1	CHMP6_PIK3C3
732	CHMP7	PIK3C3	reaction	-	1	CHMP7_PIK3C3
733	CHRNA4	EPX	predicted	-	0.65	CHRNA4_EPX
734	CHTOP	THOC3	complex; input	-	1	CHTOP_THOC3
735	CHTOP	WDR77	predicted	-	0.64	CHTOP_WDR77
736	CIRBP	CNOT3	predicted	-	0.64	CIRBP_CNOT3
737	CLGN	HSP90B1	predicted	-	0.99	CLGN_HSP90B1
738	CLOCK	RCOR1	predicted	-	0.64	CLOCK_RCOR1
739	CLP1	PPIE	complex; input	-	1	CLP1_PPIE
740	CLP1	THOC3	catalyze; complex; input	->	1	CLP1_THOC3
741	CLTA	VAMP8	complex; input	-	1	CLTA_VAMP8
742	CLTB	VAMP8	complex; input	-	1	CLTB_VAMP8
743	CLTC	VAMP8	complex; input	-	1	CLTC_VAMP8
744	CLTCL1	VAMP8	complex; input	-	1	CLTCL1_VAMP8
745	CLUH	HSP90B1	predicted	-	0.66	CLUH_HSP90B1
746	CNOT10	CNOT3	complex	-	1	CNOT10_CNOT3
747	CNOT10	EIF4A1	catalyze	->	1	CNOT10_EIF4A1
748	CNPY3	HSP90B1	complex; input; predicted	-	1	CNPY3_HSP90B1
749	CNPY3	TRAP1	predicted	-	0.7	CNPY3_TRAP1
750	CNPY4	HSP90B1	predicted	-	0.7	CNPY4_HSP90B1
751	COG4	DCTN5	input	-	1	COG4_DCTN5
752	COL10A1	P4HA1	catalyzed by	<-	1	COL10A1_P4HA1
753	COL1A1	P4HA1	catalyzed by	<-	1	COL1A1_P4HA1
754	COL1A2	P4HA1	catalyzed by	<-	1	COL1A2_P4HA1
755	COL3A1	P4HA1	catalyzed by	<-	1	COL3A1_P4HA1
756	COMMD1	DCAF7	complex; input	-	1	COMMD1_DCAF7
757	COPB1	HSP90B1	predicted	-	0.59	COPB1_HSP90B1
758	COPS2	DCAF7	catalyze	->	1	COPS2_DCAF7
759	COPS3	DCAF7	catalyze	->	1	COPS3_DCAF7
760	COPS4	DCAF7	catalyze	->	1	COPS4_DCAF7
761	COPS5	DCAF7	catalyze	->	1	COPS5_DCAF7
762	COPS5	HSP90B1	predicted	-	0.64	COPS5_HSP90B1
763	COPS6	DCAF7	catalyze	->	1	COPS6_DCAF7
764	COPS7A	DCAF7	catalyze	->	1	COPS7A_DCAF7
765	COPS7B	DCAF7	catalyze	->	1	COPS7B_DCAF7
766	COPS8	DCAF7	catalyze	->	1	COPS8_DCAF7
767	CPLX1	DNAJC5	catalyzed by; complex; input	<-	1	CPLX1_DNAJC5
768	CPSF7	PPIE	complex; input	-	1	CPSF7_PPIE
769	CPSF7	THOC3	catalyze; complex; input	->	1	CPSF7_THOC3
770	CPT1A	STAT3	GErel: expression by	<-	1	CPT1A_STAT3
771	CRCP	POLR3C	complex	-	1	CRCP_POLR3C
