accession	gene_name	IDHwt_1.raw	IDHwt_2.raw	IDHwt_3.raw	IDHwt_4.raw	mIDH1_1.raw	mIDH1_2.raw	mIDH1_3.raw	mIDH1_4.raw	mIDH2_1.raw	mIDH2_2.raw	mIDH2_3.raw	mIDH2_4.raw	IDH2_vs_IDH1_ratio	IDH2_vs_IDH1_t.test	IDH2_vs_IDH1_logFC	IDH2_vs_IDH1_p.value
Q5JVZ5	ELMO2	2385769.25	2164892.25	2268584.25	2275333.25	3808304.75	3365129.25	2596248.5	3474420.75	3445661.5	3286033.25	3038014.25	3199807.25	0.9482846824718	0.812946640052321	-0.0766078624147249	0.0899379595613521
Q5C9Z4	NOM1	5127134	3801494.25	4275342	4314092	1858382.38	2110813.75	2235338	1822661.75	2474983.75	1775106.88	2218404	1042472.31	1.00612586256855	0.717074016236413	0.00881079216673735	0.144436014228998
P61106	RAB14	15991990	15282917	12868035	14173160	16296819	15382645	15456974	15370095	16793156	14751987	14637733	15429852	0.978670942724681	0.701232268873933	-0.0311042290309547	0.154138107022862
A0A0U1RRL5	ELF1	8053213.5	8828710	8689861	6668828	10863423	11001740	8381558.5	9389163	6020500.5	5031700.5	5233558	4784400	0.506861617573183	0.00230037654286773	-0.980336175847317	2.63820106958894
Q86W92	PPFIBP1	151467.16	1967063.62	1821678.75	1370798	3824871.25	4141952.75	2755769	3547069.75	1694656.62	3271173	1627662.12	2400104.75	0.555452270982635	0.0367235346471812	-0.848265146144307	1.43505552453267
C9JI87	VDAC1	23383.25	63960.41	95846.75	100984.31	28643.31	24864.81	52326.1	84902.75	38979.94	107738.77	57829.88	143511.2	2.04482964615896	0.214063395951252	1.03198065789621	0.669457589106625
Q9UKV8	AGO2	2657550.5	2927871.75	3475404	3215301.25	2546137.5	2728204	2490791	2286108.25	1697754.25	2206386.5	2372619.25	2180945	0.871033110753905	0.0672720010700579	-0.199200533568933	1.17216565362003
Q99497	PARK7	37770412	34269316	29070408	28313040	31137690	31634452	31602160	32169790	47495700	33861100	35854788	33668600	1.10246083392323	0.161930166639222	0.140727403439573	0.790672237197601
A0A2R8Y7Y4	ANKRD44	1403717.38	1630812.62	1216674.62	1528940	1971826.38	2361858.5	1550185.75	1992357	2331168.5	2296448.25	2058926.12	2258521.25	1.14903097646305	0.208857917820847	0.20041769179363	0.680149055947235
Q96C19	EFHD2	16276551	12662915	10856463	13795485	11459315	12146848	10494134	13547739	16377254	13735543	14194622	14169723	1.20156524378824	0.0214917480105401	0.264914987489171	1.66772826015032
A0A3F2YNW7	ARID1B	3094728	3790226.75	4046947	4408576.5	4689111.5	4536169	4355889.5	3751900.75	2208860.5	3474460.5	2015729.5	3705275.25	0.639145705125534	0.0327408886761115	-0.645783237111329	1.48490953683936
Q9P253	VPS18	3835436	3346595.75	3647439	3668552.5	3790503	3678130.25	3586962	3998329.5	3812178.25	4018792.25	3763252.25	3929659.25	1.03658022035022	0.315819655407095	0.051831770111635	0.500560844659567
Q6P996	PDXDC1	5922329.5	5439914.5	5301642.5	5765240	6833831.5	6221768.5	4890919.5	6851893	7599770	7159168.5	6628791.5	8029898.5	1.13046803670456	0.0877876263768002	0.17692020134222	1.05656669337608
Q5TBB1	RNASEH2B	43213112	35360064	33459830	38140536	43743752	39256752	36344028	46531044	36903672	33782828	34781772	33330538	0.826074501909049	0.0523564592925355	-0.275656193765984	1.28102973113786
P61026	RAB10	12073780	8460722	8280651.5	8816885	10033341	9143582	9202026	10160869	10547706	9575525	10650400	9841899	1.06000602951844	0.216914889393437	0.0840724711390501	0.663710636277775
Q14165	MLEC	12201867	9835236	8711585	9720765	7961967.5	6499113.5	6715676	7902794	8804149	8605331	7486071.5	9008685	1.19092353714171	0.0579276721092905	0.252080788409684	1.23711392377788
P37268	FDFT1	7383553.5	8085054.5	7810313.5	8445178	8247958	8970032	10481256	8073134	7703075	8995436	8381182.5	8436743	0.976764738508967	0.402940531697751	-0.033916975332395	0.39475904482974
P62834	RAP1A	979563	644957.19	931823.5	917755.75	12211.04	980845.19	1371603	820950.19	633388.06	1182108.88	718453	994504.19	0.950694628820727	0.797041001021035	-0.0729460852776481	0.0985193372498319
Q9BQ04	RBM4B	61775.53	25047.39	69836.87	66130.5	75448.27	81413.54	91850.84	78950.77	51152.89	42806.26	48016.64	61037.23	0.618401500932471	0.00100843092052995	-0.693384274031452	2.99635384644496
Q68CQ4	UTP25	10490517	10973459	9140881	11675446	6614583	5702425	8038957.5	6819329.5	6572057	6828511	7063310.5	6036436	0.99751788617054	0.764913923345719	-0.00358538482236033	0.116387433760436
Q14739	LBR	27546516	25799880	25804958	26416150	14074066	14405381	15906151	14969777	14949896	15958883	16509745	15344986	1.06565789365286	0.158629544838701	0.0917443664792832	0.799615921902166
Q9H2U2	PPA2	21623934	19098624	17784932	16758317	15567822	14319923	13034103	14812845	11700834	15978256	11993566	14612041	0.913253659933721	0.495749380231678	-0.130912464578033	0.304737820061905
P61254	RPL26	1710049.5	1319065	2230891.25	1794516.12	1321649.12	1543908.88	1850613.88	1200779.25	11642525	1276976.88	21708352	1847825.75	4.70775700579084	0.211409156558206	2.23503985657268	0.674876206448732
P61586	RHOA	9600810	716267.62	355108.69	191290.72	154515.12	1701462.38	226487.33	232160.25	8092801.5	344352.94	16382821	303405.12	18.3957243162604	0.233649094324969	4.2012985772273	0.631435898056877
Q8TCJ2	STT3B	9295668	11414304	13238973	11581264	9212799	9086597	9290097	7802481.5	7614997	8972760	8676521	8681699	0.948567919946647	0.463377587171133	-0.0761770168098823	0.334064976163868
Q9Y2D5	AKAP2	4167482	4034398.5	4206257	3472078.5	5291114.5	4790631.5	3540930.25	5109521	6788424.5	7015443.5	6381104	8588723	1.39430862302374	0.00751235633693265	0.479549929660739	2.12422382017043
Q6IN85	PPP4R3A	2966679.5	3545863	3099213	3309927	3278512.5	3450439.5	3116915	3545760.5	3014580.25	2767168.25	2592924.75	3024193.5	0.8592346178127	0.0124621459316075	-0.218875975469279	1.90440716746733
A0A7I2V647	G3BP2	386862.41	681566.44	879722.75	840609.31	1108487.75	1573636.38	1099400.62	1134582.88	976902.81	1502830.25	912598.38	1422018.75	1.06948106221693	0.898060964950485	0.0969109362779788	0.0466941802114521
Q96TA1	NIBAN2	3802701.75	3891396	3213778.75	3040192.5	6247150.5	4857144.5	5255000	5673424.5	6361182.5	5842211	5586900.5	5408445.5	1.04581511269076	0.455480576919068	0.0646278233051222	0.341530137937354
Q00059	TFAM	10261406	14523867	9812657	9687775	5130211	11995087	7393625.5	5415693	53579268	7125662	82805512	8787323	4.86884536441185	0.194645269468102	2.28357968102625	0.710756146627887
O60884	DNAJA2	13895062	15002637	13901012	14329618	12915431	14866053	15463066	12669880	13393649	14353412	13699591	14436944	1.00977337999655	0.992234942428487	0.0140315501653692	0.00338548296737259
Q52LJ0	FAM98B	4177567	6323024.5	6159512	4098841.5	5275984	5681528	4303230	4194913	5454208.5	4360702	5624844	4917682.5	1.0827496911542	0.645058881192884	0.114699760888173	0.19040064100811
P62993	GRB2	13531702	10589075	10116685	9752717	15068937	15767737	13376505	17126082	17889256	16126552	18936866	15983310	1.10309587862816	0.12304737265136	0.141558192207449	0.909927655063155
Q99426	TBCB	9598875	8361280.5	7542904.5	9065594	11549347	10093284	8845743	11116994	13843164	12018136	12347539	12297570	1.16194181896154	0.0262828756741787	0.216537831567666	1.58032711928337
Q8WWK9	CKAP2	3573054	4623834.5	4079808.5	3885972.75	5187968	5598912	6662077	4375459.5	3016641	3175689.25	3235448.5	2725997.75	0.57406129019698	0.0122418094906713	-0.800723319061688	1.91215438335619
Q3YEC7	RABL6	6067973	7102019	7592945	7339176	8114991	7795618.5	7017960	7607490.5	4169084.75	5737903	4031949	6091372	0.643181045462965	0.00985201405559748	-0.636703203948128	2.0064749772365
Q9NYB0	TERF2IP	3968151.25	4418539.5	4034698.25	4533362	4314690	4405308	4666488.5	4708914.5	3486403.5	3607471.25	3724968.5	4323693	0.808267662309224	0.0199633512754266	-0.307094966340497	1.69976655131243
Q76FK4	NOL8	2216568.5	3232964	3200743.75	3559902	3762817	3265272.5	4632747.5	2613496.25	1478068.62	2570159.25	2219633.75	2739571.5	0.681521343744982	0.0474819099193884	-0.55316925512341	1.32347182024043
P46783	RPS10	13510059	11729127	7891196.5	6961308.5	5677211.5	11294990	7076247.5	7242796	39702296	6460925	37466272	6747953	3.08779179279677	0.208252525807136	1.62657547617254	0.681409722514455
Q08209	PPP3CA	7155704	6307721	5779777	6104499.5	6681246.5	5768637	4689792	6295395.5	6330441.5	6086116	5763047	5973487	0.999632834211944	0.712278118488479	-0.000529805530798722	0.147350397176807
A0A087WZN1	IDH3B	5113254.5	5016520	5028700	3813794	4297873	3958795.25	4694421	3551850.25	4062596.5	4401148	3789507	3581305	0.951001452674328	0.600783875635917	-0.0724805500534184	0.221281731823324
H0Y858		23383.25	30678.97	49763.07	45901.79	34655.7	818498.06	679602.31	1121915.75	2129332.5	2176221	1979651.5	2036147.25	2.78050779067627	0.00725930424390029	1.47534837942072	2.13910500154709
Q86VN1	VPS36	6563013	6514435	6679845.5	6105535	7943761	6654468.5	6201915.5	6913403	5451300	6467162.5	4932348.5	6301266	0.8662055798509	0.069460521832811	-0.207218629019292	1.15826195830918
Q7Z6P3	RAB44	2132916.25	1786775.5	2252302.25	1354146.25	2165631.75	2258179	1486393.88	2041312.38	3011584.25	4967679	3021930.5	4846976	1.87045662049237	0.0309829487918419	0.903390507387671	1.50887725077691
P10155	RO60	13119765	11463225	10519569	11907839	9368478	9521428	10144863	8769583	8189759.5	7889713	9066782	8120092	0.863416234045844	0.0253724864176552	-0.211871876124072	1.59563697130584
Q9NW64	RBM22	8043196	13381326	12814219	15997854	13027099	12314113	14609844	10093208	10576102	10458790	13863674	10140931	0.830066533518602	0.366672192475779	-0.268701115379219	0.435722024624194
Q9H3S7	PTPN23	4420268	4279206.5	3666114.75	3687779.25	4488570	3768344.5	4504998	4694785.5	5014566	4533207.5	3569412	4591545.5	1.0145865356219	0.870223043999395	0.0208919199869705	0.0603694205270186
P16402	H1-3	2452272.5	1681344.12	120958.09	45901.79	28643.31	53056.38	169816.41	59457.47	38979.94	58703.39	57829.88	64536.61	1.03572377978356	0.524594547079649	0.0506392977440546	0.280176228014683
Q9HAU0	PLEKHA5	48549.86	39374.91	56804.28	66171.06	5399888.5	5392499.5	4609389.5	4810296.5	4755032.5	4846825	4522179	5101236.5	0.94110060614757	0.343270197801246	-0.087579135768017	0.464363899726868
O95816	BAG2	17548828	23205018	26882058	29441538	19321048	18320596	21201082	20727720	15746542	17657110	17139562	20584060	0.868857488949473	0.140494134654985	-0.202808531019521	0.852341806293746
Q09028	RBBP4	13532657	11455908	8851539	7251464	11662769	11795582	8178457	9053069	10628255	9590777	13724427	8220513.5	0.976018059225989	0.812918426948571	-0.0350202527193464	0.0899530319010263
Q14644	RASA3	5788627.5	4971958	5295502	5823087.5	4863137.5	3978754	3320947.5	5444664	2782347.75	1894821.62	2395111.25	2484143.75	0.551833846864101	0.0170822863023922	-0.857694147428803	1.76745400354965
Q15061	WDR43	7825193	11790138	11439523	15556157	11291285	11120752	20109082	7332409	8483599	9130216	12963935	8000286.5	0.78590870611181	0.390876028855411	-0.347566361143126	0.407960962606984
Q13395	TARBP1	8902890	7265092	7995076	9282045	2857263.75	3009523.5	2605210.25	4165766.75	2662447	3648899.75	3742006.25	5294423	1.25978762908098	0.340413906846447	0.333180549364023	0.467992706098312
A0A0A0MR08	USP19	3972198.75	3854275.5	3537574.25	3897448.75	2740062.5	2675539.5	2739538.25	2975843.75	2620012	2797836.75	2818591.75	3117642.25	1.02497038675674	0.667673806414409	0.0355822282708518	0.175435661287593
P20020	ATP2B1	1380614.75	1396756	1271754.62	1535280.12	738885.94	511145.5	464571.62	579284.5	323822.78	565248	64445.54	470754	0.728682061205213	0.145593279842388	-0.456638620219378	0.836858670316408
Q96A33	CCDC47	7074370	8269580.5	7538432	8203257	6674454.5	6304803.5	6936968.5	6755862.5	6272099.5	7357238.5	5522678.5	7195833	1.00280079018239	0.866190562171378	0.0040350380931932	0.0623865525609459
Q9GZS1	POLR1E	8411101	10652365	11828109	11077149	13267052	12848854	14526093	11072789	9290057	10001140	10146914	10456727	0.771485928920099	0.0200665946499813	-0.374288251069082	1.69752632209166
O94855	SEC24D	6305764.5	5285412	4633044	4828454.5	4478105.5	5002932	3378777.75	4986471.5	5462206.5	4332408	4882991	5106699	1.0554819301486	0.329212190312071	0.0779018799563496	0.482524091785268
P61163	ACTR1A	3714252.25	4100057	4009013.5	4200191.5	3677487	4140355.75	3612917.75	3983064	4364487.5	4020287.25	4469879.5	4479465	1.15322866462217	0.0277285295875373	0.205678601982132	1.55707315995514
P41226	UBA7	3299182.5	2808675.25	2549543.5	2792147.25	8312415	7403072.5	6261791	6993891.5	5557868	5012447	4811748	3896508.25	0.682379632261357	0.00502399639316957	-0.551353509301007	2.2989506810597
P46100	ATRX	1437254.25	3128394.5	3987631	3263333.75	2184491	3070089.5	2709290.5	1082798.62	1330980.75	2029617.38	2133988.5	1301019.12	0.686707841369706	0.305464836946817	-0.542231657352992	0.515038775597809
O15160	POLR1C	8133764.5	8045879	7745485	7872563.5	8972598	7115040.5	8981251	7265461.5	7321471	6498428	7023139.5	6543561.5	0.83548782414549	0.091463315103781	-0.259309291344068	1.03875306159095
P09382	LGALS1	29501030	26800986	35179796	32925644	60348704	64171804	43680012	38988948	151554896	64235692	94862400	55505556	1.52936706437865	0.163669676789185	0.612934710428883	0.786031775218417
Q9H8H2	DDX31	2675408.5	4381401.5	5147684	5164847.5	5036597.5	5123926.5	6945333.5	4760681.5	3312656.25	3992929.5	4679870	3601459.5	0.747440683177364	0.0435663088101374	-0.419969003177187	1.36084923444794
P16930	FAH	12863314	8309639.5	8507751	9477261	14358315	13800363	11838560	14664950	20420638	16233607	16710998	16996938	1.19707097044826	0.0176496202673387	0.259508687518294	1.75326463404803
P05388	RPLP0	89864840	69744672	76465008	78522608	57871736	68534024	57175456	64182700	91180168	59141592	73875080	64442220	1.13324271147343	0.248862791770542	0.180456882463735	0.604040031220615
P61964	WDR5	6376766.5	8684620	7982404.5	8605190	7113235	8499962	7081388.5	6686705	7561281.5	6449224	8065571	7214165.5	1.04091855624068	0.966688060468172	0.0578571934171223	0.0147136453305741
Q8WUA2	PPIL4	7109012	8179269	8304225.5	8989020	7845313.5	6746583.5	7376157	8229997	5198412	6677144	5811975	7336643.5	0.820493591601416	0.0693774512657029	-0.28543602915686	1.15878165897036
Q5T3I0	GPATCH4	3734316	4669331.5	6414425	5198737	2890610.75	2698848.5	4044993.5	2756324	2209561	2392116	2420954	2683610.75	0.852333206081405	0.122721270149431	-0.230510555533545	0.911080158479559
O43852	CALU	9483651	8959483	8982688	9595977	8434987	7162231.5	9809740	8992786	3133507.75	7135065	2769474	8784856	0.589207396148665	0.121888924502708	-0.763152554669695	0.914035754971316
Q9C0J8	WDR33	7086773	7146243.5	7618211.5	7900075.5	9970571	9608929	10370781	8471041	7917741.5	8647418	7979685	7977659	0.815002630302102	0.0288905709901726	-0.295123379448341	1.53924387472103
Q9H1E3	NUCKS1	10212998	10622101	9599386	9507865	4237426	3959597.75	5952767.5	3083463	2400398	3882747.25	3174288	3631131	0.830230484570695	0.1945214553873	-0.268416188805244	0.711032489750021
Q13867	BLMH	9294360	7492734.5	6379370	7026792.5	5976893.5	11911751	7955850.5	7359650	4911620.5	5206223	5967892	5278404.5	0.684576223937311	0.100807042383825	-0.54671690800761	0.996509127001605
Q9NUQ8	ABCF3	6297780.5	5221637.5	5734198	6031786.5	4494826	4056343	5581449	4162261.5	4643138	4517096.5	3958238.5	4428067	1.0332763183923	0.647328891964915	0.0472261108022138	0.188875008862012
A0A8V8TM80	NBN	3874763.25	3706527.5	3302624.5	3617024.5	2917403	2376083.75	3649900.5	2573731.5	3441812.75	3458495.25	3507931	3318553.5	1.25662702306782	0.142375612927369	0.329556509887681	0.846564393269992
D3DPS3	MAP7D1	1451575.75	2743856	3730548.75	2862690.25	3628334	4485917.5	4636440.5	3723348.5	1762867.38	3121050.25	2599065.5	3223394.25	0.696787721338302	0.01563115912085	-0.521208893626272	1.80600881589483
P19367	HK1	1734710	1720378.12	1434893.75	561679	12881.06	49741.33	4110419	59457.47	5546076	5283814	4472374.5	4602484.5	90.5348639362337	0.0271619177540469	6.50040155937128	1.56603957015747
Q92541	RTF1	7284850	6369521.5	6535312.5	6635534	7820917	7243028	6576141.5	8005166.5	6388895.5	6192954.5	6212961	6888982	0.836557521950591	0.0462066546229446	-0.257463351061628	1.33529547340703
P24534	EEF1B2	40181560	44100924	38526052	40015532	41120116	40913248	36561088	38781836	48443348	42357544	38633896	42975888	1.07074900630006	0.166869096891182	0.0986203383481359	0.777624084484946
P42331	ARHGAP25	29459.15	75113.59	92523.22	92925.38	5269929	4026088.25	2901231.75	4716276.5	2697125.5	3854696	2383759	4120714	0.749433555720722	0.198650772866824	-0.416127519424667	0.701909740947687
Q8NHQ9	DDX55	3256663.75	3816119	6344134.5	5027917.5	2653801	2536597.5	2540147	2501609.25	1707063.25	2261907.5	2211298.5	2204589	0.869826618219609	0.0343600357760348	-0.20120023641208	1.46394639264853
Q16576	RBBP7	5776881	4274699.5	4015980.75	3889335	3783572.75	3215868	2925085.75	2942064.25	3473760.75	3266542.5	3131116.75	3112151.75	1.03892978848541	0.899302887927293	0.0550981593176008	0.0460940119363971
B4E0Y9	STK26	3435864.75	2935316.25	2619350	2671051.25	4179858.25	3996783	2914915.75	4088130.5	5086476	4950403	4881329.5	4722344.5	1.21605908337795	0.0288070313351229	0.282213325184143	1.54050149497209
O75792	RNASEH2A	11668266	10956316	10919942	13167147	13739932	12630315	10876566	15189796	11980708	11185114	9884731	12179930	0.878483314926857	0.14919832951472	-0.18691320956535	0.826236039374077
Q9ULI0	ATAD2B	683566.94	1913331.5	1378324.62	2028929	1258581.62	910235.69	2146399	653098.94	664651.81	975415.31	1499852.12	902145.62	0.865707278037171	0.561558474451571	-0.208048806556338	0.250605014452531
P36222	CHI3L1	22874388	11276201	9451344	10451176	5103322	3881640.75	2299331.5	5000640	15045611	8888383	11183342	11483923	2.55196448277094	0.00440722595045056	1.35160825038538	2.35583468343191
Q9NY27	PPP4R2	1766511.38	2617131.75	2715917.75	2474014.5	2994759.75	3087514.5	2518397.25	2987276.75	1120211.5	2931738	1031557.94	2559437.75	0.615116482488865	0.134598091105072	-0.701068460375926	0.87096109931273
P29590	PML	6146248	5379690.5	5190610	5209450.5	6087404.5	4623447.5	5065562	4884434	4478045	4952665	3455787	4364045.5	0.888652668805093	0.105637399930736	-0.17030844513057	0.976182296689177
A0A7I2YQG7	NDUFS2	15274077	16149392	15035316	14501307	12579704	10315275	11728375	10201207	10698778	10697233	9031905	10487152	0.961019840180732	0.218387587553038	-0.0573618792526576	0.660772049165164
E9PGT1	TSN	27107312	21236582	18750240	20075476	14796631	14646007	13491083	14549717	13821539	13204121	12958659	12435296	0.896116842315676	0.0223058847364493	-0.158241241131987	1.65158054630546
B0QY60	SUN2	2926070.5	3638728.25	2714210.75	3240349.75	3600408.25	4046139.5	2895702.75	3250330.25	3122496.75	3571841	3500756.75	3418833.25	1.01005023035108	0.87440420958329	0.0144270407755442	0.0582877602596419
Q8N8A6	DDX51	4025199.75	6037704.5	6227762	5962734	4686765	4675052.5	6948649	3371988.75	3919319.25	3873234.75	5221205.5	3542985	0.832376191909317	0.395307852672405	-0.264692393996689	0.403064558441193
Q9BXW9	FANCD2	1371445.5	1822927.12	1741487	1886921.5	1839506	2487203.5	2785010.75	2769324.5	2583822.25	2605492	2556775.75	2752285.25	0.98721328032496	0.539369452715481	-0.0185662926507503	0.268113653531575
F5H0F9	ANAPC5	3856509.75	3252084.5	3384839.5	3186572.75	1935764.62	2536775.75	2057790.12	2147496.25	1944115.25	1659800.88	2083390.5	1545618.12	0.856996602112498	0.0912804089946836	-0.222638610648965	1.0396224226681
B7ZM87	SRGAP2	3012118.5	2821261	2602515.75	2915084.25	4004561.5	3870778.5	2957248	3786144.5	3266471.75	3606755.5	3005810.25	3747831.75	0.897648735660526	0.428889873456693	-0.155777089186817	0.367654207791699
Q96BP3	PPWD1	4409267.5	4915225.5	5196322.5	5711191.5	4038120	3907160.75	4836128	4081130.5	3783913.5	4100834.75	3272769.25	4026863.5	0.962007145856628	0.187159912214953	-0.0558804844121792	0.727787167180277
Q9NXG2	THUMPD1	5355867.5	3960452.5	4663362.5	4201216.5	6797604	6371334.5	5021818.5	6842697	5877895.5	6105682	4735664	6100994	0.909632124107801	0.345085054672456	-0.136644890269499	0.462073849209913
Q08257	CRYZ	6672112.5	4739182.5	4687114	4917123	5023830.5	4266497.5	5841096.5	5588178.5	6651349.5	5032322.5	5813403.5	5262195.5	1.04368541338403	0.348487184019419	0.0616869217317281	0.457813188905975
Q02127	DHODH	6570540	5440982.5	5492550	5326641.5	5900761	5239234.5	4118634.75	5883820.5	5895573.5	6280492.5	4456002	5768479	1.04863749212784	0.605066853299476	0.0685160328283896	0.218196637884673
P13861	PRKAR2A	7486828.5	6545622.5	6079314	6390659.5	7727777.5	6519950	6235473	6213838.5	9065824	7706397	7659341.5	7431280	1.20464358571252	0.0464089437069644	0.268606363729491	1.3333983162493
Q6PJG6	BRAT1	5931776.5	4679607.5	4838950	4414917	4907892	4092337.25	4310138.5	3708618.25	4941641	4098243.25	4394413.5	3813603.5	1.01073267007048	0.874715751526299	0.0154014675050234	0.0581330528054146
B9A018	USP39	7685243.5	8498111	7855038.5	9042921	7156931	7442196.5	9962162	6864064.5	6385108.5	6469079	6741707	6436868.5	0.884021836236446	0.154091625193751	-0.177846088798991	0.812220964337892
Q96KP1	EXOC2	5106383	5104625.5	4737271	5206358.5	3948807.5	3630472.25	4285276	4285085	3976036.75	4330806.5	3210021.5	4219308	0.995318404994964	0.742218160078071	-0.00676997342811759	0.129468423841707
Q9C075	KRT23	23383.25	30678.97	80274.28	45901.79	28643.31	4296551.5	52326.1	59457.47	54672.67	58703.39	3096487.25	64536.61	1.10248760171106	0.832006065651499	0.140762431700664	0.0798735075201261
F5H8F7	ASH2L	4348492	5101600	5281479	5866983	4003049	4144448.75	5942436.5	4233843.5	3493714.25	4038281.5	2991614.75	4321247	0.898989379369047	0.168823375806614	-0.153624022998713	0.77256741979003
O75947	ATP5PD	21421716	19514592	18303278	19502122	12208256	11163494	11696973	10894233	22590242	18162150	20255856	17933404	1.68054335897862	0.00327337524774414	0.748927765482256	2.48500420591007
P16157	ANK1	23383.25	30678.97	49763.07	45901.79	28643.31	53056.38	3499455.75	59457.47	38979.94	58703.39	57829.88	64536.61	1.03572377978356	0.394848671630834	0.0506392977440546	0.403569318723145
Q9Y3L3	SH3BP1	673802.06	466885.38	483812.62	546720.56	894149.06	672218.5	644586.94	716473.25	860580.81	684337.44	657170.94	500015.41	0.966023150926042	0.567395832221525	-0.0498703309547043	0.246113858617433
I3VM54	KDM2A	339389.59	4632797.5	3545496.75	4624194	2852955.75	3457828.75	7651839.5	1723043	1876761.38	3130211	3707686.25	2219107.5	0.847647150683089	0.436612440984359	-0.238464254505383	0.359903893514929
Q9NW82	WDR70	5448274.5	5897251	5101099	5403543	3990929	4134090.5	4209585.5	4097228.75	3841323.5	3804302.75	3852671.25	3594167	0.928845792246486	0.00533212095701166	-0.106488995833753	2.27310000735141
P30533	LRPAP1	6183206.5	5334863	5234744	5009597	4916239.5	4718646	5200321	5168400.5	9170041	8873138	8928721	7421489.5	1.76524486744197	0.00174569859958321	0.819868322046635	2.75803073648214
O14777	NDC80	3938470.5	4719127.5	4346871	4531495	4526596	4442814.5	5554693.5	5710165.5	4731923.5	5992448	4767423	5517702	1.02021918922178	0.683480779953067	0.0288791416392378	0.165273693645813
Q7L2H7	EIF3M	6192503.5	6233871	5863783.5	6102486.5	4046203.25	3717771.5	5472699	4707738	4593673	4618452.5	4754211	4806995.5	1.07067927831935	0.632012236626197	0.0985263859027132	0.199274513097697
A0A804HKH9	AIP	13818075	11109353	11763872	12148225	19407240	16695330	14609146	18703350	20631328	20299792	18998724	19842488	1.13400499679649	0.0916489461751697	0.18142699727982	1.03787252440542
A0A8V8TL59	PRKACA	1637593.88	932167.31	884950.69	711761.31	1242752.38	1243582.25	931366.88	1061626.62	1198282.88	1080642.88	1203891.38	908629	0.988954403767783	0.837870531925679	-0.0160240885384898	0.0768230835345997
Q9Y376	CAB39	12159714	10668888	9842549	10969701	11670227	9460448	10548949	11663900	11463253	11659057	9792403	11003598	1.01143491318921	0.838736801999358	0.0164034840678396	0.0763743006398782
A0A2R8Y6Y7	SUCLA2	15630801	14885381	15087793	15945051	11381720	9351406	6519122.5	10156559	5552203	4990018.5	4638306	5510616.5	0.538274238240637	0.0245095559509814	-0.893586715140001	1.61066455695622
P21283	ATP6V1C1	7771153	7538996	7105448.5	7350530.5	9256017	7459300	8242556.5	7755056	9074976	8600033	7365949	8282192	1.05529653252946	0.784781419321365	0.0776484452817676	0.105251287969759
A0A8I5KP51	RARS2	3760593.75	2888090.5	3345342.75	2884761.5	2986070.5	3301000.5	3244685.5	2695842.75	3356889.75	3047508.5	2773264	2610775	0.934200039288972	0.627360650202471	-0.0981965890748778	0.202482724936754
A0A7P0T7Z2	ARFGEF2	1835892.38	2228219.5	2639279	2483712.25	1740195.25	1952548.75	1680273.25	2247584.5	1436985.5	2264155	1810326.38	2116067.5	1.06327269910939	0.994089444246839	0.0885116544398002	0.00257453774029088
Q5GLZ8	HERC4	4940548	5287506	5698768.5	5433073	3344238.25	2921910.75	2768953	3508816.25	2892071.75	4000182.5	2765039	3408134	1.00543503673468	0.709711851888241	0.00781986910379163	0.148917942176094
F8W7C6	RPL10	63738824	4420867.5	6619743	5167955	5134599	10960841	7527458	6722651.5	100450368	3633853	115959168	5261669.5	7.41833159246952	0.204043064304575	2.89109475639842	0.690278162887496
Q93034	CUL5	5104724	4909898	4580167.5	4702330	5222446.5	3923496.5	4136160.25	4997379	5073891.5	5170179.5	4772554.5	5382823	1.121588326234	0.197893494564593	0.16554323861598	0.703568482302636
J3QR07	YTHDC1	4561082	10812451	10655085	13067846	9635003	10473760	14136427	6199262.5	5908019	6640372.5	8452053	7723402.5	0.714304256308556	0.170092621041	-0.48538937697816	0.76931452654432
P62873	GNB1	5114429	2870658.25	3825052.75	2318226.75	3083348.25	3836813	1344895.5	1869887.62	14018013	2022648.38	9243736	2603311.5	2.39177939652609	0.219255341130779	1.2580843300817	0.6590498182795
A0A1W2PNW1	STAT6	4781489.5	2664178	3269774.75	2941651.5	4410071	3539068.5	2675622.25	3701661.25	4257084	3725969.5	3982162.25	3209161	1.06455178084778	0.635288100508194	0.090246125605555	0.197029279297239
Q96C86	DCPS	9877178	6702830.5	6143156.5	7174310.5	9027115	7753060.5	5769677	7877880	9304911	9359171	8609164	9519515	1.19404728077623	0.0960818595895645	0.255859964233272	1.01735860009234
P51149	RAB7A	58507656	53826080	46119136	42711304	24140666	21857432	25876730	26243156	22085600	23294088	20595912	22636092	0.894122756810451	0.0972725620811982	-0.161455177926448	1.01200964500585
Q5BKZ1	ZNF326	2216632.25	2839270.5	2921961.25	3638264.75	5154383	5243670	8380273.5	4259997.5	4489955.5	5190423	5755166	5533192.5	1.03130994812202	0.615724621994227	0.0444779829653756	0.210613479212773
P36542	ATP5F1C	40963720	34311108	37981816	33328260	42293956	36050956	36196720	34190308	36519976	33641784	32230914	31960084	0.911762172114713	0.141377208177898	-0.133270540076658	0.849620598745628
F5H5P2		6826717.5	5087596.5	5473435	4608714.5	8510166	7780809	4902035	6895021.5	7534049	7423103.5	7113121	6066227	0.990487352657827	0.989282406846297	-0.0137895411500098	0.0046797142395936
