A	B	nOverlap
cell junction assembly	kidney epithelium development	2
cell junction assembly	kidney morphogenesis	2
cell junction assembly	epithelial tube morphogenesis	3
cell junction assembly	positive regulation of MAP kinase activity	2
cell junction assembly	excitatory postsynaptic potential	3
cell junction assembly	regulation of hormone levels	2
cell junction assembly	cell part morphogenesis	5
cell junction assembly	calcium ion transport	2
cell junction assembly	establishment of cell polarity	2
cell junction assembly	cellular amino acid metabolic process	2
cell junction assembly	negative regulation of neuron death	3
cell junction assembly	chordate embryonic development	4
cell junction assembly	regulation of osteoclast differentiation	2
cell junction assembly	cellular chemical homeostasis	2
cell junction assembly	regulation of membrane potential	4
cell junction assembly	gastrulation	2
cell junction assembly	neuron projection membrane	2
cell junction assembly	membrane raft	7
cell junction assembly	membrane microdomain	7
cell junction assembly	actin cytoskeleton	4
cell junction assembly	lateral plasma membrane	3
cell junction assembly	cell projection membrane	4
cell junction assembly	receptor complex	4
cell junction assembly	cell cortex	3
cell junction assembly	plasma membrane raft	4
cell junction assembly	ion channel complex	2
cell junction assembly	integral component of synaptic membrane	2
cell junction assembly	myofibril	2
cell junction assembly	euchromatin	2
cell junction assembly	contractile fiber	2
cell junction assembly	intrinsic component of synaptic membrane	2
cell junction assembly	caveola	3
cell junction assembly	leading edge membrane	3
cell junction assembly	actin binding	4
cell junction assembly	ion channel activity	2
cell junction assembly	channel activity	3
cell junction assembly	passive transmembrane transporter activity	3
cell junction assembly	calmodulin binding	2
cell junction assembly	actin filament binding	3
cell junction assembly	transmitter-gated ion channel activity	2
cell junction assembly	transmitter-gated channel activity	2
cell junction assembly	extracellular ligand-gated ion channel activity	2
cell junction assembly	ligand-gated ion channel activity	2
cell junction assembly	ligand-gated channel activity	2
cell junction assembly	ion transmembrane transporter activity	3
cell junction assembly	gated channel activity	2
cell junction assembly	transmembrane transporter activity	3
cell junction assembly	inorganic molecular entity transmembrane transporter activity	2
arachidonic acid metabolic process	organic acid biosynthetic process	4
arachidonic acid metabolic process	carboxylic acid biosynthetic process	4
arachidonic acid metabolic process	icosanoid metabolic process	4
arachidonic acid metabolic process	monocarboxylic acid biosynthetic process	4
arachidonic acid metabolic process	olefinic compound metabolic process	4
arachidonic acid metabolic process	fatty acid biosynthetic process	4
arachidonic acid metabolic process	response to oxidative stress	2
arachidonic acid metabolic process	unsaturated fatty acid metabolic process	4
arachidonic acid metabolic process	carboxylic acid metabolic process	4
arachidonic acid metabolic process	small molecule biosynthetic process	4
arachidonic acid metabolic process	prostanoid metabolic process	2
arachidonic acid metabolic process	prostaglandin metabolic process	2
arachidonic acid metabolic process	oxoacid metabolic process	4
arachidonic acid metabolic process	organic acid metabolic process	4
arachidonic acid metabolic process	monocarboxylic acid metabolic process	4
arachidonic acid metabolic process	long-chain fatty acid metabolic process	4
arachidonic acid metabolic process	lysophospholipase activity	2
negative regulation of lipid metabolic process	negative regulation of cell differentiation	2
negative regulation of lipid metabolic process	organic acid biosynthetic process	4
negative regulation of lipid metabolic process	carboxylic acid biosynthetic process	4
negative regulation of lipid metabolic process	negative regulation of fatty acid metabolic process	4
negative regulation of lipid metabolic process	regulation of cellular ketone metabolic process	7
negative regulation of lipid metabolic process	cellular ketone metabolic process	7
negative regulation of lipid metabolic process	monocarboxylic acid biosynthetic process	4
negative regulation of lipid metabolic process	negative regulation of small molecule metabolic process	7
negative regulation of lipid metabolic process	olefinic compound metabolic process	2
negative regulation of lipid metabolic process	negative regulation of immune system process	3
negative regulation of lipid metabolic process	cellular response to peptide	2
negative regulation of lipid metabolic process	fatty acid biosynthetic process	3
negative regulation of lipid metabolic process	tissue morphogenesis	2
negative regulation of lipid metabolic process	skin development	2
negative regulation of lipid metabolic process	ERBB signaling pathway	2
negative regulation of lipid metabolic process	carboxylic acid metabolic process	6
negative regulation of lipid metabolic process	response to insulin	2
negative regulation of lipid metabolic process	small molecule biosynthetic process	5
negative regulation of lipid metabolic process	negative regulation of fatty acid oxidation	2
negative regulation of lipid metabolic process	regulated exocytosis	2
negative regulation of lipid metabolic process	response to fatty acid	2
negative regulation of lipid metabolic process	response to peptide	2
negative regulation of lipid metabolic process	cell growth	2
negative regulation of lipid metabolic process	vitamin metabolic process	2
negative regulation of lipid metabolic process	negative regulation of hormone metabolic process	2
negative regulation of lipid metabolic process	oxoacid metabolic process	6
negative regulation of lipid metabolic process	ketone biosynthetic process	2
negative regulation of lipid metabolic process	morphogenesis of an epithelium	2
negative regulation of lipid metabolic process	epidermal growth factor receptor signaling pathway	2
negative regulation of lipid metabolic process	organic acid metabolic process	6
negative regulation of lipid metabolic process	regulation of lipid biosynthetic process	6
negative regulation of lipid metabolic process	regulation of lipid metabolic process	8
negative regulation of lipid metabolic process	regulation of epithelial cell migration	2
negative regulation of lipid metabolic process	cell surface receptor signaling pathway involved in cell-cell signaling	2
negative regulation of lipid metabolic process	multicellular organismal homeostasis	2
negative regulation of lipid metabolic process	monocarboxylic acid metabolic process	6
negative regulation of lipid metabolic process	regulation of ketone biosynthetic process	2
negative regulation of lipid metabolic process	negative regulation of fatty acid biosynthetic process	2
negative regulation of lipid metabolic process	olefinic compound biosynthetic process	2
negative regulation of lipid metabolic process	negative regulation of cell activation	2
negative regulation of lipid metabolic process	embryo development ending in birth or egg hatching	2
negative regulation of lipid metabolic process	regulation of canonical Wnt signaling pathway	2
negative regulation of lipid metabolic process	isoprenoid biosynthetic process	2
negative regulation of lipid metabolic process	retinoic acid metabolic process	2
negative regulation of lipid metabolic process	regulation of hormone metabolic process	2
negative regulation of lipid metabolic process	regulation of hormone levels	3
negative regulation of lipid metabolic process	regulation of phosphatidylinositol 3-kinase signaling	2
negative regulation of lipid metabolic process	chordate embryonic development	2
negative regulation of lipid metabolic process	spermatogenesis	2
negative regulation of lipid metabolic process	transmembrane transporter activity	2
regulation of morphogenesis of an epithelium	tissue remodeling	2
regulation of morphogenesis of an epithelium	maintenance of blood-brain barrier	2
regulation of morphogenesis of an epithelium	hair follicle development	2
regulation of morphogenesis of an epithelium	molting cycle process	2
regulation of morphogenesis of an epithelium	hair cycle process	2
regulation of morphogenesis of an epithelium	regulation of morphogenesis of a branching structure	5
regulation of morphogenesis of an epithelium	skin epidermis development	2
regulation of morphogenesis of an epithelium	positive regulation of branching involved in ureteric bud morphogenesis	3
regulation of morphogenesis of an epithelium	negative regulation of cell differentiation	3
regulation of morphogenesis of an epithelium	cell-cell junction organization	3
regulation of morphogenesis of an epithelium	negative regulation of cell development	2
regulation of morphogenesis of an epithelium	negative regulation of oxidative stress-induced cell death	2
regulation of morphogenesis of an epithelium	regulation of branching involved in ureteric bud morphogenesis	3
regulation of morphogenesis of an epithelium	regulation of cell proliferation involved in heart morphogenesis	2
regulation of morphogenesis of an epithelium	stress-activated MAPK cascade	2
regulation of morphogenesis of an epithelium	cell proliferation involved in heart morphogenesis	2
regulation of morphogenesis of an epithelium	bone remodeling	2
regulation of morphogenesis of an epithelium	molting cycle	2
regulation of morphogenesis of an epithelium	hair cycle	2
regulation of morphogenesis of an epithelium	branching involved in ureteric bud morphogenesis	4
regulation of morphogenesis of an epithelium	regulation of DNA-binding transcription factor activity	2
regulation of morphogenesis of an epithelium	cell junction organization	3
regulation of morphogenesis of an epithelium	positive regulation of I-kappaB kinase/NF-kappaB signaling	2
regulation of morphogenesis of an epithelium	stress-activated protein kinase signaling cascade	2
regulation of morphogenesis of an epithelium	ureteric bud morphogenesis	4
regulation of morphogenesis of an epithelium	mesonephric tubule morphogenesis	4
regulation of morphogenesis of an epithelium	cellular response to growth factor stimulus	4
regulation of morphogenesis of an epithelium	regulation of neuron projection development	2
regulation of morphogenesis of an epithelium	negative regulation of immune system process	2
regulation of morphogenesis of an epithelium	ureteric bud development	4
regulation of morphogenesis of an epithelium	response to oxidative stress	2
regulation of morphogenesis of an epithelium	mesonephric epithelium development	4
regulation of morphogenesis of an epithelium	mesonephric tubule development	4
regulation of morphogenesis of an epithelium	tissue morphogenesis	6
regulation of morphogenesis of an epithelium	skin development	2
regulation of morphogenesis of an epithelium	response to growth factor	4
regulation of morphogenesis of an epithelium	positive regulation of neuron projection development	2
regulation of morphogenesis of an epithelium	mesonephros development	4
regulation of morphogenesis of an epithelium	heart morphogenesis	3
regulation of morphogenesis of an epithelium	nephron tubule morphogenesis	4
regulation of morphogenesis of an epithelium	cell-cell junction assembly	2
regulation of morphogenesis of an epithelium	positive regulation of DNA metabolic process	2
regulation of morphogenesis of an epithelium	appendage development	2
regulation of morphogenesis of an epithelium	limb development	2
regulation of morphogenesis of an epithelium	embryonic organ morphogenesis	2
regulation of morphogenesis of an epithelium	regulation of system process	2
regulation of morphogenesis of an epithelium	renal tubule morphogenesis	4
regulation of morphogenesis of an epithelium	nephron epithelium morphogenesis	4
regulation of morphogenesis of an epithelium	regulation of I-kappaB kinase/NF-kappaB signaling	2
regulation of morphogenesis of an epithelium	peptidyl-serine modification	2
regulation of morphogenesis of an epithelium	mesoderm development	2
regulation of morphogenesis of an epithelium	epithelial cell proliferation involved in prostate gland development	2
regulation of morphogenesis of an epithelium	regulation of animal organ morphogenesis	5
regulation of morphogenesis of an epithelium	outflow tract morphogenesis	2
regulation of morphogenesis of an epithelium	nephron morphogenesis	4
regulation of morphogenesis of an epithelium	heart development	4
regulation of morphogenesis of an epithelium	cell growth	4
regulation of morphogenesis of an epithelium	I-kappaB kinase/NF-kappaB signaling	2
regulation of morphogenesis of an epithelium	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	2
regulation of morphogenesis of an epithelium	neuron migration	2
regulation of morphogenesis of an epithelium	regulation of kidney development	3
regulation of morphogenesis of an epithelium	vasculogenesis	2
regulation of morphogenesis of an epithelium	morphogenesis of an epithelium	6
regulation of morphogenesis of an epithelium	regulation of cell development	2
regulation of morphogenesis of an epithelium	regulation of oxidative stress-induced cell death	2
regulation of morphogenesis of an epithelium	myeloid leukocyte differentiation	2
regulation of morphogenesis of an epithelium	regulation of epithelial cell migration	2
regulation of morphogenesis of an epithelium	plasma membrane bounded cell projection morphogenesis	2
regulation of morphogenesis of an epithelium	negative regulation of cellular component organization	3
regulation of morphogenesis of an epithelium	peptidyl-serine phosphorylation	2
regulation of morphogenesis of an epithelium	respiratory system development	3
regulation of morphogenesis of an epithelium	cell projection morphogenesis	2
regulation of morphogenesis of an epithelium	regulation of endothelial cell differentiation	2
regulation of morphogenesis of an epithelium	smooth muscle cell differentiation	3
regulation of morphogenesis of an epithelium	cell surface receptor signaling pathway involved in cell-cell signaling	2
regulation of morphogenesis of an epithelium	multicellular organismal homeostasis	4
regulation of morphogenesis of an epithelium	appendage morphogenesis	2
regulation of morphogenesis of an epithelium	limb morphogenesis	2
regulation of morphogenesis of an epithelium	p38MAPK cascade	2
regulation of morphogenesis of an epithelium	trachea development	2
regulation of morphogenesis of an epithelium	trophoblast cell migration	2
regulation of morphogenesis of an epithelium	renal vesicle morphogenesis	2
regulation of morphogenesis of an epithelium	nephron tubule formation	2
regulation of morphogenesis of an epithelium	renal vesicle development	2
regulation of morphogenesis of an epithelium	regulation of trophoblast cell migration	2
regulation of morphogenesis of an epithelium	endothelial cell differentiation	2
regulation of morphogenesis of an epithelium	nephron epithelium development	4
regulation of morphogenesis of an epithelium	embryo development ending in birth or egg hatching	3
regulation of morphogenesis of an epithelium	kidney epithelium development	4
regulation of morphogenesis of an epithelium	regulation of canonical Wnt signaling pathway	2
regulation of morphogenesis of an epithelium	kidney morphogenesis	4
regulation of morphogenesis of an epithelium	regulation of cellular response to oxidative stress	2
regulation of morphogenesis of an epithelium	regulation of response to oxidative stress	2
regulation of morphogenesis of an epithelium	negative regulation of cysteine-type endopeptidase activity	2
regulation of morphogenesis of an epithelium	epithelial tube morphogenesis	4
regulation of morphogenesis of an epithelium	positive regulation of MAP kinase activity	2
regulation of morphogenesis of an epithelium	cell part morphogenesis	2
regulation of morphogenesis of an epithelium	regulation of phosphatidylinositol 3-kinase signaling	2
regulation of morphogenesis of an epithelium	chordate embryonic development	3
regulation of morphogenesis of an epithelium	cellular response to oxidative stress	2
regulation of morphogenesis of an epithelium	gastrulation	2
regulation of morphogenesis of an epithelium	spermatogenesis	2
regulation of morphogenesis of an epithelium	membrane raft	2
regulation of morphogenesis of an epithelium	membrane microdomain	2
tissue remodeling	negative regulation of platelet activation	2
tissue remodeling	negative regulation of myeloid cell differentiation	6
tissue remodeling	negative regulation of cell differentiation	6
tissue remodeling	cell-cell junction organization	3
tissue remodeling	negative regulation of osteoclast differentiation	4
tissue remodeling	telencephalon development	2
tissue remodeling	negative regulation of cell development	2
tissue remodeling	negative regulation of oxidative stress-induced cell death	2
tissue remodeling	stress-activated MAPK cascade	3
tissue remodeling	bone remodeling	6
tissue remodeling	tumor necrosis factor-mediated signaling pathway	3
tissue remodeling	regulation of DNA-binding transcription factor activity	3
tissue remodeling	cell junction organization	4
tissue remodeling	bone resorption	5
tissue remodeling	positive regulation of I-kappaB kinase/NF-kappaB signaling	2
tissue remodeling	stress-activated protein kinase signaling cascade	3
tissue remodeling	response to muscle stretch	2
tissue remodeling	negative regulation of wound healing	2
tissue remodeling	cellular response to growth factor stimulus	3
tissue remodeling	negative regulation of immune system process	5
tissue remodeling	regulation of tissue remodeling	5
tissue remodeling	cellular response to peptide	3
tissue remodeling	response to oxidative stress	3
tissue remodeling	response to tumor necrosis factor	3
tissue remodeling	tissue morphogenesis	4
tissue remodeling	response to growth factor	3
tissue remodeling	heart morphogenesis	2
tissue remodeling	cell-cell junction assembly	3
tissue remodeling	regulation of platelet activation	2
tissue remodeling	positive regulation of DNA metabolic process	2
tissue remodeling	appendage development	2
tissue remodeling	limb development	2
tissue remodeling	embryonic organ morphogenesis	2
tissue remodeling	cytokine-mediated signaling pathway	4
tissue remodeling	cellular response to tumor necrosis factor	3
tissue remodeling	ERBB signaling pathway	2
tissue remodeling	regulation of system process	2
tissue remodeling	negative regulation of response to wounding	2
tissue remodeling	regulation of I-kappaB kinase/NF-kappaB signaling	2
tissue remodeling	small molecule biosynthetic process	2
tissue remodeling	collagen-activated signaling pathway	2
tissue remodeling	JNK cascade	3
tissue remodeling	response to peptide	3
tissue remodeling	vascular endothelial growth factor receptor signaling pathway	2
tissue remodeling	heart development	3
tissue remodeling	cell growth	4
tissue remodeling	I-kappaB kinase/NF-kappaB signaling	3
tissue remodeling	response to reactive oxygen species	2
tissue remodeling	negative regulation of bone resorption	2
tissue remodeling	vasculogenesis	2
tissue remodeling	morphogenesis of an epithelium	3
tissue remodeling	wound healing	3
tissue remodeling	epidermal growth factor receptor signaling pathway	2
tissue remodeling	regulation of cell development	3
tissue remodeling	regulation of oxidative stress-induced cell death	2
tissue remodeling	myeloid leukocyte differentiation	5
tissue remodeling	regulation of lipid metabolic process	2
tissue remodeling	regulation of epithelial cell migration	3
tissue remodeling	platelet activation	2
tissue remodeling	respiratory system development	3
tissue remodeling	regulation of endothelial cell differentiation	2
tissue remodeling	regulation of coagulation	2
tissue remodeling	regulation of wound healing	3
tissue remodeling	cell surface receptor signaling pathway involved in cell-cell signaling	2
tissue remodeling	multicellular organismal homeostasis	6
tissue remodeling	appendage morphogenesis	2
tissue remodeling	limb morphogenesis	2
tissue remodeling	regulation of JUN kinase activity	2
tissue remodeling	negative regulation of blood coagulation	2
tissue remodeling	negative regulation of bone remodeling	2
tissue remodeling	endothelial cell differentiation	2
tissue remodeling	regulation of response to wounding	3
tissue remodeling	response to wounding	3
tissue remodeling	negative regulation of cell activation	2
tissue remodeling	regulation of leukocyte differentiation	5
tissue remodeling	blood vessel remodeling	3
tissue remodeling	negative regulation of hemostasis	2
tissue remodeling	embryo development ending in birth or egg hatching	2
tissue remodeling	coagulation	2
tissue remodeling	regulation of transcription regulatory region DNA binding	2
tissue remodeling	regulation of cellular response to oxidative stress	2
tissue remodeling	regulation of response to oxidative stress	2
tissue remodeling	negative regulation of coagulation	2
tissue remodeling	regulation of hormone levels	2
tissue remodeling	calcium ion transport	4
tissue remodeling	establishment of cell polarity	2
tissue remodeling	hemostasis	2
tissue remodeling	negative regulation of neuron death	2
tissue remodeling	chordate embryonic development	2
tissue remodeling	cellular response to oxidative stress	2
tissue remodeling	regulation of osteoclast differentiation	4
tissue remodeling	cellular chemical homeostasis	3
tissue remodeling	negative regulation of tissue remodeling	2
tissue remodeling	regulation of membrane potential	2
tissue remodeling	gastrulation	2
tissue remodeling	negative regulation of cell-cell adhesion	2
tissue remodeling	membrane raft	3
tissue remodeling	membrane microdomain	3
tissue remodeling	lateral plasma membrane	2
tissue remodeling	cell projection membrane	2
tissue remodeling	receptor complex	3
tissue remodeling	cell cortex	2
tissue remodeling	channel activity	2
tissue remodeling	passive transmembrane transporter activity	2
tissue remodeling	protein phosphatase binding	3
tissue remodeling	phosphotransferase activity, alcohol group as acceptor	3
tissue remodeling	protein kinase activity	3
tissue remodeling	phosphatase binding	3
tissue remodeling	ion transmembrane transporter activity	2
tissue remodeling	ubiquitin protein ligase binding	3
tissue remodeling	transmembrane transporter activity	3
maintenance of blood-brain barrier	negative regulation of vascular permeability	2
maintenance of blood-brain barrier	negative regulation of cell differentiation	3
maintenance of blood-brain barrier	cell-cell junction organization	3
maintenance of blood-brain barrier	negative regulation of cell development	3
maintenance of blood-brain barrier	cell junction organization	3
maintenance of blood-brain barrier	regulation of neuron projection development	2
maintenance of blood-brain barrier	tissue morphogenesis	2
maintenance of blood-brain barrier	regulation of system process	2
maintenance of blood-brain barrier	mesoderm development	2
maintenance of blood-brain barrier	response to peptide	2
maintenance of blood-brain barrier	heart development	2
maintenance of blood-brain barrier	cell growth	2
maintenance of blood-brain barrier	regulation of axonogenesis	2
maintenance of blood-brain barrier	morphogenesis of an epithelium	2
maintenance of blood-brain barrier	wound healing	2
maintenance of blood-brain barrier	regulation of cell development	3
maintenance of blood-brain barrier	plasma membrane bounded cell projection morphogenesis	2
maintenance of blood-brain barrier	negative regulation of cellular component organization	2
maintenance of blood-brain barrier	cell projection morphogenesis	2
maintenance of blood-brain barrier	multicellular organismal homeostasis	4
maintenance of blood-brain barrier	trophoblast cell migration	2
maintenance of blood-brain barrier	regulation of trophoblast cell migration	2
maintenance of blood-brain barrier	response to wounding	2
maintenance of blood-brain barrier	regulation of hormone levels	2
maintenance of blood-brain barrier	cell part morphogenesis	2
maintenance of blood-brain barrier	gastrulation	2
maintenance of blood-brain barrier	negative regulation of cell-cell adhesion	2
maintenance of blood-brain barrier	channel activity	2
maintenance of blood-brain barrier	passive transmembrane transporter activity	2
maintenance of blood-brain barrier	ion transmembrane transporter activity	2
maintenance of blood-brain barrier	transmembrane transporter activity	2
negative regulation of platelet activation	negative regulation of myeloid cell differentiation	2
negative regulation of platelet activation	negative regulation of cell differentiation	2
negative regulation of platelet activation	negative regulation of wound healing	3
negative regulation of platelet activation	negative regulation of immune system process	2
negative regulation of platelet activation	regulation of tissue remodeling	2
negative regulation of platelet activation	regulation of platelet activation	3
negative regulation of platelet activation	negative regulation of response to wounding	3
negative regulation of platelet activation	wound healing	3
negative regulation of platelet activation	myeloid leukocyte differentiation	2
negative regulation of platelet activation	platelet activation	3
negative regulation of platelet activation	regulation of coagulation	3
negative regulation of platelet activation	regulation of wound healing	3
negative regulation of platelet activation	negative regulation of blood coagulation	3
negative regulation of platelet activation	regulation of response to wounding	3
negative regulation of platelet activation	response to wounding	3
negative regulation of platelet activation	negative regulation of cell activation	3
negative regulation of platelet activation	regulation of leukocyte differentiation	2
negative regulation of platelet activation	negative regulation of hemostasis	3
negative regulation of platelet activation	coagulation	3
negative regulation of platelet activation	negative regulation of coagulation	3
negative regulation of platelet activation	hemostasis	3
negative regulation of platelet activation	negative regulation of cell-cell adhesion	2
regulation of protein kinase C signaling	vascular endothelial growth factor signaling pathway	2
regulation of protein kinase C signaling	stress-activated MAPK cascade	2
regulation of protein kinase C signaling	cellular response to vascular endothelial growth factor stimulus	2
regulation of protein kinase C signaling	stress-activated protein kinase signaling cascade	2
regulation of protein kinase C signaling	cellular response to growth factor stimulus	2
regulation of protein kinase C signaling	protein kinase C signaling	3
regulation of protein kinase C signaling	response to growth factor	2
regulation of protein kinase C signaling	vascular endothelial growth factor receptor signaling pathway	2
regulation of protein kinase C signaling	wound healing	2
regulation of protein kinase C signaling	regulation of epithelial cell migration	2
regulation of protein kinase C signaling	respiratory system development	2
regulation of protein kinase C signaling	response to wounding	2
regulation of protein kinase C signaling	phosphotransferase activity, alcohol group as acceptor	2
hair follicle development	molting cycle process	7
hair follicle development	hair cycle process	7
hair follicle development	regulation of morphogenesis of a branching structure	2
hair follicle development	skin epidermis development	7
hair follicle development	negative regulation of cell differentiation	3
hair follicle development	embryonic axis specification	2
hair follicle development	regulation of cell proliferation involved in heart morphogenesis	3
hair follicle development	cell proliferation involved in heart morphogenesis	3
hair follicle development	molting cycle	7
hair follicle development	hair cycle	7
hair follicle development	branching involved in ureteric bud morphogenesis	3
hair follicle development	regulation of DNA-binding transcription factor activity	2
hair follicle development	epithelial structure maintenance	2
hair follicle development	ureteric bud morphogenesis	3
hair follicle development	mesonephric tubule morphogenesis	3
hair follicle development	cellular response to growth factor stimulus	3
hair follicle development	embryonic pattern specification	2
hair follicle development	negative regulation of immune system process	3
hair follicle development	ureteric bud development	3
hair follicle development	mesonephric epithelium development	3
hair follicle development	mesonephric tubule development	3
hair follicle development	tissue morphogenesis	4
hair follicle development	gastrulation with mouth forming second	2
hair follicle development	skin development	7
hair follicle development	response to growth factor	3
hair follicle development	mesonephros development	3
hair follicle development	heart morphogenesis	3
hair follicle development	nephron tubule morphogenesis	3
hair follicle development	anterior/posterior axis specification	2
hair follicle development	positive regulation of DNA metabolic process	2
hair follicle development	appendage development	4
hair follicle development	limb development	4
hair follicle development	embryonic organ morphogenesis	2
hair follicle development	cytokine-mediated signaling pathway	2
hair follicle development	regulation of system process	2
hair follicle development	renal tubule morphogenesis	3
hair follicle development	nephron epithelium morphogenesis	3
hair follicle development	heart valve formation	2
hair follicle development	epithelial cell proliferation involved in prostate gland development	2
hair follicle development	regulation of animal organ morphogenesis	2
hair follicle development	outflow tract morphogenesis	2
hair follicle development	nephron morphogenesis	3
hair follicle development	heart development	3
hair follicle development	cell growth	3
hair follicle development	regulation of endocrine process	2
hair follicle development	morphogenesis of an epithelium	4
hair follicle development	regulation of cell development	2
hair follicle development	regulation of lipid metabolic process	2
hair follicle development	plasma membrane bounded cell projection morphogenesis	2
hair follicle development	negative regulation of cellular component organization	2
hair follicle development	respiratory system development	2
hair follicle development	cell projection morphogenesis	2
hair follicle development	smooth muscle cell differentiation	2
hair follicle development	cell surface receptor signaling pathway involved in cell-cell signaling	3
hair follicle development	multicellular organismal homeostasis	3
hair follicle development	appendage morphogenesis	3
hair follicle development	limb morphogenesis	3
hair follicle development	regulation of hair follicle development	2
hair follicle development	trachea development	2
hair follicle development	renal vesicle morphogenesis	2
hair follicle development	nephron tubule formation	2
hair follicle development	renal vesicle development	2
hair follicle development	endothelial cell differentiation	2
hair follicle development	nephron epithelium development	3
hair follicle development	anterior/posterior pattern specification	2
hair follicle development	axis specification	2
hair follicle development	embryo development ending in birth or egg hatching	3
hair follicle development	kidney epithelium development	3
hair follicle development	regulation of canonical Wnt signaling pathway	2
hair follicle development	kidney morphogenesis	3
hair follicle development	epithelial tube morphogenesis	3
hair follicle development	regulation of hormone levels	2
hair follicle development	cell part morphogenesis	2
hair follicle development	negative regulation of neuron death	2
hair follicle development	chordate embryonic development	3
hair follicle development	gastrulation	2
hair follicle development	spermatogenesis	2
hair follicle development	I-SMAD binding	2
hair follicle development	SMAD binding	2
hair follicle development	DNA-binding transcription activator activity, RNA polymerase II-specific	2
cerebellum development	negative regulation of cell differentiation	2
cerebellum development	telencephalon development	5
cerebellum development	metencephalon development	7
cerebellum development	pallium development	5
cerebellum development	cell junction organization	2
cerebellum development	regulation of neuron projection development	3
cerebellum development	cerebral cortex development	3
cerebellum development	cellular response to peptide	2
cerebellum development	response to oxidative stress	3
cerebellum development	limbic system development	3
cerebellum development	hindbrain development	7
cerebellum development	positive regulation of DNA metabolic process	2
cerebellum development	embryonic organ morphogenesis	2
cerebellum development	regulation of system process	2
cerebellum development	regulation of protein binding	2
cerebellum development	carboxylic acid metabolic process	3
cerebellum development	response to peptide	2
cerebellum development	neuron migration	2
cerebellum development	oxoacid metabolic process	3
cerebellum development	regulation of cell development	3
cerebellum development	organic acid metabolic process	3
cerebellum development	plasma membrane bounded cell projection morphogenesis	2
cerebellum development	negative regulation of cellular component organization	2
cerebellum development	cell projection morphogenesis	2
cerebellum development	hippocampus development	3
cerebellum development	cell surface receptor signaling pathway involved in cell-cell signaling	2
cerebellum development	anterior/posterior pattern specification	2
cerebellum development	regulation of transcription regulatory region DNA binding	2
cerebellum development	dendrite development	4
cerebellum development	cell part morphogenesis	2
cerebellum development	cellular amino acid metabolic process	2
cerebellum development	negative regulation of neuron death	2
cerebellum development	cellular chemical homeostasis	2
cerebellum development	regulation of membrane potential	2
cerebellum development	memory	2
cerebellum development	membrane raft	2
cerebellum development	membrane microdomain	2
cerebellum development	neuronal cell body	2
regulation of T-helper 1 type immune response	negative regulation of cell differentiation	2
regulation of T-helper 1 type immune response	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	3
regulation of T-helper 1 type immune response	negative regulation of adaptive immune response	3
regulation of T-helper 1 type immune response	positive regulation of macrophage activation	3
regulation of T-helper 1 type immune response	negative regulation of immune system process	3
regulation of T-helper 1 type immune response	T-helper 1 type immune response	4
regulation of T-helper 1 type immune response	cytokine-mediated signaling pathway	3
regulation of T-helper 1 type immune response	negative regulation of T cell differentiation	2
regulation of T-helper 1 type immune response	negative regulation of alpha-beta T cell differentiation	2
regulation of T-helper 1 type immune response	regulation of adaptive immune response	4
regulation of T-helper 1 type immune response	negative regulation of lymphocyte differentiation	2
regulation of T-helper 1 type immune response	regulation of CD4-positive, alpha-beta T cell differentiation	2
regulation of T-helper 1 type immune response	negative regulation of cell activation	2
regulation of T-helper 1 type immune response	regulation of leukocyte differentiation	2
regulation of T-helper 1 type immune response	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4
regulation of T-helper 1 type immune response	negative regulation of cell-cell adhesion	2
regulation of T-helper 1 type immune response	external side of plasma membrane	2
regulation of T-helper 1 type immune response	side of membrane	2
snRNA processing	snRNA metabolic process	4
snRNA processing	RNA 3'-end processing	4
snRNA processing	integrator complex	2
molting cycle process	hair cycle process	7
molting cycle process	regulation of morphogenesis of a branching structure	2
molting cycle process	skin epidermis development	7
molting cycle process	negative regulation of cell differentiation	3
molting cycle process	embryonic axis specification	2
molting cycle process	regulation of cell proliferation involved in heart morphogenesis	3
molting cycle process	cell proliferation involved in heart morphogenesis	3
molting cycle process	molting cycle	7
molting cycle process	hair cycle	7
molting cycle process	branching involved in ureteric bud morphogenesis	3
molting cycle process	regulation of DNA-binding transcription factor activity	2
molting cycle process	epithelial structure maintenance	2
molting cycle process	ureteric bud morphogenesis	3
molting cycle process	mesonephric tubule morphogenesis	3
molting cycle process	cellular response to growth factor stimulus	3
molting cycle process	embryonic pattern specification	2
molting cycle process	negative regulation of immune system process	3
molting cycle process	ureteric bud development	3
molting cycle process	mesonephric epithelium development	3
molting cycle process	mesonephric tubule development	3
molting cycle process	tissue morphogenesis	4
molting cycle process	gastrulation with mouth forming second	2
molting cycle process	skin development	7
molting cycle process	response to growth factor	3
molting cycle process	mesonephros development	3
molting cycle process	heart morphogenesis	3
molting cycle process	nephron tubule morphogenesis	3
molting cycle process	anterior/posterior axis specification	2
molting cycle process	positive regulation of DNA metabolic process	2
molting cycle process	appendage development	4
molting cycle process	limb development	4
molting cycle process	embryonic organ morphogenesis	2
molting cycle process	cytokine-mediated signaling pathway	2
molting cycle process	regulation of system process	2
