Gene1	Gene2	Annotation	Direction	Score	weight	Scaled_weight
EIF2S3	RPS9	catalyzed by; complex; input	<-	1	8321.66018253511	0.818224820729291
PPP2R2A	RPS13	complex; input	-	1	8321.34556908842	0.818221393657957
ACTR1B	DYNLL1	input	-	1	8313.60907259384	0.818137079526553
EIF3B	RPS6	complex; input	-	1	8312.83083243104	0.818128593742022
RPL24	RPL35A	catalyze; catalyzed by; complex; input	<->	1	8306.33142015049	0.818057694334189
RPL11	RPL5	catalyze; catalyzed by; complex; input	<->	1	8305.66263086729	0.81805039564003
PPIH	SRSF4	complex; input	-	1	8303.30534308248	0.81802466517781
HNRNPA3	PTBP1	complex; input	-	1	8302.96318211338	0.818020929787068
RPL29	SRPRB	complex; input	-	1	8302.72543915779	0.818018334243075
AP2S1	ARPC1A	complex; input	-	1	8302.6226391007	0.818017211906802
HNRNPU	RBM22	complex; input	-	1	8302.3804821194	0.818014568063815
CSTF2	HNRNPM	complex; input	-	1	8301.50368768785	0.818004994674615
RPL26	RPS2	catalyze; catalyzed by; complex; input	<->	1	8300.13145513352	0.81799000975281
RAB9A	VTI1A	complex; input	-	1	8298.3884066257	0.817970971909878
RPL21	RPS3	catalyze; catalyzed by; complex; input	<->	1	8297.39797514468	0.817960152483714
DDX5	SYF2	complex; input	-	1	8295.85929907485	0.817943341497934
RAB2A	VPS18	predicted	-	0.56	8295.35624232362	0.81793784461607
HNRNPL	HNRNPM	complex; input	-	1	8290.41772384442	0.817883863907558
EIF3D	RPS6	complex; input	-	1	8286.74497637201	0.81784369791508
RPL4	RPS12	catalyze; catalyzed by; complex; input	<->	1	8286.58960548179	0.817841998351629
CDC40	HNRNPK	complex; input	-	1	8284.90613761318	0.817823581272651
DCP1A	RPL4	input	-	1	8284.76761175672	0.817822065638043
RPL23	RPS4X	catalyze; catalyzed by; complex; input	<->	1	8284.41887148735	0.817818249900107
RPS13	WDR43	reaction	-	1	8283.99981464257	0.817813664581633
RPS27	SEC13	complex; input	-	1	8283.20588751127	0.817804976797803
GPKOW	HNRNPH1	complex; input	-	1	8282.45019208953	0.817796706602272
KPNA3	KPNB1	predicted	-	1	8282.18721740422	0.817793828477369
RPL34	RPLP0	catalyze; catalyzed by; complex; input	<->	1	8281.57026058837	0.817787075838402
AGO1	DHX36	predicted	-	0.64	8281.54678914992	0.817786818931802
RPS10	RPS13	catalyze; catalyzed by; complex; input	<->	1	8281.12321538372	0.817782182580533
SNRPD2	SRSF6	complex; input	-	1	8280.70163536586	0.817777567816943
CSTF2	HSPA8	complex; input	-	1	8280.33208646845	0.817773522411109
PRKAA1	RPTOR	PPrel: inhibition; PPrel: inhibition, phosphorylation; catalyze	-	1	8275.89430230633	0.817724928432639
BRD4	EP300	predicted	-	0.98	8275.70850080843	0.817722893327823
BANF1	KPNA1	complex; input; reaction	-	1	8275.17056200406	0.817717000965619
CUL4A	WDR5	complex	-	1	8273.96358492431	0.817703778837094
RPL18A	RPL7	catalyze; catalyzed by; complex; input	<->	1	8270.1679018968	0.817662185515939
ATP1B3	PRKACB	PPrel: activated by, phosphorylation	<-	1	8269.55962617955	0.817655518219641
CENPC	MAD1L1	complex; input	-	1	8269.55844341717	0.817655505254932
HNRNPL	HSPA8	complex; input	-	1	8269.27439552767	0.817652391644053
EIF2S2	RPL28	catalyzed by	<-	1	8267.79844602794	0.817636211198109
MATR3	ZNF638	predicted	-	0.59	8263.19087653115	0.817585681036494
POLR2J	RFC3	complex; input	-	1	8261.5122671167	0.817567265108146
AP1G1	AP2M1	predicted	-	1	8261.13325625525	0.817563106483747
EIF2S3	EIF3C	PPrel: binding/association; complex; input	-	1	8260.05135280314	0.817551234454714
PRKAR1A	RPS17	predicted	-	0.58	8259.02916392982	0.817540016261731
EP300	TNPO1	expression regulates	->	1	8257.69744614313	0.817525399005904
RBM8A	RPL13A	complex; input	-	1	8257.29626216637	0.817520995051707
CAMK2G	ITPR2	PPrel: activated, indirect effect	<-	1	8256.52194171836	0.817512494426743
RPL12	RPS12	catalyze; catalyzed by; complex; input	<->	1	8255.51293170148	0.817501416142397
EIF3H	RPS17	complex; input	-	1	8255.20521123606	0.817498037299152
CPSF2	HNRNPH1	complex; input	-	1	8254.2332694415	0.817487364321924
DCP1A	RPL12	input	-	1	8253.69777088444	0.817481483428811
RBM8A	RPL10	complex; input	-	1	8252.04657087844	0.817463347400048
DCTN3	DYNLL1	complex; input	-	1	8250.733239119	0.817448919770939
DDX5	HNRNPA2B1	complex; input	-	1	8248.92759247946	0.81742908005838
RPL11	RPS26	catalyze; catalyzed by; complex; input	<->	1	8246.44946931156	0.817401844375379
SNW1	SYF2	complex; input	-	1	8245.47619985186	0.817391145469805
CRNKL1	PRCC	complex; input	-	1	8245.37072035857	0.817389985884505
KPNB1	RANBP1	activated by	<-	1	8245.30160854157	0.817389226097999
HNRNPF	PRPF3	complex; input	-	1	8241.64463962203	0.817349013819534
RPS4X	RPSA	catalyze; catalyzed by; complex; input	<->	1	8241.5707032397	0.817348200626048
DDX5	RBM8A	complex; input	-	1	8241.21805408935	0.817344321894022
RPL3	RPS17	catalyze; catalyzed by; complex; input	<->	1	8238.56744910998	0.81731516299745
PUF60	SRSF2	complex; input	-	1	8237.35014139573	0.817301768439333
RPL31	RPS12	catalyze; catalyzed by; complex; input	<->	1	8234.32372797482	0.817268458936459
GNAI3	PRKACB	PPrel: activated by, phosphorylation	<-	1	8232.61351725314	0.817249630492812
DCP1A	RPL31	input	-	1	8232.51322608238	0.817248526222872
RPL9	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	8232.15604873537	0.817244593362548
HNRNPH1	USP39	complex; input	-	1	8228.11729145617	0.817200110948673
ARPC2	REPS1	complex; input	-	1	8227.60474016834	0.817194464205787
COPS2	CUL3	catalyze	->	1	8225.14409879931	0.817167350587141
RPL15	UPF3B	complex; input	-	1	8223.13831484299	0.817145243005975
EIF4A3	RPL32	complex; input	-	1	8221.95081085511	0.817132151895951
RPL18A	RPL22	catalyze; catalyzed by; complex; input	<->	1	8220.53927740705	0.817116588613009
RPL35	SRPRB	complex; input	-	1	8219.87332384208	0.817109245015556
RBM8A	RPLP2	complex; input	-	1	8219.61600871546	0.817106407393038
RPS4Y1	UPF1	complex; input	-	1	8219.35080507422	0.817103482684514
EIF3L	RPS13	complex; input	-	1	8216.98239623085	0.817077359304557
PRPF19	SRSF4	complex; input	-	1	8215.80941813884	0.817064418652054
ACTB	CUL4A	activate	->	1	8213.4965604388	0.817038897085697
PPP2R1A	RPL26	complex; input	-	1	8211.74772179444	0.81701959449807
HNRNPF	HNRNPM	complex; input	-	1	8209.77542721521	0.816997820610643
EIF6	RPL3	predicted	-	0.73	8209.62395304149	0.81699614813827
HNRNPU	SNRPA	complex; input	-	1	8208.55634712522	0.816984359501712
EEF2	RPS27	input	-	1	8207.24998144519	0.816969932364225
PTBP1	SF3B1	complex; input	-	1	8205.17404021629	0.816947001524711
RPL4	RPS3	catalyze; catalyzed by; complex; input	<->	1	8204.05712984079	0.816934661736111
DYNLL1	MIS12	complex; input	-	1	8201.84343929951	0.816910199595182
RPS7	SRP54	complex; input	-	1	8200.42919269864	0.816894568163915
CCAR1	PTBP1	complex; input	-	1	8199.42343468025	0.816883450048303
HNRNPA2B1	SNW1	complex; input	-	1	8198.82952278083	0.816876884030252
RBM8A	RPS14	complex; input	-	1	8196.32923958263	0.816849236826941
SUPT16H	SUPT5H	complex; input	-	1	8192.83868095418	0.816810625416574
RBM8A	SNW1	complex; input	-	1	8191.16680659727	0.816792125865893
ACTL6A	EP300	reaction	-	1	8189.55224558322	0.816774256912002
HNRNPF	HSPA8	complex; input	-	1	8188.83776363222	0.816766348347138
EIF3B	RPS17	complex; input	-	1	8188.6097944739	0.816763824822755
DDX5	HNRNPH3	predicted	-	0.64	8185.92890033511	0.816734143160281
BANF1	PPP2CA	catalyzed by	<-	1	8184.39116538862	0.816717113658521
RPS19	RPS27	catalyze; catalyzed by; complex; input	<->	1	8183.42415088403	0.816706402908101
NCBP1	RPS27	complex; input	-	1	8180.38384486925	0.816672719924369
RPL6	RPS5	catalyze; catalyzed by; complex; input	<->	1	8177.1814138102	0.816637227247105
CLP1	THOC7	catalyze; complex; input	->	1	8175.98795479206	0.816623996535488
UBB	USP7	complex; input	-	1	8174.28323970322	0.816605094678488
RPL12	RPS3	catalyze; catalyzed by; complex; input	<->	1	8173.28997239275	0.816594079526879
PLAA	VCP	predicted	-	0.99	8170.98256041633	0.816568485585143
RPL17	RPS6KB2	predicted	-	0.64	8170.43984805189	0.816562464739587
EFTUD2	SNRNP200	complex	-	1	8169.53638442236	0.816552440836
COPA	DCTN1	complex; input	-	1	8169.00870428524	0.816546585726884
RPL17	SRPRB	complex; input	-	1	8166.77347499675	0.816521779553486
SRSF4	TPR	activated by; input	<-	1	8164.61605883136	0.816497830496336
EIF3D	RPS17	complex; input	-	1	8162.91374691464	0.816478928995814
HNRNPU	PQBP1	complex; input	-	1	8161.79137971702	0.816466464714343
CD2BP2	DDX46	complex; input	-	1	8160.13766215345	0.816448096477025
EIF3B	EIF6	predicted	-	0.99	8159.84180818784	0.816444809963576
CSTF2	PRCC	complex; input	-	1	8154.50366171523	0.816385490328048
HNRNPU	WBP11	complex; input	-	1	8154.02950363772	0.816380219414668
HDAC1	MAD1L1	predicted	-	0.77	8153.68840935006	0.816376427497143
CRNKL1	DDX5	complex; input	-	1	8152.74876877047	0.816365980768598
RPL31	RPS3	catalyze; catalyzed by; complex; input	<->	1	8152.3118081315	0.81636112232094
HNRNPU	RBMX	complex; input	-	1	8151.83036782301	0.816355769014285
POLR2E	SRRT	complex; input	-	1	8151.52018288336	0.816352319789739
RPS13	UPF3B	complex; input	-	1	8151.13323985669	0.816348016839187
CD2BP2	CLP1	complex; input	-	1	8149.42059364916	0.81632896912239
PCBP1	SRSF2	complex; input	-	1	8149.41862948995	0.816328947275097
RPL32	RPS11	catalyze; catalyzed by; complex; input	<->	1	8147.48069124006	0.816307389070906
HNRNPL	PRCC	complex; input	-	1	8143.61400411152	0.816264359560992
RPS2	RPS27	catalyze; catalyzed by; complex; input; reaction	<->	1	8143.41515270472	0.816262146137979
RPS5	RPS6	catalyze; catalyzed by; complex; input; reaction	<->	1	8141.71857033715	0.816243259213292
DCTN3	TUBG1	complex; input	-	1	8140.71558416874	0.816232091783242
RANBP2	SUMO1	PPrel: binding/association; catalyze; complex; input; reaction	->	1	8138.22567343125	0.816204362716546
POLR2D	SUPT5H	activated by; complex; input	<-	1	8137.56089447204	0.816196957923821
EIF5B	RPL11	complex; input	-	1	8133.03663151783	0.816146547311313
ACTR1B	ZW10	predicted	-	0.64	8132.70730701133	0.816142876790039
CSNK2A1	HSP90AB1	predicted	-	0.73	8131.05715661712	0.816124482624958
EML4	RPS27	complex; input	-	1	8131.03235326218	0.816124206114407
SNRPA1	SRSF2	complex; input	-	1	8130.60001407937	0.816119386213764
COPG2	DCTN3	complex; input	-	1	8129.85245980113	0.816111051556758
RPL15	SRP68	complex; input	-	1	8126.4106744072	0.81607266839907
POLDIP3	RBM8A	complex; input	-	1	8123.16255322727	0.816036430092328
RPL29	RPL9	catalyze; catalyzed by; complex; input	<->	1	8121.43172616531	0.81601711385928
HNRNPH1	HNRNPUL1	complex; input	-	1	8118.73780655255	0.815987041208956
RPL11	RPS20	catalyze; catalyzed by; complex; input	<->	1	8118.10739464001	0.815980002380386
EIF4A3	NUP50	activated by; catalyzed by; complex; input	<-	1	8117.77816458025	0.815976326163494
RPS7	RPS9	catalyze; catalyzed by; complex; input	<->	1	8116.68520105707	0.815964120950631
PPP2CA	PRKAR1A	predicted	-	0.59	8115.27577220478	0.815948379317168
CWC15	POLR2C	complex; input	-	1	8114.80916615059	0.815943167283603
RPL10A	RPL3	catalyze; catalyzed by; complex; input	<->	1	8113.77696108954	0.815931636391007
EEF2	RDX	predicted	-	0.78	8111.4371230994	0.815905492333983
EEF2	RPL21	input	-	1	8111.25336444766	0.815903438796945
RPL29	UPF1	complex; input	-	1	8108.79871586822	0.815876003181246
LEO1	SUPT5H	complex; input	-	1	8108.69131552405	0.815874802577593
HNRNPA2B1	SYF2	complex; input	-	1	8105.74390032758	0.815841847895669
CRNKL1	SNW1	complex; input; predicted	-	1	8103.23482026331	0.815813784740469
DDX17	HNRNPH1	predicted	-	1	8103.10172570381	0.815812295883162
ETF1	RPL11	complex; input	-	1	8102.71245335841	0.81580794116228
NCBP2	RPL23A	complex; input	-	1	8101.61101833871	0.81579561846998
POLR2B	RFC3	complex; input	-	1	8099.95103918503	0.815777043703014
RPL7A	SRP54	complex; input	-	1	8099.08140780959	0.815767311217806
RPL27A	RPS18	catalyze; catalyzed by; complex; input	<->	1	8098.61061262797	0.815762041874441
RBM8A	SYF2	complex; input	-	1	8098.16818298985	0.81575708973131
RPL13A	RPS8	catalyze; catalyzed by; complex; input	<->	1	8097.03807206981	0.815744439099509
HNRNPH1	SUGP1	complex; input	-	1	8096.52321936729	0.815738675175395
PPP2CA	RPL3	complex; input	-	1	8095.17020589192	0.815723526052887
RPTOR	RRAGC	PPrel: activated by; activated by; complex; input; reaction	<-	1	8094.260348976	0.815713337343976
EEF1A1	RPS4X	catalyzed by; complex; input	<-	1	8094.16298448378	0.815712246974519
RPL10	RPS8	catalyze; catalyzed by; complex; input	<->	1	8091.89026716183	0.81568679144785
DDX3X	MAVS	predicted	-	0.64	8090.36779095453	0.815669734983141
SRSF4	THOC1	complex; input	-	1	8089.21029747113	0.815656765311234
RPL27	RPL32	catalyze; catalyzed by; complex; input	<->	1	8088.70631398417	0.815651117614847
RPL21	RPS19	catalyze; catalyzed by; complex; input	<->	1	8087.70621421623	0.815639909340821
EIF2S3	RPS23	catalyzed by; complex; input	<-	1	8086.69242015875	0.815628546178091
RPS13	XPO1	predicted	-	0.73	8086.51950841895	0.815626607945775
NCBP1	RPL21	complex; input	-	1	8084.70146933249	0.815606226357088
RPL15	RPN2	complex; input	-	1	8082.36609744581	0.815580038351529
CUL4A	POLR2G	complex; input	-	1	8078.72884918399	0.815539236506923
HNRNPH2	SRRT	complex; input	-	1	8077.7787309601	0.815528575265281
EIF3H	EIF4G1	complex; input	-	1	8077.30661166511	0.815523277165657
CUL4A	ISY1	complex; input	-	1	8076.57114150612	0.815515023138535
EIF1AY	EIF3H	PPrel: binding/association	-	1	8076.51694721811	0.81551441489769
RPL24	RPLP0	catalyze; catalyzed by; complex; input	<->	1	8074.68036235899	0.815493799870794
RPL35A	RPS4X	catalyze; catalyzed by; complex; input	<->	1	8070.94264799277	0.815451830840318
PTBP1	SRRM1	complex; input	-	1	8068.75324224716	0.815427238008732
NUP160	NUP43	catalyze; catalyzed by; complex; input	<->	1	8066.76449158621	0.815404893281312
HNRNPF	PRCC	complex; input	-	1	8064.39969211557	0.815378316264076
HNRNPH1	PRPF4	complex; input	-	1	8064.14898068571	0.815375498163612
CSTF2	DDX5	complex; input	-	1	8062.90243855671	0.815361485212142
DDX5	RBM39	predicted	-	0.59	8061.26128596339	0.815343032959488
EIF4G1	RPL3	complex; input	-	1	8061.02739115083	0.815340402863955
RPLP2	RPS8	catalyze; catalyzed by; complex; input	<->	1	8060.08911964392	0.81532985144084
PPP2R1A	RPS27	complex; input	-	1	8056.70020882502	0.815291730883239
EIF3C	RPS7	complex; input	-	1	8056.59388927899	0.815290534676054
RPS13	SRP68	complex; input	-	1	8055.25258517453	0.815275442232282
CD2BP2	PRPF3	complex; input	-	1	8053.67863670282	0.815257728853434
EIF4B	RPS27	complex; input	-	1	8053.62357301214	0.815257109098295
HNRNPA2B1	RBM8A	complex; input	-	1	8052.35486342613	0.815242828291757
DDX5	HNRNPL	complex; input	-	1	8052.13510672507	0.815240354445085
COPS2	POLR2C	input	-	1	8052.02848443232	0.815239154151541
EP300	RAN	predicted	-	0.64	8051.0884060728	0.815228570592487
RPL21	RPS2	catalyze; catalyzed by; complex; input	<->	1	8048.16518380729	0.815195652570699
ACTL6A	YEATS4	complex	-	1	8047.32181306644	0.815186153261245
HNRNPU	SRSF3	complex; input	-	1	8045.6905966072	0.815167777223378
NXF1	SRSF4	catalyzed by; complex; input	<-	1	8044.65738256343	0.815156135896295
GEMIN6	NUP43	activated by	<-	1	8042.93148366412	0.815136686683793
CDC40	DDX39A	complex; input	-	1	8041.64994299678	0.815122242258851
CDK1	MAD1L1	catalyze	->	1	8041.46402331162	0.815120146540758
RPL35	RPL9	catalyze; catalyzed by; complex; input	<->	1	8040.38872373969	0.815108024631761
CWC15	EIF4A3	complex; input	-	1	8040.07592100093	0.81510449808554
RPS14	RPS8	catalyze; catalyzed by; complex; input; reaction	<->	1	8037.25430177406	0.815072680874742
RPL34	RPS18	catalyze; catalyzed by; complex; input	<->	1	8037.21849206328	0.815072277004642
DHX38	PTBP1	complex; input	-	1	8035.47589458949	0.81505262141748
PSMC4	PSMD7	complex; predicted	-	1	8033.38194488907	0.815028997122
CDC40	DHX15	complex; input	-	1	8032.86248710214	0.815023135557908
MIS12	PDS5A	complex; input	-	1	8032.40661353814	0.815017991166186
CDC40	CHERP	complex; input	-	1	8029.24565870921	0.814982312738858
RPL35	UPF1	complex; input	-	1	8027.88177706274	0.814966913953727
MIS12	ZW10	complex; input	-	1	8023.373662065	0.814915996858668
CPSF7	PTBP1	complex; input	-	1	8023.35165360815	0.814915748213055
CD2BP2	HNRNPM	complex; input	-	1	8022.53626083582	0.814906535644543
RPS17	RPS5	catalyze; catalyzed by; complex; input	<->	1	8020.0545124549	0.814878490294026
EEF2	RPL4	input	-	1	8020.00653649274	0.814877948049341
TMPO	USP7	predicted	-	0.58	8019.51963331357	0.814872444679459
DIS3L2	EXOSC8	predicted	-	0.99	8019.49921806433	0.814872213922655
HNRNPD	SRRT	complex; input	-	1	8018.8296107065	0.814864644918721
RAB5A	REPS1	complex; input	-	1	8016.71860598854	0.814840778732699
ELAVL1	HNRNPU	complex; input	-	1	8016.58122242595	0.814839225310571
RPL7A	RPS9	catalyze; catalyzed by; complex; input	<->	1	8016.37239468575	0.814836864004523
RPL27A	RPL38	catalyze; catalyzed by; complex; input	<->	1	8015.73192604059	0.814829621563451
BCAS2	HNRNPH1	complex; input	-	1	8014.92973576344	0.814820549552349
DYNC1H1	RAE1	input	-	1	8013.96520867289	0.814809640463594
CSTF2	SNW1	complex; input	-	1	8013.93415221748	0.814809289184013
EIF3B	EIF4G1	complex; input	-	1	8012.14631748036	0.81478906468926
BUB3	RPS27	complex; input	-	1	8011.86322746755	0.814785861880704
RPN2	RPS13	complex; input	-	1	8011.59368007532	0.814782812184742
EIF1AY	EIF3B	PPrel: binding/association	-	1	8011.36302332115	0.814780202421294
CRNKL1	SYF2	complex; input	-	1	8011.2345347307	0.814778748605886
CDC40	CSTF3	complex; input	-	1	8008.8011756434	0.814751211369524
EIF3I	RPS27	complex; input	-	1	8004.80065872951	0.814705921119212
PPIH	PTBP1	complex; input	-	1	8003.56749646842	0.814691955802488
HNRNPL	SNW1	complex; input	-	1	8003.23221343657	0.814688158416957
HNRNPU	RBM17	complex; input	-	1	8002.74647240779	0.814682656675457
CD2BP2	HSPA8	complex; input	-	1	8002.0761195322	0.814675063381037
NUP43	SRSF3	activate; input	->	1	8000.95319599074	0.814662342253301
RPL32	RPS12	catalyze; catalyzed by; complex; input	<->	1	8000.15639797197	0.814653314581271
DCP1A	RPL32	input	-	1	7998.3973830514	0.814633381867684
HNRNPH1	SF3B2	complex; input	-	1	7997.31841465544	0.814621153100627
RPL4	RPS19	catalyze; catalyzed by; complex; input	<->	1	7996.72427784705	0.814614418593217
AP1G1	RAB14	predicted	-	0.64	7996.29080692137	0.814609504908879
OTUD4	REL	predicted	-	0.64	7995.47960542526	0.814600308678888
NCBP1	RPL4	complex; input	-	1	7993.75333457535	0.814580735609485
EIF6	RPS5	predicted	-	0.64	7991.87868969394	0.814559475434846
EEF2	RPL12	input	-	1	7989.92961236394	0.814537365840109
CWC15	U2SURP	complex; input	-	1	7989.30890121483	0.814530323595694
RPL17	RPL9	catalyze; catalyzed by; complex; input	<->	1	7988.44833377652	0.814520559169691
EP300	PPP2CA	expression regulates	->	1	7987.02324085178	0.814504387043362
EIF3D	EIF4G1	complex; input	-	1	7987.00401640691	0.814504168862319
EIF1AY	EIF3D	PPrel: binding/association	-	1	7986.22318024295	0.814495306594353
DDOST	RPL23A	complex; input	-	1	7984.43009115528	0.814474952264172
POLR2C	SRSF6	complex; input	-	1	7983.08681954346	0.814459701061943
RPL26	RPL5	catalyze; catalyzed by; complex; input	<->	1	7982.79336171057	0.814456368866491
HNRNPH1	NCBP1	activated by; complex; inhibited by; input	-	1	7977.22020625703	0.814393062768526
RPL17	UPF1	complex; input	-	1	7976.02218116439	0.814379448491657
ARPC2	HSPA8	complex; input	-	1	7975.87655502563	0.814377793466585
DDX5	HNRNPF	complex; input	-	1	7973.81062544985	0.81435431114817
SNRPD2	SRSF2	complex; input	-	1	7973.36560398432	0.814349252030357
DYNLL1	SQSTM1	predicted	-	0.56	7971.38970584079	0.814326786104387
PPIL1	SRSF4	complex; input	-	1	7969.67329890085	0.814307266068482
EEF2	RPL31	input	-	1	7969.42207422322	0.814304408634171
RPL12	RPS19	catalyze; catalyzed by; complex; input	<->	1	7966.7346677028	0.814273836383985
RPLP2	RPS27L	predicted	-	0.64	7966.70538556466	0.81427350321017
NUP88	PHAX	activate	->	1	7965.94103755206	0.814264805982286
CRNKL1	HNRNPA2B1	complex; input	-	1	7965.91302009355	0.814264487166333
CPSF3	EFTUD2	complex; input	-	1	7964.23933336949	0.814245439934386
NCBP1	RPL12	complex; input	-	1	7963.77486617207	0.814240153400253
NUP43	SARNP	activate; input	->	1	7963.11448446829	0.814232636449643
PPP2R1A	RPL21	complex; input	-	1	7962.46450673735	0.814225237315958
PRPF19	USP7	complex; input	-	1	7961.47182414329	0.814213935776597
CRNKL1	RBM8A	complex; input	-	1	7958.46799023333	0.814179729001974
DNM2	SNAPIN	predicted	-	0.64	7957.87101349835	0.814172929269085
RPL4	RPS2	catalyze; catalyzed by; complex; input	<->	1	7957.62806076556	0.814170161823096
MBNL1	SF3B1	predicted	-	0.65	7956.1075846836	0.814152840339707
RPL34	RPL38	catalyze; catalyzed by; complex; input	<->	1	7954.96807352861	0.814139856693651
MAD1L1	XPO1	complex; input	-	1	7949.48454193159	0.814077351044791
CSTF2	POLDIP3	complex; input	-	1	7947.4013100174	0.814053593410448
RPL31	RPS19	catalyze; catalyzed by; complex; input	<->	1	7946.28666340473	0.814040879178046
RPS14	RPS27L	reaction	-	1	7944.13513059579	0.814016332644073
NCBP1	RPL31	complex; input	-	1	7943.33445871724	0.814007196194314
EXOSC8	RPS14	catalyze	->	1	7942.58288917654	0.813998619212298
EIF4G3	NCBP1	predicted	-	0.98	7940.99719737854	0.813980520486054
EP300	YBX1	predicted	-	0.64	7937.36236673287	0.813939019713323
EIF2S2	RPL8	catalyzed by	<-	1	7931.21760441069	0.813868818491174
CDC40	NUP88	activated by; input	<-	1	7930.97841104958	0.813866084711966
SF3B3	SRSF4	complex; input	-	1	7929.35896321592	0.813847573614388
RFC3	RFC4	complex; predicted	-	1	7928.15392006009	0.813833796915849
ACTR1B	DYNC1H1	input	-	1	7927.80126975094	0.813829764832638
RPL12	RPS2	catalyze; catalyzed by; complex; input	<->	1	7927.78507069569	0.813829579613863
RPL26	RPS26	catalyze; catalyzed by; complex; input	<->	1	7925.88201652346	0.813807817601839
HNRNPF	SNW1	complex; input	-	1	7925.38341888282	0.813802115120041
EXOSC4	EXOSC7	complex; predicted	-	1	7924.12984030079	0.813787776305034
ACTL6A	COPS3	activate	->	1	7923.81149551909	0.813784134618943
CSTF2	SYF2	complex; input	-	1	7922.9477441228	0.81377425304943
BABAM1	RAD50	complex; input	-	1	7921.96180263198	0.813762972272632
CWC15	SART1	complex; input	-	1	7921.92204331914	0.813762517331873
ALYREF	CDC40	complex; input	-	1	7920.78418189012	0.813749496532878
RPL32	RPS3	catalyze; catalyzed by; complex; input	<->	1	7920.47672943823	0.813745977965752
PRPF19	PTBP1	complex; input	-	1	7919.23005348425	0.813731709276732
RPN1	RPS7	complex; input	-	1	7916.20029586328	0.813697023162632
HNRNPU	NR3C1	predicted	-	0.64	7912.58795702043	0.813655650026128
HNRNPL	SYF2	complex; input	-	1	7912.36731007986	0.813653122282374
EIF4A3	SRSF6	complex; input	-	1	7909.56666988615	0.81362103186388
NCBP2	RPL28	complex; input	-	1	7908.05147064551	0.813603665604415
RPL31	RPS2	catalyze; catalyzed by; complex; input	<->	1	7907.43703728409	0.813596622407925
POLR2C	SUPT4H1	activated by; complex; input	<-	1	7907.05397414806	0.81359223111136
HNRNPD	PSMC4	catalyzed by	<-	1	7904.27172166201	0.813560329994661
RPL10A	RPS5	catalyze; catalyzed by; complex; input	<->	1	7898.57386393901	0.813494963687583
RPL27A	RPS16	catalyze; catalyzed by; complex; input	<->	1	7897.73540119909	0.813485340792132
PABPC1	RPL27A	complex; input	-	1	7896.38068276344	0.813469790758121
HNRNPH1	SRSF1	complex; input	-	1	7889.18363551679	0.813387135231233
TRAPPC10	TRAPPC3	complex	-	1	7889.08212335627	0.81338596886099
RBM8A	RPS8	complex; input	-	1	7888.69443277435	0.8133815141752
RPS23	RPS7	catalyze; catalyzed by; complex; input; reaction	<->	1	7887.5050473651	0.813367846399431
POLR2J	SRRT	complex; input	-	1	7885.24230596488	0.813341838504258
CPSF2	NUP50	activated by	<-	1	7884.2584413608	0.813330527660067
EFTUD2	LSM8	complex	-	1	7883.09221185536	0.813317118458275
CD2BP2	PRCC	complex; input	-	1	7880.4760891999	0.813287031297976
PPP2CA	RPS5	complex; input	-	1	7880.46061889895	0.813286853349463
RPL23A	SPCS3	catalyzed by	<-	1	7878.81177176523	0.813267885335529
CSTF2	HNRNPA2B1	complex; input	-	1	7878.12568946967	0.813259991609877
RAN	SUMO1	activated by; input; reaction	<-	1	7875.27743738597	0.813227213668907
CDC40	CSTF1	complex; input	-	1	7874.11304553079	0.813213810328863
PPP2R1A	RPL4	complex; input	-	1	7872.89146588919	0.813199746568355
CSTF2	RBM8A	complex; input	-	1	7870.76270661351	0.813175233445518
BTF3	RPL24	predicted	-	0.59	7868.36293993452	0.813147591662934
DCTN3	DYNC1H1	complex; input	-	1	7867.84330106298	0.813141605077024
HNRNPA2B1	HNRNPL	complex; input	-	1	7867.60511153185	0.81313886084282
DDX3X	ELAVL1	predicted	-	0.64	7867.46998889385	0.813137304028126
HNRNPL	RBM8A	complex; input	-	1	7860.25196132346	0.813054102678462
RAE1	SNRPD2	activate	->	1	7859.82773171302	0.813049210257009
SRSF6	U2SURP	complex; input	-	1	7859.62371765845	0.813046857374034
DNM2	HMGB1	predicted	-	0.64	7855.3085494569	0.812997076461529
CPSF6	RNPS1	predicted	-	0.97	7853.17263547429	0.812972425878687
EIF3A	RPS27	complex; input	-	1	7851.25489599524	0.812950287534861
CWC25	EFTUD2	complex; input	-	1	7849.52540078257	0.812930317641011
CTNNBL1	HNRNPU	complex; input	-	1	7848.6946826423	0.812920724056446
RPL14	RPL27A	catalyze; catalyzed by; complex; input	<->	1	7848.08840691433	0.812913721813866
EIF4G1	RPS5	complex; input	-	1	7847.22337988578	0.812903730160531
RPLP0	RPS4X	catalyze; catalyzed by; complex; input	<->	1	7845.8562281027	0.812887936376923
RPL18A	RPS25	catalyze; catalyzed by; complex; input	<->	1	7845.75033024419	0.812886712895458
PPP2R1A	RPL12	complex; input	-	1	7843.3662581208	0.812859164359123
HNRNPU	XRCC6	predicted	-	0.92	7841.99075636186	0.812843266290399
RPL34	RPS16	catalyze; catalyzed by; complex; input	<->	1	7837.86603012667	0.812795575922333
POLR2G	SRSF4	complex; input	-	1	7837.71358234383	0.812793812829697
