ID,NAME,EQUATION,GENE ASSOCIATION,SUBSYSTEM
MAR06729,NA,2 H+[c] + O2[c] + tyrosine[c] => H2O[c] + L-dopa[c],ENSG00000077498,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06730,NA,L-dopa[c] + SAM[c] => 3-O-methyldopa[c] + H+[c] + SAH[c],ENSG00000093010 or ENSG00000184154 or ENSG00000284844,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06731,NA,H+[c] + L-dopa[c] => CO2[c] + dopamine[c],ENSG00000132437,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06734,NA,H2O[c] + salsolinol[c] <=> acetaldehyde[c] + dopamine[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06735,NA,salsolinol[c] + SAM[c] => H+[c] + SAH[c] + salsoline[c],ENSG00000093010 or ENSG00000184154 or ENSG00000284844,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06736,NA,salsolinol[c] + SAM[c] => H+[c] + N-methylsalsolinol[c] + SAH[c],ENSG00000093010 or ENSG00000184154 or ENSG00000284844,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06737,NA,"salsolinol[c] + SAM[c] => (R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline[c] + H+[c] + SAH[c]",(ENSG00000100462 and ENSG00000126457) or ENSG00000010165 or ENSG00000029639 or ENSG00000059588 or ENSG00000066651 or ENSG00000067365 or ENSG00000068438 or ENSG00000071462 or ENSG00000087995 or ENSG00000100483 or ENSG00000101247 or ENSG00000101574 or ENSG00000103037 or ENSG00000105202 or ENSG00000108592 or ENSG00000110871 or ENSG00000111218 or ENSG00000111641 or ENSG00000114735 or ENSG00000117481 or ENSG00000122435 or ENSG00000122687 or ENSG00000123427 or ENSG00000123600 or ENSG00000126749 or ENSG00000127804 or ENSG00000130305 or ENSG00000132275 or ENSG00000132600 or ENSG00000137574 or ENSG00000137760 or ENSG00000138382 or ENSG00000139160 or ENSG00000139780 or ENSG00000142453 or ENSG00000143499 or ENSG00000144401 or ENSG00000145194 or ENSG00000145331 or ENSG00000145388 or ENSG00000146834 or ENSG00000150456 or ENSG00000156239 or ENSG00000160310 or ENSG00000162623 or ENSG00000162851 or ENSG00000164169 or ENSG00000165055 or ENSG00000165275 or ENSG00000165644 or ENSG00000165792 or ENSG00000168806 or ENSG00000169519 or ENSG00000170439 or ENSG00000171806 or ENSG00000171861 or ENSG00000174173 or ENSG00000178694 or ENSG00000179299 or ENSG00000180917 or ENSG00000181038 or ENSG00000181090 or ENSG00000183955 or ENSG00000185238 or ENSG00000185432 or ENSG00000186666 or ENSG00000188573 or ENSG00000198890 or ENSG00000203791 or ENSG00000204371 or ENSG00000205629 or ENSG00000206562 or ENSG00000214756 or ENSG00000241058 or ENSG00000250305 or ENSG00000278619,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06738,NA,H2O[c] + salsolinol-1-carboxylate[c] <=> dopamine[c] + pyruvate[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06739,NA,salsolinol-1-carboxylate[c] + SAM[c] => H+[c] + SAH[c] + salsoline-1-carboxylate[c],ENSG00000093010 or ENSG00000184154 or ENSG00000284844,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06740,NA,"salsolinol-1-carboxylate[c] => 1,2-dehydrosalsolinol[c] + CO2[c] + 2 H+[c]",ENSG00000132437,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06741,NA,ascorbate[c] + dopamine[c] + O2[c] => dehydroascorbic acid[c] + H2O[c] + noradrenaline[c],ENSG00000123454,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06742,NA,"4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline[c] + H2O[c] <=> formaldehyde[c] + noradrenaline[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06743,NA,noradrenaline[c] + SAM[c] => adrenaline[c] + H+[c] + SAH[c],ENSG00000141744,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06744,NA,"H+[c] + H2O[c] + N-methyl-4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline[c] <=> adrenaline[c] + formaldehyde[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06745,NA,"adrenaline[c] + H2O[c] + O2[c] => 3,4-dihydroxymandelaldehyde[c] + H2O2[c] + methylamine[c]",ENSG00000069535 or ENSG00000189221,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06746,NA,adrenaline[c] + SAM[c] => H+[c] + L-metanephrine[c] + SAH[c],ENSG00000093010 or ENSG00000184154 or ENSG00000284844,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06747,NA,H2O[c] + L-metanephrine[c] + O2[c] => 3-methoxy-4-hydroxyphenylglycolaldehyde[c] + H2O2[c] + methylamine[c],ENSG00000069535 or ENSG00000189221,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06748,NA,3-methoxy-4-hydroxyphenylglycolaldehyde[c] + H2O[c] + NAD+[c] => 2 H+[c] + NADH[c] + vanillylmandelate[c],ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06749,NA,3-methoxy-4-hydroxyphenylglycolaldehyde[c] + H2O[c] + NADP+[c] => 2 H+[c] + NADPH[c] + vanillylmandelate[c],ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06750,NA,noradrenaline[c] + SAM[c] => H+[c] + normetanephrine[c] + SAH[c],ENSG00000093010 or ENSG00000184154 or ENSG00000284844,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06751,NA,H2O[c] + normetanephrine[c] + O2[c] => 3-methoxy-4-hydroxyphenylglycolaldehyde[c] + H+[c] + H2O2[c] + NH3[c],ENSG00000069535 or ENSG00000189221,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06752,NA,"H2O[c] + noradrenaline[c] + O2[c] => 3,4-dihydroxymandelaldehyde[c] + H+[c] + H2O2[c] + NH3[c]",ENSG00000069535 or ENSG00000189221,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06753,NA,"3,4-dihydroxymandelaldehyde[c] + H2O[c] + NAD+[c] => 3,4-dihydroxymandelate[c] + 2 H+[c] + NADH[c]",ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06754,NA,"3,4-dihydroxymandelaldehyde[c] + H2O[c] + NADP+[c] => 3,4-dihydroxymandelate[c] + 2 H+[c] + NADPH[c]",ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06755,NA,"3,4-dihydroxymandelate[c] + SAM[c] <=> H+[c] + SAH[c] + vanillylmandelate[c]",ENSG00000093010 or ENSG00000184154 or ENSG00000284844,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06756,NA,"3,4-dihydroxymandelaldehyde[c] + H+[c] + NADH[c] <=> 3,4-dihydroxyphenylethyleneglycol[c] + NAD+[c]",ENSG00000147576 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06757,NA,"3,4-dihydroxyphenylethyleneglycol[c] + SAM[c] => 3-methoxy-4-hydroxyphenylethyleneglycol[c] + H+[c] + SAH[c]",ENSG00000093010 or ENSG00000184154 or ENSG00000284844,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06758,NA,"dopamine[c] + H2O[c] + O2[c] => 3,4-dihydroxyphenylacetaldehyde[c] + H+[c] + H2O2[c] + NH3[c]",ENSG00000002726 or ENSG00000069535 or ENSG00000131471 or ENSG00000131480 or ENSG00000189221,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06759,NA,"3,4-dihydroxyphenylacetaldehyde[c] + dopamine[c] <=> H2O[c] + norlaudanosoline[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06760,NA,"3,4-dihydroxyphenylacetaldehyde[c] + H2O[c] + NAD+[c] => 3,4-dihydroxyphenylacetate[c] + 2 H+[c] + NADH[c]",ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06761,NA,"3,4-dihydroxyphenylacetaldehyde[c] + H2O[c] + NADP+[c] => 3,4-dihydroxyphenylacetate[c] + 2 H+[c] + NADPH[c]",ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06762,NA,"3,4-dihydroxyphenylacetate[c] + SAM[c] => H+[c] + homovanillate[c] + SAH[c]",ENSG00000093010 or ENSG00000184154 or ENSG00000284844,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06763,NA,dopamine[c] + SAM[c] => 3-methoxytyramine[c] + H+[c] + SAH[c],ENSG00000093010 or ENSG00000184154 or ENSG00000284844,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06764,NA,3-methoxytyramine[c] + H2O[c] + O2[c] => 3-methoxy-4-hydroxyphenylacetaldehyde[c] + H+[c] + H2O2[c] + NH3[c],ENSG00000069535 or ENSG00000189221,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06765,NA,3-methoxytyramine[c] + acetaldehyde[c] <=> H2O[c] + N-methylsalsolinol[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06766,NA,3-methoxy-4-hydroxyphenylacetaldehyde[c] + H2O[c] + NAD+[c] => 2 H+[c] + homovanillate[c] + NADH[c],ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06767,NA,3-methoxy-4-hydroxyphenylacetaldehyde[c] + H2O[c] + NADP+[c] => 2 H+[c] + homovanillate[c] + NADPH[c],ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06768,NA,AKG[c] + tyrosine[c] => 4-hydroxyphenylpyruvate[c] + glutamate[c],ENSG00000120053 or ENSG00000125166 or ENSG00000198650,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06770,NA,H2O[c] + O2[c] + tyrosine[c] => 4-hydroxyphenylpyruvate[c] + H+[c] + H2O2[c] + NH3[c],ENSG00000104951,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06771,NA,4-hydroxyphenylpyruvate[c] => 2-hydroxy-3-(4-hydroxyphenyl)propenoate[c],ENSG00000240972,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06772,NA,4-hydroxyphenylpyruvate[c] + O2[c] => CO2[c] + homogentisate[c],ENSG00000158104,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06774,NA,homogentisate[c] + O2[c] => 4-maleylacetoacetate[c] + H+[c],ENSG00000113924,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06776,NA,4-maleylacetoacetate[c] => fumarylacetoacetate[c],ENSG00000100577,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06778,NA,fumarylacetoacetate[c] + H2O[c] => acetoacetate[c] + fumarate[c] + H+[c],ENSG00000103876,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06782,NA,4-hydroxyphenylpyruvate[c] + H+[c] + NADH[c] => 4-hydroxyphenyllactate[c] + NAD+[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06783,NA,4-hydroxyphenyllactate[c] => 4-coumarate[c] + H2O[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06784,NA,4-coumarate[c] + ATP[c] + CoA[c] => 4-coumaroyl-CoA[c] + AMP[c] + PPi[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06785,NA,4-coumaroyl-CoA[c] + CoA[c] + H2O[c] + NAD+[c] => 4-hydroxybenzoyl-CoA[c] + acetyl-CoA[c] + H+[c] + NADH[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06786,NA,4-hydroxybenzoyl-CoA[c] + H2O[c] => 4-hydroxybenzoate[c] + CoA[c] + H+[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06787,NA,H+[c] + tyrosine[c] => CO2[c] + tyramine[c],ENSG00000132437,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06788,NA,SAM[c] + tyramine[c] => H+[c] + N-methyltyramine[c] + SAH[c],ENSG00000093010 or ENSG00000184154 or ENSG00000241644 or ENSG00000284844,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06789,NA,H2O[c] + O2[c] + tyramine[c] => 4-hydroxyphenylacetaldehyde[c] + H+[c] + H2O2[c] + NH3[c],ENSG00000002726 or ENSG00000069535 or ENSG00000131471 or ENSG00000131480 or ENSG00000189221,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06790,NA,4-hydroxyphenylacetaldehyde[c] + H2O[c] + NAD+[c] => 4-hydroxyphenylacetate[c] + 2 H+[c] + NADH[c],ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06791,NA,4-hydroxyphenylacetaldehyde[c] + H2O[c] + NADP+[c] => 4-hydroxyphenylacetate[c] + 2 H+[c] + NADPH[c],ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06792,NA,4-hydroxy-3-nitrophenylacetate[c] + 2 H+[c] <=> 4-hydroxyphenylacetate[c] + nitrite[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06798,NA,"3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[c] + H+[c] + UDP[c] <=> triiodothyronine[c] + UDP-glucuronate[c]",ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06799,NA,"triiodothyronine[r] + UDP-glucuronate[r] => 3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[r] + H+[r] + UDP[r]",ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06800,NA,"3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[c] + H+[c] + UDP[c] <=> thyroxine[c] + UDP-glucuronate[c]",ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06801,NA,"thyroxine[r] + UDP-glucuronate[r] => 3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[r] + H+[r] + UDP[r]",ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06802,NA,N-methyltyramine[c] + SAM[c] => H+[c] + hordenine[c] + SAH[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06803,NA,"hordenine[c] + O2[c] => H2O[c] + N,N-dimethyldopaminequinone[c]",ENSG00000077498,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06806,NA,"2 H+[c] + N,N-dimethylindoliumolate[c] <=> N,N-dimethyldopaminequinone[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06807,NA,"6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline[c] + H2O[c] <=> dopamine[c] + formaldehyde[c]",NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06808,NA,dopamine[c] + H2O2[c] => dopamine-O-quinone[c] + 2 H2O[c],ENSG00000117592 or ENSG00000121053 or ENSG00000130508 or ENSG00000147485 or ENSG00000167419,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06811,NA,5-S-glutathionyl-dopamine[c] <=> dopamine-O-quinone[c] + GSH[c],ENSG00000008394 or ENSG00000065621 or ENSG00000084207 or ENSG00000085871 or ENSG00000099984 or ENSG00000100577 or ENSG00000133433 or ENSG00000134184 or ENSG00000134201 or ENSG00000134202 or ENSG00000143198 or ENSG00000148834 or ENSG00000163106 or ENSG00000168765 or ENSG00000170899 or ENSG00000174156 or ENSG00000182793 or ENSG00000197448 or ENSG00000213366 or ENSG00000243955 or ENSG00000244067,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06813,NA,dopamine-O-quinone[c] + H2O2[c] => dopaminochrome[c] + H+[c] + 2 H2O[c],ENSG00000005381 or ENSG00000115705 or ENSG00000117592 or ENSG00000121053 or ENSG00000167419,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06814,NA,aminochrome-O-semiquinone[c] + NADP+[c] <=> dopaminochrome[c] + NADPH[c],ENSG00000116791,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06815,NA,5-S-glutathionyl-aminochrome reduced[c] <=> dopaminochrome[c] + GSH[c],ENSG00000008394 or ENSG00000065621 or ENSG00000084207 or ENSG00000085871 or ENSG00000099984 or ENSG00000100577 or ENSG00000133433 or ENSG00000134184 or ENSG00000134201 or ENSG00000134202 or ENSG00000143198 or ENSG00000148834 or ENSG00000163106 or ENSG00000168765 or ENSG00000170899 or ENSG00000174156 or ENSG00000182793 or ENSG00000197448 or ENSG00000213366 or ENSG00000243955 or ENSG00000244067,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06817,NA,dopaminochrome[c] + H+[c] + NADPH[c] <=> leukoaminochrome[c] + NADP+[c],ENSG00000116791,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06818,NA,adrenaline[c] + O2[c] => adrenochrome[c] + H+[c] + 2 H2O[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06819,NA,adrenochrome-O-semiquinone[c] + H+[c] + NADP+[c] <=> adrenochrome[c] + NADPH[c],ENSG00000116791,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06820,NA,5-S-glutathionyl-adrenochrome hydroquinone[c] <=> adrenochrome[c] + GSH[c],ENSG00000008394 or ENSG00000065621 or ENSG00000084207 or ENSG00000085871 or ENSG00000099984 or ENSG00000100577 or ENSG00000133433 or ENSG00000134184 or ENSG00000134201 or ENSG00000134202 or ENSG00000143198 or ENSG00000148834 or ENSG00000163106 or ENSG00000168765 or ENSG00000170899 or ENSG00000174156 or ENSG00000182793 or ENSG00000197448 or ENSG00000213366 or ENSG00000243955 or ENSG00000244067,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06822,NA,noradrenaline[c] => 5 H+[c] + noradrenochrome[c],NA,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06823,NA,H+[c] + NADP+[c] + noradrenochrome-O-semiquinone[c] <=> NADPH[c] + noradrenochrome[c],ENSG00000116791,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06824,NA,5-S-glutathionyl-noradrenochrome hydroquinone[c] <=> GSH[c] + noradrenochrome[c],ENSG00000008394 or ENSG00000065621 or ENSG00000084207 or ENSG00000085871 or ENSG00000099984 or ENSG00000100577 or ENSG00000133433 or ENSG00000134184 or ENSG00000134201 or ENSG00000134202 or ENSG00000143198 or ENSG00000148834 or ENSG00000163106 or ENSG00000168765 or ENSG00000170899 or ENSG00000174156 or ENSG00000182793 or ENSG00000197448 or ENSG00000213366 or ENSG00000243955 or ENSG00000244067,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06826,NA,"3,3-diiodo-L-thyronine[c] + iodide[c] + NADP+[c] <=> NADPH[c] + triiodothyronine[c]",ENSG00000197406 or ENSG00000211448 or ENSG00000211452,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06827,NA,"3,3-diiodo-L-thyronine[r] + iodide[r] + NADP+[r] <=> NADPH[r] + triiodothyronine[r]",ENSG00000197406 or ENSG00000211448 or ENSG00000211452,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06828,NA,"3,3-diiodo-L-thyronine[c] + UDP-glucuronate[c] => 3,3-diiodo-L-thyronine-beta-D-glucuronoside[c] + H+[c] + UDP[c]",ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06829,NA,"3,3-diiodo-L-thyronine[c] + PAPS[c] => 3,3-diiodo-L-thyronine-4-O-sulfate[c] + H+[c] + PAP[c]",ENSG00000070614 or ENSG00000111962 or ENSG00000115526 or ENSG00000124302 or ENSG00000130540 or ENSG00000135702 or ENSG00000136720 or ENSG00000138653 or ENSG00000140835 or ENSG00000147119 or ENSG00000153936 or ENSG00000154080 or ENSG00000154252 or ENSG00000164100 or ENSG00000166507 or ENSG00000171004 or ENSG00000173597 or ENSG00000175040 or ENSG00000175229 or ENSG00000183196 or ENSG00000185352 or ENSG00000197093 or ENSG00000198075 or ENSG00000198203,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06830,NA,"3,3-diiodo-L-thyronine[r] + UDP-glucuronate[r] => 3,3-diiodo-L-thyronine-beta-D-glucuronoside[r] + H+[r] + UDP[r]",ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06831,NA,"3,3-diiodo-L-thyronine-4-O-sulfate[c] + H2O[c] => 3,3-diiodo-L-thyronine[c] + H+[c] + sulfate[c]",ENSG00000101846,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06834,NA,"3,3-diiodo-L-thyronine[c] + iodide[c] + NADP+[c] <=> NADPH[c] + reverse triiodthyronine[c]",ENSG00000211448 or ENSG00000211452,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06835,NA,"3,3-diiodo-L-thyronine[r] + iodide[r] + NADP+[r] <=> NADPH[r] + reverse triiodthyronine[r]",ENSG00000211448 or ENSG00000211452,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06836,NA,"3,3,5-triiodo-L-thyronine-beta-D-glucuronoside[c] + H+[c] + UDP[c] <=> reverse triiodthyronine[c] + UDP-glucuronate[c]",ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06837,NA,"reverse triiodthyronine[r] + UDP-glucuronate[r] => 3,3,5-triiodo-L-thyronine-beta-D-glucuronoside[r] + H+[r] + UDP[r]",ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06838,NA,"PAPS[c] + reverse triiodthyronine[c] => 3,5,3-triiodothyronine-4-sulfate[c] + H+[c] + PAP[c]",ENSG00000173597 or ENSG00000198203,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06839,NA,"3,5,3-triiodothyronine-4-sulfate[c] + H2O[c] => H+[c] + reverse triiodthyronine[c] + sulfate[c]",ENSG00000101846,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06840,NA,"3,5-diiodo-L-thyronine[c] + iodide[c] + NADP+[c] <=> NADPH[c] + triiodothyronine[c]",ENSG00000211448 or ENSG00000211452,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06841,NA,"3,5-diiodo-L-thyronine[r] + iodide[r] + NADP+[r] <=> NADPH[r] + triiodothyronine[r]",ENSG00000211448 or ENSG00000211452,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06842,NA,"3,5-diiodo-L-thyronine-beta-D-glucuronoside[c] + H+[c] + UDP[c] <=> 3,5-diiodo-L-thyronine[c] + UDP-glucuronate[c]",ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06843,NA,"3,5-diiodo-L-thyronine[r] + UDP-glucuronate[r] => 3,5-diiodo-L-thyronine-beta-D-glucuronoside[r] + H+[r] + UDP[r]",ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474,"Phenylalanine, tyrosine and tryptophan biosynthesis"
MAR06844,NA,"3,5-diiodo-L-thyronine[c] + PAPS[c] => 3,5-diiodo-L-thyronine-4-O-sulfate[c] + H+[c] + PAP[c]",ENSG00000173597 or ENSG00000198203,"Phenylalanine, tyrosine and tryptophan biosynthesis"
