""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"IDH1_AVG"	"IDH2_AVG"	"deltaBeta"	"CHR"	"MAPINFO"	"Strand"	"Type"	"gene"	"feature"	"cgi"	"feat.cgi"	"UCSC_Islands_Name"	"SNP_ID"	"SNP_DISTANCE"
"cg10066132"	0.0808251419371321	0.86893442473427	4.13247089487124	0.000123046668979915	0.333587714920644	0.568916785036095	0.818418711023562	0.899243852960694	0.0808251419371324	"6"	7414671	"R"	"II"	"RIOK1"	"Body"	"opensea"	"Body-opensea"	""	"rs76055622;rs4960314"	"19;16"
"cg01309418"	0.0701103573851294	0.596174546843086	4.13202801658369	0.000123227609684827	0.333587714920644	0.56751185341738	0.55235557347738	0.62246593086251	0.0701103573851297	"6"	111278585	"F"	"II"	"GTF3C6"	"TSS1500"	"shore"	"TSS1500-shore"	"chr6:111279644-111280210"	"rs186237522;rs199532021"	"0;40"
"cg04703197"	0.0232614385039164	0.898315193746529	4.1287893362315	0.000124558644861949	0.334741322526203	0.557240255821906	0.883776794681582	0.907038233185498	0.0232614385039165	"16"	68406272	"F"	"II"	"SMPD3"	"5'UTR"	"island"	"5'UTR-island"	"chr16:68404907-68406273"	"rs113372032;rs141083064"	"0;13"
"cg02680159"	0.0703977832481293	0.888139041950467	4.12874601606412	0.000124576542603194	0.334741322526203	0.557102892739511	0.844140427420386	0.914538210668515	0.0703977832481293	"5"	64439421	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs188414082"	"1"
"cg09292660"	0.0620964223845433	0.857565434796921	4.12614264966297	0.000125656706822511	0.335497058034377	0.548849309539889	0.818755170806582	0.880851593191125	0.0620964223845433	"3"	184528162	"F"	"II"	""	"IGR"	"shore"	"IGR-shore"	"chr3:184529812-184530255"	"rs544636361"	"39"
"cg15868302"	0.232839036933469	0.663658044659697	4.12580595542166	0.000125797065197046	0.335497058034377	0.547782069384911	0.518133646576279	0.750972683509748	0.232839036933469	"1"	47900327	"F"	"II"	"FOXD2"	"TSS1500"	"island"	"TSS1500-island"	"chr1:47899661-47900385"	"rs558445541"	"6"
"cg03876500"	0.0496404712391137	0.910351417630195	4.12254974730947	0.0001271623414916	0.335497058034377	0.537463017281108	0.879326123105749	0.928966594344863	0.0496404712391141	"6"	109078993	"R"	"II"	"LINC00222"	"Body"	"opensea"	"Body-opensea"	""	"rs576875811;rs546080262;rs563052322;rs531889572;rs190199495"	"38;29;21;20;11"
"cg18792689"	0.117592945358645	0.85129898899927	4.12221480707533	0.000127303587413553	0.335497058034377	0.536401820020015	0.777803398150116	0.895396343508762	0.117592945358645	"1"	109254098	"R"	"II"	"FNDC7"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs573307709;rs61797272;rs565289023"	"25;8;7"
"cg04916980"	0.0584486935714784	0.877568477686525	4.12101155360143	0.000127812259022475	0.335497058034377	0.53258990204638	0.841038044204351	0.89948673777583	0.0584486935714787	"10"	72650001	"R"	"II"	"PCBD1"	"TSS1500"	"shore"	"TSS1500-shore"	"chr10:72647738-72648317"	"rs34835357;rs575774717;rs35541340"	"44;37;19"
"cg05666055"	-0.0589393596559113	0.0896398311831792	-4.12036163391555	0.000128087828238651	0.335497058034377	0.530531192702259	0.126476930968124	0.0675375713122125	-0.0589393596559113	"12"	25151353	"F"	"II"	"C12orf77"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs187996641"	"4"
"cg24013620"	0.159446985334002	0.420942793847948	4.11795737388466	0.000129112253881092	0.335497058034377	0.522916848038864	0.321288428014196	0.480735413348198	0.159446985334002	"8"	144798688	"F"	"I"	"MAPK15"	"Body"	"island"	"Body-island"	"chr8:144798487-144799038"	"rs112575996;rs557051939;rs568984377;rs539454285"	"7;16;22;30"
"cg19746046"	-0.0209674546769171	0.0734535997240781	-4.11766078546383	0.000129239174679883	0.335497058034377	0.521977707187702	0.0865582588971513	0.0655908042202342	-0.0209674546769171	"4"	71704870	"F"	"II"	"GRSF1"	"5'UTR"	"island"	"5'UTR-island"	"chr4:71704664-71705736"	"rs565937477;rs539757889;rs557955409;rs576212661"	"0;14;21;31"
"cg26140833"	-0.0205861593713162	0.0822105193001502	-4.11674067676341	0.000129633690992321	0.335497058034377	0.519064428246776	0.0950768689072229	0.0744907095359067	-0.0205861593713162	"13"	25861650	"R"	"I"	"MTMR6"	"1stExon"	"island"	"1stExon-island"	"chr13:25861234-25861794"	"rs542506000;rs185928039"	"49;42"
"cg18342581"	0.0306021566988233	0.909671596391621	4.11578292513763	0.000130045585508031	0.335497058034377	0.51603232534203	0.890545248454856	0.92114740515368	0.0306021566988237	"7"	150263324	"F"	"II"	"GIMAP4"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs190887538;rs527779875;rs547525717;rs143052406"	"0;18;31;33"
"cg13097342"	-0.0276895715314571	0.0768238895891556	-4.11540488116981	0.000130208517025807	0.335497058034377	0.514835594672924	0.0941298717963163	0.0664403002648592	-0.0276895715314571	"7"	38217509	"R"	"II"	"STARD3NL"	"TSS1500"	"shore"	"TSS1500-shore"	"chr7:38217549-38218002"	"rs187474826"	"26"
"cg24964601"	-0.0177794544640858	0.065296925208929	-4.11493125927872	0.000130412920068399	0.335497058034377	0.513336385185093	0.0764090842489827	0.0586296297848969	-0.0177794544640858	"10"	63662160	"R"	"II"	"ARID5B"	"Body"	"shore"	"Body-shore"	"chr10:63662886-63663299"	""	""
"cg14182120"	0.0943923234719433	0.841961244237394	4.11310486344886	0.000131204057194813	0.335497058034377	0.507555932915735	0.78296604206743	0.877358365539373	0.0943923234719434	"10"	35456454	"R"	"II"	"CREM"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs574538790"	"38"
"cg09412808"	0.0319614942231754	0.788598403512022	4.11281072250188	0.000131331903257983	0.335497058034377	0.50662511723281	0.768622469622537	0.800583963845713	0.0319614942231756	"4"	57180590	"R"	"I"	"KIAA1211"	"Body"	"island"	"Body-island"	"chr4:57180225-57180683"	"rs556413280;rs145781098;rs541984681;rs59615456;rs138358443;rs574999865"	"47;46;35;29;15;2"
"cg18211686"	0.087575948234798	0.836794556709273	4.11045407861744	0.000132360561465843	0.335766248489305	0.499168725460615	0.782059589062524	0.869635537297322	0.0875759482347979	"5"	125929591	"F"	"II"	"ALDH7A1"	"Body"	"shore"	"Body-shore"	"chr5:125930601-125931049"	"rs76654373"	"20"
"cg17164905"	0.0875631964076071	0.895187943889247	4.11044875549881	0.000132362893770965	0.335766248489305	0.49915188571912	0.840460946134492	0.9280241425421	0.0875631964076075	"1"	27931310	"R"	"II"	"AHDC1"	"TSS1500"	"shore"	"TSS1500-shore"	"chr1:27929705-27930866"	""	""
"cg07930210"	0.0260641890155776	0.919491659550851	4.10926412682668	0.000132882924962569	0.335910903057209	0.495404585360037	0.903201541416115	0.929265730431692	0.0260641890155776	"10"	75186437	"F"	"II"	"MSS51"	"Body"	"opensea"	"Body-opensea"	""	"rs148506399;rs531885923"	"1;38"
"cg10438034"	0.0585852774857762	0.854415186280302	4.10753953434316	0.000133643526484556	0.336660572295203	0.489950247935955	0.817799387851691	0.876384665337468	0.0585852774857765	"1"	89831072	"R"	"II"	"GBP6"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs559408621;rs184950778;rs150700969"	"40;17;16"
"cg26431750"	-0.0464063296995099	0.0984833512489513	-4.10442958260063	0.000135025777660588	0.338965628605464	0.480117502111717	0.127487307311145	0.0810809776116351	-0.0464063296995099	"2"	68693636	"F"	"II"	"FBXO48"	"5'UTR"	"shore"	"5'UTR-shore"	"chr2:68694047-68695097"	"rs571885401;rs144690208"	"2;51"
"cg07649114"	0.0788975009043735	0.882309501460843	4.10193217891108	0.000136145779904637	0.340299290411074	0.472224288409377	0.832998563395609	0.911896064299983	0.0788975009043738	"7"	150494998	"R"	"II"	"TMEM176B"	"5'UTR"	"shore"	"5'UTR-shore"	"chr7:150496809-150498206"	"rs10226279"	"11"
"cg25010006"	0.0610261351246618	0.867724110028742	4.100735962919	0.000136685421477858	0.340299290411074	0.468444462584229	0.829582775575828	0.890608910700491	0.0610261351246622	"8"	82025683	"F"	"II"	"PAG1"	"TSS1500"	"shore"	"TSS1500-shore"	"chr8:82023855-82024483"	"rs562632533;rs531845766"	"3;36"
"cg05697086"	0.0702246807343447	0.860698047425425	4.10011977907799	0.000136964203672277	0.340299290411074	0.466497659875654	0.816807621966459	0.887032302700804	0.0702246807343447	"3"	120070971	"F"	"II"	""	"IGR"	"shelf"	"IGR-shelf"	"chr3:120067499-120068531"	"rs536754556;rs116229950"	"1;18"
"cg09232055"	-0.124684243790896	0.751969592613884	-4.09832080086729	0.000137781272759144	0.341161008892444	0.46081475827581	0.829897244983194	0.705213001192298	-0.124684243790896	"5"	121723824	"F"	"II"	"SNCAIP"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	""	""
"cg14009504"	0.0881398830220362	0.609211067258986	4.09518659854805	0.000139216058279696	0.341340999929467	0.450917077674587	0.554123640370214	0.64226352339225	0.0881398830220361	"14"	71555837	"R"	"II"	"PCNX"	"Body"	"opensea"	"Body-opensea"	""	"rs111311530;rs1468469"	"51;18"
"cg06750225"	-0.0385420103729585	0.584453964740824	-4.09198165393793	0.000140698171064088	0.341340999929467	0.440800128979565	0.608542721223923	0.570000710850964	-0.0385420103729582	"7"	158582501	"F"	"II"	"ESYT2"	"Body"	"opensea"	"Body-opensea"	""	"rs560956064;rs79771033;rs549886669"	"13;18;27"
"cg05246303"	-0.0332767499064123	0.0990081915021823	-4.09174324432179	0.000140809030413655	0.341340999929467	0.440047715951238	0.11980616019369	0.0865294102872777	-0.0332767499064122	"2"	182321354	"R"	"II"	"ITGA4"	"TSS1500"	"shore"	"TSS1500-shore"	"chr2:182321761-182323029"	"rs116327179;rs186913631;rs544763938"	"43;30;10"
"cg14336526"	0.0477444166942342	0.817231974200355	4.09095055227665	0.000141178236307985	0.341340999929467	0.437546172073681	0.787391713766459	0.835136130460693	0.0477444166942345	"11"	30367246	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs141242164;rs539914269;rs146236446;rs566532685"	"31;30;25;1"
"cg06763806"	0.0502574212357847	0.795355230489114	4.09086171629467	0.000141219671042926	0.341340999929467	0.437265843215999	0.763944342216748	0.814201763452533	0.0502574212357851	"17"	8149080	"R"	"II"	"C17orf68"	"Body"	"shelf"	"Body-shelf"	"chr17:8151126-8151520"	"rs564344128"	"1"
"cg07684087"	0.115006107553582	0.828475086262429	4.09055120335376	0.000141364592419803	0.341340999929467	0.436286020731699	0.75659626904144	0.871602376595022	0.115006107553582	"7"	148517413	"F"	"II"	"EZH2"	"Body"	"opensea"	"Body-opensea"	""	"rs533678049;rs17171119"	"0;43"
"cg13385044"	0.0330845375952188	0.931212139777987	4.09019227232254	0.000141532290547013	0.341340999929467	0.435153464119594	0.910534303780976	0.943618841376194	0.0330845375952188	"5"	90523511	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs191365634"	"31"
"cg07777052"	0.0411929243101855	0.915287818371581	4.0888094536508	0.000142180165319115	0.341340999929467	0.430790664576009	0.889542240677714	0.9307351649879	0.0411929243101857	"4"	53798403	"F"	"II"	"SCFD2"	"Body"	"opensea"	"Body-opensea"	""	"rs77683799"	"49"
"cg26701563"	0.0444537515207712	0.819671661282612	4.08806422841629	0.000142530504941382	0.341340999929467	0.428439798903636	0.791888066582129	0.836341818102901	0.0444537515207716	"17"	80099341	"F"	"I"	"CCDC57"	"Body"	"opensea"	"Body-opensea"	""	"rs552465045;rs548637702;rs7501527;rs556985062"	"10;12;14;17"
"cg13836216"	-0.0165659088877709	0.0346287985307447	-4.08634645801391	0.000143341233436296	0.341340999929467	0.423021834357328	0.0449824915856015	0.0284165826978307	-0.0165659088877709	"1"	89594773	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs181287654;rs116239772;rs185269013"	"0;4;20"
"cg22819767"	0.110375936889314	0.656187857223409	4.08560518044224	0.000143692466941525	0.341340999929467	0.420684166790117	0.587202896667588	0.697578833556902	0.110375936889314	"10"	11866910	"F"	"II"	"C10orf47"	"5'UTR"	"shore"	"5'UTR-shore"	"chr10:11865125-11865984"	"rs540692551;rs71513306"	"1;12"
"cg05003157"	-0.0332907350900546	0.0875548620678567	-4.08448536477314	0.000144224639038871	0.341340999929467	0.417153180272597	0.108361571499141	0.0750708364090863	-0.0332907350900546	"1"	197170499	"F"	"I"	"ZBTB41"	"TSS1500"	"island"	"TSS1500-island"	"chr1:197170005-197170719"	"rs185429657"	"16"
"cg26931475"	-0.0677659216900794	0.149174319447399	-4.08204075860966	0.000145393024622354	0.341340999929467	0.40944666515979	0.191528020503698	0.123762098813619	-0.0677659216900794	"12"	46743214	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs574789162"	"32"
"cg06782764"	0.077364476076898	0.897234162140027	4.08152157865827	0.000145642339547396	0.341340999929467	0.40781028763648	0.848881364591965	0.926245840668864	0.0773644760768984	"1"	59712617	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs536625668;rs553369159;rs77468133"	"14;2;1"
"cg04256286"	0.0304421866065107	0.905144027318301	4.08140814818597	0.000145696864895358	0.341340999929467	0.407452786447224	0.886117660689231	0.916559847295742	0.0304421866065111	"18"	3411610	"F"	"II"	"TGIF1"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	""	""
"cg21423178"	0.0889179450255875	0.764997429643701	4.08067804766211	0.000146048292586276	0.341340999929467	0.405151839452392	0.709423714002709	0.798341659028297	0.0889179450255877	"10"	17428519	"F"	"II"	"ST8SIA6-AS1"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs567648222;rs535155474"	"8;37"
"cg04664860"	0.0637818964249546	0.794031646413631	4.07831451526234	0.000147191589984866	0.341340999929467	0.397704550771611	0.754167961148034	0.817949857572989	0.0637818964249548	"14"	64119304	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	""	""
"cg17698037"	-0.0393530251139378	0.725212717248781	-4.0778916449689	0.000147397053201	0.341340999929467	0.396372364063355	0.749808357944992	0.710455332831055	-0.0393530251139373	"3"	188286982	"F"	"II"	"LPP-AS1"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs539599681"	"1"
"cg22939324"	0.0939591261972043	0.804811252200268	4.0777545533369	0.000147463722467759	0.341340999929467	0.395940494060755	0.746086798327015	0.840045924524219	0.0939591261972043	"10"	91128729	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	""	""
"cg01592063"	-0.044292469530161	0.100537105586486	-4.07739918960219	0.000147636675803367	0.341340999929467	0.394821052884441	0.128219899042836	0.0839274295126754	-0.044292469530161	"2"	229338518	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs181353977;rs114089105;rs185184259"	"36;5;1"
"cg27662412"	-0.0450570098733795	0.0773151598752975	-4.07688675033192	0.000147886422238587	0.341340999929467	0.393206894894347	0.10547579104616	0.0604187811727802	-0.0450570098733795	"18"	39535095	"R"	"I"	"PIK3C3"	"TSS200"	"opensea"	"TSS200-opensea"	""	"rs56778559;rs574982272;rs372710852;rs140172908;rs575573165;rs545764364;rs183105933"	"50;44;32;17;12;6;4"
"cg16672922"	0.0437599937429352	0.909613920169251	4.07510952266349	0.000148755755126528	0.341340999929467	0.387609551742682	0.882263924079917	0.926023917822852	0.0437599937429353	"16"	20780646	"R"	"II"	"ACSM3"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs150476627"	"1"
"cg26288621"	0.0406376240075842	0.899849326243218	4.07450242926194	0.000149053846219385	0.341340999929467	0.385697820256802	0.874450811238478	0.915088435246062	0.0406376240075841	"10"	108603585	"R"	"II"	"SORCS1"	"Body"	"opensea"	"Body-opensea"	""	"rs561237371;rs12573843;rs4918263;rs4917488;rs192758880"	"30;26;18;11;1"
"cg10576646"	0.0531974903523114	0.935613962553241	4.07431548183074	0.00014914575620041	0.341340999929467	0.38510915501045	0.902365531083046	0.955563021435357	0.0531974903523112	"21"	30194253	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs556989111"	"28"
"cg14020598"	0.0681649731518426	0.604270110638441	4.072685756103	0.000149949311567737	0.341789367143092	0.379978037644369	0.56166700241854	0.629831975570383	0.0681649731518429	"6"	52020069	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs6917607"	"10"
"cg02084828"	0.0342507827043416	0.908469261024729	4.07139851620448	0.000150586957576041	0.341789367143092	0.375925992937255	0.887062521834515	0.921313304538857	0.0342507827043417	"5"	115782729	"R"	"I"	"SEMA6A"	"Body"	"shore"	"Body-shore"	"chr5:115783075-115783425"	""	""
"cg23029715"	-0.0172793411033755	0.0539560513698332	-4.07106017190248	0.000150754994129267	0.341789367143092	0.374861047171483	0.0647556395594429	0.0474762984560674	-0.0172793411033755	"19"	42363959	"F"	"II"	"RPS19"	"TSS200"	"island"	"TSS200-island"	"chr19:42363678-42364765"	"rs564643055;rs187442098;rs547036103"	"1;5;19"
"cg27561222"	-0.0209647278141236	0.0325363604440282	-4.06901064901719	0.000151776758464444	0.343004016968397	0.368411137758475	0.0456393153278554	0.0246745875137319	-0.0209647278141236	"1"	85411171	"R"	"II"	"MCOLN2"	"Body"	"opensea"	"Body-opensea"	""	""	""
"cg06736242"	-0.0265390540576826	0.0623898539335197	-4.0680931876964	0.000152236313852706	0.343004016968397	0.365524419953205	0.0789767627195713	0.0524377086618888	-0.0265390540576825	"7"	141438205	"R"	"I"	"SSBP1"	"1stExon"	"island"	"1stExon-island"	"chr7:141438004-141438393"	"rs546096736;rs564113515;rs531320927"	"12;5;2"
"cg05958020"	0.0344796207192631	0.841577067662979	4.06481881683935	0.000153887435823268	0.344445603825838	0.355224704493816	0.820027304713439	0.854506925432702	0.0344796207192635	"7"	140401455	"R"	"I"	"NDUFB2"	"Body"	"opensea"	"Body-opensea"	""	"rs144549393;rs574651550;rs541703651;rs559953765;rs527478251"	"48;39;30;28;2"
"cg07108316"	0.0385608268000601	0.946192874917618	4.06314269950806	0.000154739313989384	0.344445603825838	0.34995409510733	0.922092358167581	0.96065318496764	0.0385608268000599	"1"	237018408	"R"	"II"	"MTR"	"Body"	"opensea"	"Body-opensea"	""	"rs559896019;rs533475920"	"31;5"
"cg25782682"	0.0485137364926185	0.855926280528375	4.06254846473733	0.000155042423965668	0.344445603825838	0.348085781545998	0.825605195220488	0.874118931713107	0.0485137364926185	"7"	157051941	"F"	"I"	"UBE3C"	"Body"	"opensea"	"Body-opensea"	""	"rs151177711;rs536263391"	"0;12"
"cg19203911"	0.030777909668364	0.937137412027239	4.06220707785992	0.000155216819634025	0.344445603825838	0.347012504480186	0.917901218484511	0.948679128152875	0.0307779096683639	"7"	104836951	"F"	"II"	"SRPK2"	"Body"	"opensea"	"Body-opensea"	""	"rs556029184;rs576064098"	"12;18"
"cg21408696"	0.085179939563895	0.802262840661056	4.06214218755791	0.000155249989939406	0.344445603825838	0.346808503039724	0.749025378433621	0.834205317997516	0.0851799395638951	"5"	169409132	"R"	"II"	"FAM196B"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs567355368;rs535716673"	"40;2"
"cg25379649"	-0.0128376780233727	0.0417880125080897	-4.05829129288574	0.000157230787841694	0.34777676630598	0.334705216659891	0.0498115612726976	0.0369738832493249	-0.0128376780233727	"9"	95087613	"F"	"II"	"NOL8"	"Body"	"shore"	"Body-shore"	"chr9:95087949-95088606"	"rs62566400;rs112410231;rs556440327;rs571465730;rs79381770"	"9;10;11;19;47"
"cg18648917"	0.120390916156664	0.85222415694492	4.05427342133196	0.000159323506660082	0.350311009121613	0.322083664546755	0.776979834347005	0.897370750503668	0.120390916156663	"3"	23713773	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs569542380"	"35"
"cg19722681"	0.0651018611422084	0.864526664295933	4.05389532793945	0.000159521817653858	0.350311009121613	0.320896284008869	0.823838001082052	0.888939862224261	0.0651018611422086	"3"	71098617	"F"	"II"	"FOXP1"	"Body"	"opensea"	"Body-opensea"	""	"rs548897384;rs567297814"	"3;35"
"cg24804106"	0.0879209556164907	0.88824352305171	4.05161862046171	0.00016072100956183	0.350311009121613	0.313747668161606	0.833292925791403	0.921213881407894	0.0879209556164908	"8"	18872143	"R"	"II"	"PSD3"	"TSS1500"	"shore"	"TSS1500-shore"	"chr8:18871072-18872046"	"rs542772709"	"16"
"cg21495156"	-0.0436221067500698	0.110051667239978	-4.05107457021276	0.000161008859872089	0.350311009121613	0.312039727354677	0.137315483958771	0.0936933772087015	-0.0436221067500698	"6"	90995476	"F"	"II"	"BACH2"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs114626612;rs545773569"	"0;34"
"cg05200694"	-0.0972140847701766	0.131923807152789	-4.05047820863354	0.000161324959835179	0.350311009121613	0.310167706338912	0.19268261013415	0.0954685253639732	-0.0972140847701765	"5"	40442560	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs73090839;rs534943304;rs189890380"	"45;35;17"
"cg11416012"	-0.0404335510737833	0.11084015127466	-4.04951550505415	0.000161836504329669	0.350311009121613	0.307146023513027	0.136111120695775	0.0956775696219917	-0.0404335510737833	"12"	4380899	"R"	"I"	""	"IGR"	"island"	"IGR-island"	"chr12:4378366-4382222"	"rs115649374;rs183619253;rs528844794"	"48;40;16"
"cg15675290"	0.0464789097075549	0.932432508889723	4.04889401246423	0.000162167574350797	0.350311009121613	0.305195520034249	0.903383190322501	0.949862100030056	0.0464789097075554	"3"	155664290	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	""	""
"cg11218475"	0.0884307427042128	0.874779324883851	4.04667200281216	0.000163356603482781	0.350311009121613	0.298223237764889	0.819510110693718	0.907940853397931	0.0884307427042128	"5"	14611288	"R"	"II"	"FAM105A"	"3'UTR"	"opensea"	"3'UTR-opensea"	""	"rs148020062"	"40"
"cg03839102"	0.0641201050112298	0.88376601953907	4.04613746081085	0.000163643899155444	0.350311009121613	0.296546243620371	0.843690953907051	0.907811058918281	0.0641201050112299	"4"	178223718	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs564716335"	"30"
"cg21658839"	0.0536586640690476	0.930619326659532	4.04479730022872	0.00016436633177887	0.350311009121613	0.292342341724686	0.897082661616377	0.950741325685425	0.053658664069048	"3"	168269695	"F"	"II"	"MIR551B"	"Body"	"opensea"	"Body-opensea"	""	"rs200815786"	"0"
"cg15917154"	-0.0773204955683802	0.255226506269966	-4.04441871822118	0.000164570969399365	0.350311009121613	0.291154916713828	0.303551816000204	0.226231320431824	-0.0773204955683802	"3"	4626711	"R"	"II"	"ITPR1"	"Body"	"opensea"	"Body-opensea"	""	"rs188068714;rs566660316"	"43;1"
"cg02296916"	-0.0338590974135825	0.0898029861490366	-4.04322796434556	0.000165216222153278	0.350311009121613	0.287420498132402	0.110964922032526	0.0771058246189432	-0.0338590974135825	"5"	82372944	"F"	"II"	"XRCC4"	"TSS1500"	"shore"	"TSS1500-shore"	"chr5:82373102-82373347"	"rs532815367;rs551339785;rs187545809;rs16900155"	"2;14;42;51"
"cg20059492"	0.0419903180494534	0.910272199402952	4.04110962636085	0.000166370167016762	0.350311009121613	0.280778468568334	0.884028250622044	0.926018568671497	0.0419903180494536	"1"	12603854	"R"	"I"	""	"IGR"	"shelf"	"IGR-shelf"	"chr1:12600347-12600556"	"rs549574880;rs17038071;rs190781578;rs558214327;rs571562220"	"49;48;22;11;10"
"cg06887949"	0.0694444492284068	0.878665357341517	4.04045868748602	0.000166726321283877	0.350311009121613	0.278737831249167	0.835262576573763	0.90470702580217	0.0694444492284072	"4"	113561684	"F"	"II"	"LARP7"	"5'UTR"	"shelf"	"5'UTR-shelf"	"chr4:113558032-113558681"	"rs571003421"	"15"
"cg19400316"	0.0505308232204434	0.911224305370737	4.03976476730879	0.000167106803484933	0.350311009121613	0.276562645810697	0.87964254085796	0.930173364078403	0.0505308232204434	"1"	8815225	"F"	"II"	"RERE"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs559211735"	"2"
"cg04263379"	0.05661847467486	0.884953316401802	4.03825369612166	0.00016793824090461	0.350311009121613	0.271826686378422	0.849566769730014	0.906185244404874	0.05661847467486	"3"	195957767	"F"	"II"	"SLC51A"	"Body"	"opensea"	"Body-opensea"	""	"rs537403369;rs112015338"	"0;22"
"cg08547962"	0.050576901612492	0.931008412588145	4.03781193434382	0.000168182065750063	0.350311009121613	0.270442308277082	0.899397849080338	0.94997475069283	0.0505769016124922	"14"	57075658	"R"	"II"	"TMEM260"	"Body"	"opensea"	"Body-opensea"	""	"rs558525591"	"15"
"cg17223879"	0.0566186949831629	0.888995481171131	4.03778304688567	0.000168198021726148	0.350311009121613	0.270351784576527	0.853608796806654	0.910227491789817	0.0566186949831627	"4"	16162527	"R"	"II"	"TAPT1"	"3'UTR"	"opensea"	"3'UTR-opensea"	""	"rs149648719;rs192212876;rs536260299"	"46;30;23"
"cg03022920"	0.0343976468781085	0.944913368753888	4.03679013618562	0.000168747345452913	0.350311009121613	0.267240543978791	0.92341483945507	0.957812486333179	0.0343976468781089	"8"	8790350	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs184879195"	"10"
"cg01821656"	0.0473034815154069	0.624990239427281	4.03670893556142	0.000168792345948792	0.350311009121613	0.266986123720323	0.595425563480151	0.642729044995558	0.047303481515407	"2"	2190118	"F"	"I"	"MYT1L"	"5'UTR"	"island"	"5'UTR-island"	"chr2:2189200-2190138"	"rs551635223;rs142730498;rs534394188"	"10;12;42"
"cg14684815"	0.0481185772387392	0.89809226949274	4.03620081409211	0.000169074204666149	0.350311009121613	0.265394124659641	0.868018158718528	0.916136735957267	0.0481185772387392	"12"	122080805	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs567294868;rs4760125;rs75817024;rs182350171"	"49;48;31;2"
"cg06704567"	-0.15398083073115	0.739700246676049	-4.03474573112344	0.000169883867550066	0.350311009121613	0.26083579042526	0.835938265883018	0.681957435151867	-0.15398083073115	"2"	139407289	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs541992340"	"9"
"cg04136379"	0.0360403557117449	0.935980931139372	4.03445585918599	0.000170045610008173	0.350311009121613	0.259927815142843	0.913455708819531	0.949496064531276	0.0360403557117448	"5"	53850401	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs530784666;rs138378124;rs149254777"	"1;33;40"
"cg25374458"	0.0462258275602387	0.939972792398541	4.03445181373503	0.000170047868337107	0.350311009121613	0.259915143693968	0.911081650173391	0.95730747773363	0.0462258275602387	"17"	5289545	"R"	"II"	"RABEP1"	"3'UTR"	"opensea"	"3'UTR-opensea"	""	"rs199908225"	"1"
"cg24917883"	0.0481056880679169	0.924249919512372	4.0337360229055	0.000170447907192056	0.350311009121613	0.257673200531295	0.894183864469924	0.942289552537841	0.0481056880679169	"21"	30254255	"F"	"II"	"N6AMT1"	"Body"	"shelf"	"Body-shelf"	"chr21:30257425-30257771"	""	""
"cg20696493"	0.0609130790953726	0.930260230607791	4.03246737085932	0.000171159161937463	0.350779098379851	0.253700155874903	0.892189556173183	0.953102635268556	0.0609130790953725	"10"	26974199	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs142483630"	"1"
"cg03310038"	0.102221196005843	0.849230372990867	4.02945989710061	0.000172856739233746	0.353260257626319	0.244284324984029	0.785342125487215	0.887563321493058	0.102221196005843	"2"	98852704	"R"	"II"	"VWA3B"	"Body"	"opensea"	"Body-opensea"	""	""	""
