"ID"	"Description"	"mIDH1_NES"	"mIDH2_NES"	"NR_NES"	"R_NES"	"mIDH1_pvalue"	"mIDH2_pvalue"	"NR_pvalue"	"R_pvalue"	"mIDH1_core_enrichment"	"mIDH2_core_enrichment"	"NR_core_enrichment"	"R_core_enrichment"
"hsa04928"	"Parathyroid hormone synthesis, secretion and action"	-1.50195611960197	0	0	-1.81960819748289	0.0786802030456853	1	1	0.0206083029016419	"NACA/PRKACA/PDE4A/CREB3/CREB3L4"	""	""	"VDR/RXRA/CREB3L4/NACA/ADCY7/ITPR3"
"hsa04929"	"GnRH secretion"	0	-1.52585754040977	0	0	1	0.0789473684210526	1	1	""	"NRAS/CACNA1I/ITPR1/ARRB1"	""	""
"hsa04931"	"Insulin resistance"	0	0	-1.55215835790838	0	1	1	0.0467219653761277	1	""	""	"CREB3L4/STAT3/NFKB1/PRKCQ/MTOR/PRKAA1/PTEN/RPS6KB1/IRS2/MLX/CREB3/PTPN11"	""
"hsa04932"	"Non-alcoholic fatty liver disease"	0	0	-1.84170632186981	-1.68797664402782	1	1	0.0124409366778969	0.0352380843788132	""	""	"NDUFV1/PRKAA1/IRS2/MLX/NDUFA2/NDUFS1/NDUFS3"	"NDUFV1/PRKAA1/RXRA/NDUFA2/NDUFS1/NDUFS3"
"hsa04934"	"Cushing syndrome"	-1.66112056745536	-1.52729712847962	-1.57008878609206	0	0.0208379218754763	0.0752089136490251	0.0459801545625277	1	"RBBP5/WDR5/MAPK3/DVL2/CDK4/ASH2L/PRKACA/CDK6/CREB3/CREB3L4"	"WDR5/MAPK1/RBBP5/CREB3L4/CACNA1I/ITPR1/DVL2/CDK6/CDK4"	"DVL2/CDK6/PRKACA/CACNA1I/CDK4/GNAI1/ADCY7/CREB3"	""
"hsa04936"	"Alcoholic liver disease"	-1.67766983017786	0	0	0	0.0244916569893856	1	1	1	"TRA2B/NFKB1/CD14/TBK1/PRKAA1/C5AR1/MAPK14/PRKAG1"	""	""	""
"hsa04962"	"Vasopressin-regulated water reabsorption"	0	0	0	1.46712122336843	1	1	1	0.0947521865889213	""	""	""	"DYNC1H1/DYNC1LI1/DYNC1I2/DCTN1/DYNLL1/PRKACB/DYNLL2/DCTN2/RAB5A"
"hsa04970"	"Salivary secretion"	0	0	-1.79763230835434	0	1	1	0.0346244307302698	1	""	""	"PRKACA/ADRB2/CALM1/ADCY7"	""
"hsa04971"	"Gastric acid secretion"	0	0	-1.48282176874679	0	1	1	0.0732984293193717	1	""	""	"PRKACA/GNAI1/CALM1/ADCY7"	""
"hsa04972"	"Pancreatic secretion"	0	0	0	-1.63569733503743	1	1	1	0.020003794853344	""	""	""	"ITPR3"
"hsa05010"	"Alzheimer disease"	0	0	-1.63909844126763	-1.64639072198183	1	1	0.0258834907744993	0.0188737696035597	""	""	"CSNK2A1/PSMC2/PSMD2/RELA/PSMC6/NRBF2/PSMC1/EIF2S1/PSMA3/PSMD1/PSMA5/PSMC5/PSMD13/PSMD11/TUBB4B/PSMC3/PSMD12/PSMD7/MAPK1/PSMD6/PSMA6/PSMA1/PSMD3/PSMD4/CSNK2A2/NFKB1/PSMB1/PSMD9/PSMD8/PSMB2/NRAS/MTOR/DVL2/NDUFV1/PSMB4/PSMA7/PSMA2/IRS2/NDUFA2/CALM1/NDUFS1/NDUFS3"	"CSNK2A1/PSMC2/PSMD2/RELA/PSMC6/PSMC1/EIF2S1/NRBF2/PSMA3/PSMD1/PSMA5/PSMC5/PSMD13/PSMD11/TUBB4B/PSMC3/PSMD12/PSMD7/MAPK1/PSMD6/PSMA6/PSMA1/PSMD3/PSMD4/CSNK2A2/NFKB1/PSMB1/PSMD9/PSMD8/WNT1/PSMB2/NRAS/MTOR/DVL2/NDUFV1/PSMB4/PSMA7/PSMA2/NDUFA2/ITPR3/NDUFS1/NDUFS3"
"hsa05014"	"Amyotrophic lateral sclerosis"	2.12404967134368	2.65010207501176	2.73773865900657	2.76137940033393	0.00141315638747469	1.29120258607788e-05	1.02068786871049e-05	2.37231242832329e-06	"NCBP1/HNRNPA2B1/RANBP2/NUP43/HNRNPA3/SEC13/ALYREF/PSMC4/SRSF3/NUP98/NUP50/RAE1/ACTB/PSMC2/SRSF7/DCTN1/NUP107/TPR/VCP/PSMD2/NUP210/NUP153/NUP85/NUP54/NUP214/EIF2S1/PSMC1/FUS/ACTR1A/DCTN3/HNRNPA1/NUP160/PSMC6/NUP88/PSMC5/TRAF2/NRBF2/TUBB4B/NUP93"	"HNRNPA2B1/ALYREF/NCBP1/SRSF3/HNRNPA3/SEC13/SRSF7/RANBP2/NUP37/SEH1L/NUP98/PSMA3/NUP62/PSMC4/NUP50/VCP/NUP93/NUP107/NUP214/PSMC2/TPR/PSMD2/NUP133/RAE1/PSMC6/NUP88/DCTN1/NUP85/PSMA5/FUS/NUP54/NUP43/DCTN3/PSMC1/PSMD11/PSMC5/PSMB1/NRBF2/PSMD1/PSMD13/PSMD7/HNRNPA1/EIF2S1/PSMD12/TUBB4B/PSMD6/PSMA6/NUP153/PSMA1/PSMC3/NXF1/ACTB/NUP155/PSMD3"	"NCBP1/HNRNPA2B1/ALYREF/HNRNPA3/SEC13/SRSF3/RANBP2/SRSF7/NUP98/PSMC4/VCP/NUP50/PSMC2/NUP37/TPR/RAE1/NUP107/PSMD2/NUP43/SEH1L/NUP93/NUP62/DCTN1/PSMC6/NUP214/NUP85/NRBF2/PSMC1/EIF2S1/NUP88/ACTB/FUS/NUP54/HNRNPA1/DCTN3/NUP153/PSMA3/PSMD1/PSMA5/PSMC5/PSMD13/PSMD11/TUBB4B/PSMC3/PSMD12/PSMD7/NUP210/PSMD6/PSMA6/NUP160/DCTN2/NXF1/RAB5A"	"NCBP1/HNRNPA2B1/ALYREF/HNRNPA3/SEC13/SRSF3/RANBP2/SRSF7/NUP98/PSMC4/VCP/NUP50/PSMC2/TPR/NUP37/RAE1/PSMD2/NUP107/NUP43/SEH1L/NUP93/NUP62/DCTN1/PSMC6/NUP214/NUP85/PSMC1/EIF2S1/NUP88/ACTB/FUS/NUP54/HNRNPA1/DCTN3/NRBF2/NUP153/PSMA3/PSMD1/PSMA5/PSMC5/PSMD13/PSMD11/TUBB4B/PSMC3/PSMD12/PSMD7/NUP210/PSMD6/PSMA6/NUP160/DCTN2/NXF1/RAB5A/PSMA1"
"hsa05016"	"Huntington disease"	0	1.5055343340828	1.46513825857611	1.53197424099434	1	0.0686149936467599	0.0976800976800977	0.054320987654321	""	"POLR2C/POLR2G/POLR2B/POLR2E/POLR2A/PSMA3/PSMC4/PSMC2/PSMD2/POLR2H/PSMC6/DCTN1/HDAC1/CLTC/PSMA5/DCTN3/PSMC1/PSMD11/PSMC5/PSMB1/NRBF2/PSMD1/PSMD13/PSMD7/PSMD12/TUBB4B/PSMD6/PSMA6/PSMA1/PSMC3/HDAC2/PSMD3"	"POLR2C/POLR2G/POLR2B/POLR2E/POLR2H/POLR2A/PSMC4/PSMC2/PSMD2/DCTN1/PSMC6/NRBF2/PSMC1/CLTC/HDAC1/DCTN3/PSMA3/PSMD1/PSMA5/PSMC5/PSMD13/PSMD11/TUBB4B/PSMC3/PSMD12/EP300/PSMD7/PSMD6/PSMA6/DCTN2/PSMA1/POLR2J/HDAC2/PSMD3/AP2S1/ACTR1A"	"POLR2C/POLR2G/POLR2B/POLR2E/POLR2H/POLR2A/PSMC4/PSMC2/PSMD2/DCTN1/PSMC6/PSMC1/CLTC/HDAC1/DCTN3/NRBF2/PSMA3/PSMD1/PSMA5/PSMC5/PSMD13/PSMD11/TUBB4B/HDAC2/PSMC3/PSMD12/EP300/PSMD7/PSMD6/PSMA6/DCTN2/PSMA1/POLR2J/PSMD3/AP2S1/ACTR1A"
"hsa05017"	"Spinocerebellar ataxia"	0	1.51027736637387	0	0	1	0.0709413369713506	1	1	""	"PSMA3/PSMC4/PSMC2/PSMD2/PSMC6/PSMA5/PSMC1/PSMD11/PSMC5/PSMB1/NRBF2/PSMD1/PSMD13/PSMD7/PSMD12/PSMD6/PSMA6/PSMA1/PSMC3/PSMD3/PSMB2/GTF2B"	""	""
"hsa05020"	"Prion disease"	0	1.47989587493922	0	0	1	0.0915119363395226	1	1	""	"HSPA8/PSMA3/PSMC4/CSNK2A1/PSMC2/PSMD2/PSMC6/PSMA5/PSMC1/PSMD11/PSMC5/PSMB1/PSMD1/PSMD13/PSMD7/EIF2S1/PSMD12/TUBB4B/PSMD6/PSMA6/PRKACB/PSMA1/PSMC3/PSMD3/MAPK1/PSMB2"	""	""
"hsa05022"	"Pathways of neurodegeneration - multiple diseases"	0	0	0	-1.62543902416044	1	1	1	0.0412580502066888	""	""	""	"VCP/CSNK2A1/PSMC2/PSMD2/RELA/DCTN1/PSMC6/PSMC1/EIF2S1/FUS/DCTN3/NRBF2/PSMA3/PSMD1/PSMA5/PSMC5/PSMD13/PSMD11/TUBB4B/PSMC3/PSMD12/PSMD7/MAPK1/PSMD6/PSMA6/DCTN2/RAB5A/PSMA1/PSMD3/ACTR1A/PSMD4/CSNK2A2/TBK1/NFKB1/PSMB1/PSMD9/PSMD8/PARK7/WNT1/PSMB2/NRAS/MTOR/DVL2/PLCG1/NDUFV1/PSMB4/RPS27A/PSMA7/PSMA2/NDUFA2/ITPR3/NDUFS1/NDUFS3"
"hsa05032"	"Morphine addiction"	-1.59590706267894	0	-1.51884984509856	0	0.0418999836439635	1	0.0523458222090912	1	"PRKACA/PDE4A/GNG7"	""	"PRKACA/GNG7/GNAI1/ADCY7"	""
"hsa05034"	"Alcoholism"	0	0	-1.46864414270944	0	1	1	0.0859822175224202	1	""	""	"PPP1CA/HDAC1/MAPK1/PPP1CC/HDAC2/SOS1/GNB1/GRB2/HDAC4/CREB3L4/HDAC10/NRAS/PRKACA/GNG7/GNAI1/CALM1/CREB3"	""
"hsa05131"	"Shigellosis"	0	0	-1.58512736370703	0	1	1	0.0451885376004495	1	""	""	"HCLS1/TBK1/CBX3/NFKB1/CD14/PRKCQ/MTOR/PYCARD/PFN1/U2AF1/LOC102724594/ARPC3/RRAGC/ARPC1A/RPS6KB1/UBE2N/NLRC4"	""
"hsa05132"	"Salmonella infection"	0	1.68426278861267	1.44427266513277	1.76695763913225	1	0.0362116991643454	0.0974632843791722	0.0172088168079848	""	"HSP90AA1/HSP90AB1/DYNC1H1/RPS3/RELA/DYNC1I2/DYNC1LI1/DCTN1/HSP90B1/DYNLL1/DCTN3/RAB7A/TUBB4B/DYNLL2/ACTB/KPNA1/KPNA3/MAPK1/DCTN2/SKP1/RAB5A"	"HSP90AA1/RPS3/DYNC1H1/HSP90AB1/DYNC1LI1/DYNC1I2/RELA/DCTN1/DYNLL1/ACTB/DCTN3/DYNLL2/TUBB4B/RAB7A/MAPK1/SKP1/DCTN2/RAB5A/KPNA1/DNM2/KPNA3/ACTR1A"	"HSP90AA1/RPS3/DYNC1H1/HSP90AB1/DYNC1LI1/DYNC1I2/RELA/DCTN1/DYNLL1/ACTB/DCTN3/DYNLL2/TUBB4B/RAB7A/MAPK1/SKP1/DCTN2/RAB5A/KPNA1/DNM2/KPNA3/ACTR1A"
"hsa05133"	"Pertussis"	0	0	-1.52500544244082	0	1	1	0.0476391279766692	1	""	""	"NFKB1/CD14/CFL1/PYCARD/IL10/ITGB2/ITGAM/GNAI1/CALM1"	""
"hsa05150"	"Staphylococcus aureus infection"	-1.8254563051302	0	-1.73002173893374	-1.41133842909359	0.0135100775175014	1	0.0217363100727499	0.0968586387434555	"PTAFR/ICAM1/C5AR1"	""	"ICAM1/IL10/ITGB2/ITGAM/C5AR1"	"PTAFR/ITGB2/ICAM1"
"hsa05152"	"Tuberculosis"	0	-1.49793253947026	-1.72868652163065	-1.51213077215553	1	0.0903426791277259	0.0289645772642558	0.0761430994313671	""	"MAPK1/IFNG/RAB5A/NFKB1/FCER1G/CD14/HSPA9/HSPD1/IFNGR2/ITGAX/NFYB/CIITA/ITGB2"	"RAB7A/EP300/MAPK1/RAB5A/IFNG/NFKB1/NFYB/CD14/HSPD1/FCER1G/IFNGR2/IL10/ITGB2/IL10RB/ITGAM/CEBPB/IFNGR1/CALM1/ITGAX"	"RAB7A/EP300/MAPK1/RAB5A/IFNG/NFKB1/HSPD1/CD14/FCER1G/NFYB/VDR/IL10RB/IL10RA/ITGB2/ITGAX"
"hsa05161"	"Hepatitis B"	0	-1.66912613676874	-1.54155345529155	-1.50736483955121	1	0.0326126480590261	0.0384637299556407	0.0886898805766915	""	"MAPK1/YWHAB/DDB1/SOS1/YWHAQ/DDX3X/NFKB1/TBK1/CREB3L4/TYK2/NRAS/GRB2"	"EP300/MAPK1/SOS1/DDB1/GRB2/YWHAB/DDX3X/CREB3L4/STAT3/TBK1/NFKB1/NRAS/YWHAQ/STAT6/CREB3"	"EP300/MAPK1/DDB1/GRB2/YWHAB/DDX3X/TBK1/STAT3/YWHAQ/TYK2/NFKB1/CCNA2/NRAS/CREB3L4"
"hsa05163"	"Human cytomegalovirus infection"	-1.44691819758877	-1.5461281643121	-1.75267357574895	-1.69871086923326	0.0873493975903614	0.0615481765577191	0.0153618894890435	0.0236285283610318	"MAPK3/CDK4/TBK1/IL10RA/NRAS/IL10RB/MAPK14/PRKACA/CDK6/CREB3/GNG7/CREB3L4"	"PRKACB/GNB1/MAPK1/SOS1/GNG7/NFKB1/MTOR/TBK1/CREB3L4/NRAS/ITPR1/GRB2/CDK6/RPS6KB1/CDK4"	"SOS1/GNB1/GRB2/CREB3L4/STAT3/TBK1/NFKB1/NRAS/MTOR/CDK6/PRKACA/GNG7/IL10RB/RPS6KB1/CDK4/GNAI1/CALM1/ADCY7/CREB3"	"GNB1/GRB2/CDK4/TBK1/STAT3/NFKB1/NRAS/GNG7/MTOR/PTK2/CREB3L4/ADCY7/IL10RB/IL10RA/CDK6/ITPR3/RPS6KB2"
"hsa05170"	"Human immunodeficiency virus 1 infection"	-1.39758829385324	0	0	-1.47142868356113	0.0965732087227414	1	1	0.0618202443894872	"CDK1/MAPK1/TRAF2/SKP1/PIK3CD/CUL4B/RELA/PIK3R1/DDB1/NFKB1/MAPK3/PAK1/TBK1/NRAS/MAPK14/CD247/GNG7/CD4"	""	""	"CUL1/MAPK1/SKP1/GNB1/DDB1/CUL4B/TBK1/NFKB1/PAK1/NRAS/GNG7/CD247/MTOR/PLCG1/PTK2/CHEK1/ITPR3/RPS6KB2"
"hsa05171"	"Coronavirus disease - COVID-19"	4.76487344663432	4.34675994084404	4.76056830644268	4.70489982635385	1e-10	1e-10	1e-10	1e-10	"RPS27/RPS13/RPS7/RPS5/RPS14/RPS6/RPS4X/RPS8/RPS3/RPS9/RPS4Y1/RPS23/RPL11/RPS2/RPS11/RPL18A/RPL4/RPL24/RPL15/RPL17/RPL13A/RPL23A/RPS17/RPL27A/RPL10/RPL6/RPL34/RPL28/RPL35/RPL8/RPL26/RPS12/RPL29/RPL31/RPS19/RPS20/RPL21/RPL5/RPL12/RPL32/RPL3/RPL7A/RPS26/RPLP2/RPL10A/RPS18/RPSA/RPS16/RPL27/RPL23/RPS25/RPLP0/RPL14/RPL35A/RPL7/RPL38/RPS3A/RPL22/STAT3/RPL18/RPL9/RPL13/RPS10"	"RPS5/RPS8/RPS7/RPS4X/RPS9/RPS13/RPL14/RPL5/RPS27/RPL17/RPS17/RPS12/RPS25/RPS19/RPL18A/RPS20/RPS4Y1/RPSA/RPL15/RPLP2/RPS2/RPL7A/RPL12/RPS10/RPL26/RPL34/RPL10A/RPL31/RPS23/RPL9/RPS3/RPLP0/RPL35/RPL3/RELA/RPS16/RPL32/RPS18/RPL8/RPL21/RPL29/RPL22/RPL24/RPL11/RPL23A/RPL28/RPL35A/RPL4/RPL6/RPS26/RPL27A/RPL7/RPS11/RPL10/RPL27/RPL13/RPL18/RPS14/RPL37/RPS3A/RPL13A"	"RPS5/RPS7/RPS27/RPS13/RPS8/RPS4X/RPS9/RPS3/RPS2/RPS17/RPL5/RPS4Y1/RPL18A/RPS23/RPS12/RPS19/RPL17/RPL14/RPS20/RPL15/RPS25/RPS18/RPL10A/RPL34/RPSA/RPL11/RPL26/RPL31/RPS11/RPL12/RPL24/RPS16/RPLP2/RPL7A/RPL3/RPL32/RPL35/RPL23A/RPL4/RPS14/RPL8/RPL29/RPLP0/RPL21/RPS10/RPL9/RPL27A/RPL13A/RPL28/RPL6/RPS26/RPL10/RPL22/RPL35A/RELA/RPL27/RPL7/RPL13/RPL38/RPS3A/RPL18/RPL23/RPS6"	"RPS5/RPS7/RPS27/RPS13/RPS8/RPS4X/RPS9/RPS3/RPS2/RPS17/RPL5/RPS4Y1/RPL18A/RPS23/RPS12/RPL17/RPS19/RPL14/RPS20/RPL15/RPS25/RPS18/RPL10A/RPL34/RPSA/RPL26/RPL11/RPL31/RPS11/RPL12/RPL24/RPS16/RPLP2/RPL7A/RPL3/RPL32/RPL35/RPL23A/RPL4/RPS14/RPL8/RPL29/RPLP0/RPL21/RPS10/RPL9/RPL27A/RPL13A/RPL28/RPL6/RPS26/RPL10/RPL22/RPL35A/RELA/RPL27/RPL7/RPL13/RPL38/RPS3A"
"hsa05200"	"Pathways in cancer"	0	0	0	-1.56063396554691	1	1	1	0.0424111960835226	""	""	""	"HDAC2/CUL1/JUP/EP300/MAPK1/PPARD/SKP1/IFNG/GNB1/GRB2/FOXO1/CDK4/CDH1/STAT3/NFKB1/CCNA2/CUL2/WNT1/NRAS/GNG7/MTOR/HSP90B1/DVL2/PLCG1/NFKB2/MSH2/PTK2/BCR/PTEN/RXRA/ADCY7/CDK6/RPS6KB2"
"hsa05203"	"Viral carcinogenesis"	0	-1.70096806626617	0	0	1	0.024954617062664	1	1	""	"HDAC2/MAPK1/GTF2B/YWHAE/YWHAB/GTF2H4/DDB1/USP7/KAT2B/KAT2A/CHD4/YWHAQ/DDX3X/NFKB1/SP100/GTF2H3/CREB3L4/MAD1L1/NRAS/GRB2/RANBP1/GTF2A1/CDK6/RBPJL/CDK4/IRF9/CCND2/HDAC4"	""	""
"hsa05208"	"Chemical carcinogenesis - reactive oxygen species"	-1.4132741486446	-1.81048406748235	-1.52293064368878	-1.47141156788274	0.0896358543417367	0.0162261967741807	0.0771604938271605	0.0982658959537572	"PIK3CD/RELA/PIK3R1/GRB2/NDUFS8/NFKB1/MAPK3/PTEN/NRAS/MAPK14/NDUFV2/NDUFA3/ABL2"	"SOS1/NFKB1/NDUFV1/VDAC1/NRAS/GRB2/NDUFS3/PTPRJ/COX5A/HMOX1/NDUFS1"	"PTPRJ/NRAS/NDUFV1/PTEN/NDUFA2/HMOX1/NDUFS1/NDUFS3/PTPN11"	"NRAS/NDUFV1/PTK2/PTEN/NDUFA2/NDUFS1/NDUFS3"
"hsa05210"	"Colorectal cancer"	0	-1.63766310536759	0	0	1	0.0361582500319018	1	1	""	"SOS1/MTOR/NRAS/MSH2/GRB2/APPL1/RPS6KB1"	""	""
"hsa05214"	"Glioma"	0	-1.51242760994856	-1.45781847729999	0	1	0.0496106209029474	0.0857142857142857	1	""	"SOS1/MTOR/NRAS/GRB2/CDK6/CDK4"	"NRAS/MTOR/CDK6/PTEN/CDK4/CALM1"	""
"hsa05218"	"Melanoma"	0	0	-1.49804257693561	0	1	1	0.0742574257425743	1	""	""	"NRAS/CDK6/PTEN/CDK4"	""
"hsa05224"	"Breast cancer"	-1.5235957556907	-1.74247366610179	-1.64845317251223	-1.98968154639709	0.0372976244648654	0.0244388620667158	0.0342500067301632	0.00527723040261729	"MAPK3/DVL2/CDK4/PTEN/NRAS/SHC1/BRCA1/CDK6"	"MTOR/NRAS/DVL2/GRB2/CDK6/RPS6KB1/CDK4"	"NRAS/MTOR/DVL2/CDK6/PTEN/RPS6KB1/CDK4"	"WNT1/NRAS/MTOR/DVL2/NFKB2/PTEN/BRCA1/CDK6/RPS6KB2"
"hsa05225"	"Hepatocellular carcinoma"	0	-2.11947753453507	-1.44814251510636	-1.81341476482567	1	0.00261331190795552	0.0793088230862103	0.0251063681720989	""	"MAPK1/SMARCC1/SOS1/SMARCD1/DPF3/MTOR/ACTL6A/NRAS/DVL2/GRB2/CDK6/HMOX1/RPS6KB1/CDK4"	"NRAS/MTOR/ACTL6A/DVL2/CDK6/PTEN/RPS6KB1/CDK4/HMOX1"	"WNT1/NRAS/DPF3/MTOR/DVL2/PLCG1/ACTL6A/SMARCD1/PTEN/CDK6/RPS6KB2"
"hsa05226"	"Gastric cancer"	0	0	0	-1.50040450683705	1	1	1	0.0798816568047337	""	""	""	"MAPK1/GRB2/CDH1/WNT1/NRAS/MTOR/DVL2/RXRA/RPS6KB2"
"hsa05340"	"Primary immunodeficiency"	0	-1.57952971464055	0	0	1	0.0344333704847783	1	1	""	"LCK"	""	""
"hsa05415"	"Diabetic cardiomyopathy"	-1.57409168064313	0	0	0	0.0453493107173785	1	1	1	"RELA/PPP1CC/PIK3R1/PPP1CA/NDUFS8/NFKB1/PTEN/MAPK14/NDUFV2/NDUFA3"	""	""	""
"WP107"	"Translation factors"	1.70406043085453	0	1.80101166534565	1.77760876344065	0.0250578435234579	1	0.0154802283495099	0.0139044853801411	"EIF4G1/PABPC1/EIF2S3/EEF1A1/ETF1/EIF2S1/EEF2/EIF4E/EIF5B/EIF3B/EIF2S2/EIF3H/EIF3F/EIF3D/EIF4B/EIF3C/EIF3A/EIF3I"	""	"PABPC1/EIF4G1/EIF2S3/EEF1A1/EIF2S1/EEF2/ETF1/EIF3F/EIF4E/EIF5B/EIF3B/EIF3H/EIF3A/EIF2S2/EIF3C/EIF3D/EIF3J/EIF4B/EIF3E/EIF3I/EIF4A2"	"PABPC1/EIF4G1/EIF2S3/EEF1A1/EIF2S1/EEF2/ETF1/EIF3F/EIF4E/EIF5B/EIF3B/EIF3H/EIF3A/EIF2S2/EIF3C/EIF3D/EIF3J/EIF4B/EIF3E/EIF3I"
"WP111"	"Electron transport chain: OXPHOS system in mitochondria"	0	-1.66512784070677	-2.04616232461953	-2.07063970254084	1	0.0366574599390193	0.00253929179417276	0.0015995752743217	""	"NDUFS3/COX5A/NDUFS1"	"NDUFA2/NDUFS1/NDUFS3"	"NDUFA2/NDUFS1/NDUFS3"
"WP1433"	"Nucleotide-binding oligomerization domain (NOD) pathway"	0	0	0	1.46723639372077	1	1	1	0.074468085106383	""	""	""	"HSP90AA1/RELA/COPS6"
"WP1471"	"Target of rapamycin signaling"	0	-1.77296469134301	-1.90460392480308	-1.66918717693667	1	0.0232599578116716	0.00654891370387187	0.0230034804502455	""	"RRAGC/RPS6KB1/PRKAA1"	"RRAGC/PRKAA1/RPS6KB1"	"RRAGC/PRKAA1"
"WP1530"	"miRNA regulation of DNA damage response"	0	-1.45659025066552	-1.59692505827363	-1.5224108577794	1	0.0860215053763441	0.0670462565726456	0.0322429454900569	""	"NBN/CDK6/RAD50/CDK4/CCND2"	"RPA2/NBN/PRKDC/RAD50/CDK6/CDK4"	"CDK4/NBN/RPA2/PRKDC/RAD50/CHEK1/BRCA1/CDK6"
"WP1531"	"Vitamin D metabolism"	0	0	0	-1.53683515818963	1	1	1	0.0339600921683071	""	""	""	"RXRA"
"WP1772"	"Apoptosis modulation and signaling"	0	-1.41717269825594	0	0	1	0.0966981132075472	1	1	""	"MADD/AIFM1"	""	""
"WP179"	"Cell cycle"	0	0	-1.46824034398855	-1.60770347706849	1	1	0.06161755506362	0.0259872134418754	""	""	"HDAC1/SMC1A/CUL1/TFDP2/EP300/SKP1/ANAPC1/YWHAE/HDAC2/MAD1L1/YWHAB/RAD21/SMC3/STAG1/PRKDC/CDK7/MCM6/CDK6/CDK4/YWHAQ"	"HDAC1/SMC1A/HDAC2/CUL1/EP300/SKP1/MCM6/TFDP2/ANAPC1/YWHAE/MAD1L1/YWHAB/RAD21/CDK4/SMC3/CDK7/YWHAQ/STAG1/PRKDC/CCNA2/RBL1/CHEK1/CDK6"
"WP183"	"Proteasome degradation"	0	1.75771064723535	0	1.48773908649879	1	0.0114242754946666	1	0.0655509065550907	""	"UBB/PSMA3/PSMC4/PSMC2/PSMD2/PSMC6/RPN2/PSMA5/RPN1/PSMC1/PSMD11/PSMC5/PSMB1/PSMD1/PSMD13/PSMD7/PSMD12/PSMD6/PSMA6/PSMA1/PSMC3/PSMD3/PSMB2/IFNG/PSME3/PSMA2/PSMD4/PSMB8"	""	"UBB/PSMC4/PSMC2/PSMD2/RPN1/PSMC6/PSMC1/RPN2/PSMA3/PSMD1/PSMA5/PSMC5/PSMD13/PSMD11/PSMC3/PSMD12/PSMD7/PSMD6/PSMA6/PSMA1/IFNG"
"WP185"	"Integrin-mediated cell adhesion"	0	-1.72614818234387	0	0	1	0.0242013193347316	1	1	""	"GRB2/PAK1/ARHGEF7/ITGAX/ITGB2"	""	""
"WP186"	"Homologous recombination"	0	-1.59047586845686	0	0	1	0.0634715478427078	1	1	""	"NBN/RAD50"	""	""
"WP1971"	"Integrated cancer pathway"	0	-1.84274147704882	-1.55600714989232	-1.80859036616781	1	0.0152760670101707	0.0812651337340851	0.0175302124270537	""	"MSH2/RAD50/CDK4"	"MSH2/RAD50/PTEN/CDK4"	"POU2F1/RAD50/MSH2/CHEK1/PTEN/BRCA1"
"WP2011"	"SREBF and miR33 in cholesterol and lipid homeostasis"	0	0	-1.64678174729734	0	1	1	0.0422962009833864	1	""	""	"MED15/PRKAA1"	""
"WP2038"	"Microtubule cytoskeleton regulation"	0	0	-1.59639450494692	0	1	1	0.0443583102104304	1	""	""	"PTEN/PRKACA/TAOK1/PAK1"	""
"WP2059"	"Alzheimer's disease and miRNA effects"	0	1.45814235765835	0	0	1	0.0879265091863517	1	1	""	"PSMA3/RELA/PSMC4/CSNK2A1/PSMC2/PSMD2/PSMC6/PSMA5/PSMC1/PSMC5/PSMB1/NRBF2/PSMD1/PSMD13/PSMD7/EIF2S1/PSMD12/TUBB4B/PSMD6/PSMA6/PSMA1/PSMC3/PSMD3/MAPK1/PSMB2"	""	""
"WP2113"	"Type III interferon signaling"	0	0	-1.62171731688614	0	1	1	0.0210123663826786	1	""	""	"IRF9"	""
"WP2261"	"Glioblastoma signaling pathways"	0	-2.01850665802833	-1.44748943991914	-1.5981359026079	1	0.0107052832966427	0.0914127423822715	0.0517775299859278	""	"NRAS/GRB2/CDK6/NF1/MDM4/CDK4/CCND2"	"MAPK1/GRB2/PRKCI/PRKCQ/NRAS/CDK6/PTEN/CDK4"	"MAPK1/GRB2/FOXO1/PRKCI/CDK4/NRAS/PLCG1/PTEN/BRCA1/CDK6"
"WP2263"	"Androgen receptor network in prostate cancer"	0	-2.05592173024638	-1.9088640907472	-1.91759749080756	1	0.00635357922598204	0.01065471886761	0.00636880062236047	""	"PRKDC/SMARCC1/SOS1/SMARCD1/MTOR/ACTL6A/MSH2/GRB2/PAK1/RAD50/CDK4"	"SOS1/GRB2/SMARCD1/STAT3/SMARCC1/MSH2/PRKDC/RAD50/MTOR/ACTL6A/PTEN/CDK4/PAK1/PTPN11"	"SMARCC1/GRB2/CDK4/SMARCD3/STAT3/PRKDC/RAD50/PAK1/MTOR/ACTL6A/SMARCD1/MSH2/CHEK1/PTEN/BRCA1"
