"Rownames"	"chr"	"start"	"end"	"Name"
"chr1:208265890-208274102"	"chr1:208265890-208274102"	"chr1"	208265890	208274102	""
"chr1:209365026-209367117"	"chr1:209365026-209367117"	"chr1"	209365026	209367117	""
"chr1:209367118-209371288"	"chr1:209367118-209371288"	"chr1"	209367118	209371288	""
"chr1:209898997-209904206"	"chr1:209898997-209904206"	"chr1"	209898997	209904206	"SYT14"
"chr1:209991001-209996894"	"chr1:209991001-209996894"	"chr1"	209991001	209996894	""
"chr1:209996947-210000235"	"chr1:209996947-210000235"	"chr1"	209996947	210000235	""
"chr1:209567149-209572783"	"chr1:209567149-209572783"	"chr1"	209567149	209572783	""
"chr1:209578846-209587966"	"chr1:209578846-209587966"	"chr1"	209578846	209587966	"CAMK1G"
"chr1:209743926-209756685"	"chr1:209743926-209756685"	"chr1"	209743926	209756685	"TRAF3IP3"
"chr1:209782366-209786709"	"chr1:209782366-209786709"	"chr1"	209782366	209786709	"C1orf74"
"chr1:209805340-209808674"	"chr1:209805340-209808674"	"chr1"	209805340	209808674	"IRF6"
"chr1:209826398-209829378"	"chr1:209826398-209829378"	"chr1"	209826398	209829378	"UTP25"
"chr1:208242587-208244602"	"chr1:208242587-208244602"	"chr1"	208242587	208244602	"PLXNA2"
"chr1:209723480-209726478"	"chr1:209723480-209726478"	"chr1"	209723480	209726478	"HSD11B1-AS1"
"chr1:211413039-211418383"	"chr1:211413039-211418383"	"chr1"	211413039	211418383	""
"chr1:210324261-210331259"	"chr1:210324261-210331259"	"chr1"	210324261	210331259	"HHAT"
"chr1:211489676-211492934"	"chr1:211489676-211492934"	"chr1"	211489676	211492934	"RD3"
"chr1:212166086-212173124"	"chr1:212166086-212173124"	"chr1"	212166086	212173124	""
"chr1:212234270-212241006"	"chr1:212234270-212241006"	"chr1"	212234270	212241006	"LINC02608"
"chr1:212540254-212546858"	"chr1:212540254-212546858"	"chr1"	212540254	212546858	"LINC01740"
"chr1:212550833-212557387"	"chr1:212550833-212557387"	"chr1"	212550833	212557387	""
"chr1:212625892-212632573"	"chr1:212625892-212632573"	"chr1"	212625892	212632573	""
"chr1:212466453-212480678"	"chr1:212466453-212480678"	"chr1"	212466453	212480678	""
"chr1:212501606-212506727"	"chr1:212501606-212506727"	"chr1"	212501606	212506727	""
"chr1:212557388-212559989"	"chr1:212557388-212559989"	"chr1"	212557388	212559989	""
"chr1:212559990-212561017"	"chr1:212559990-212561017"	"chr1"	212559990	212561017	""
"chr1:212914627-212915599"	"chr1:212914627-212915599"	"chr1"	212914627	212915599	""
"chr1:212643929-212653503"	"chr1:212643929-212653503"	"chr1"	212643929	212653503	""
"chr1:212658784-212666678"	"chr1:212658784-212666678"	"chr1"	212658784	212666678	""
"chr1:212666679-212669065"	"chr1:212666679-212669065"	"chr1"	212666679	212669065	""
"chr1:212787786-212790457"	"chr1:212787786-212790457"	"chr1"	212787786	212790457	"TATDN3"
"chr1:212790458-212795699"	"chr1:212790458-212795699"	"chr1"	212790458	212795699	"TATDN3;NSL1"
"chr1:212942735-212954417"	"chr1:212942735-212954417"	"chr1"	212942735	212954417	"VASH2"
"chr1:212848338-212852366"	"chr1:212848338-212852366"	"chr1"	212848338	212852366	"SPATA45"
"chr1:212855657-212861778"	"chr1:212855657-212861778"	"chr1"	212855657	212861778	"FLVCR1;FLVCR1-DT"
"chr1:213427210-213429152"	"chr1:213427210-213429152"	"chr1"	213427210	213429152	""
"chr1:213429153-213429771"	"chr1:213429153-213429771"	"chr1"	213429153	213429771	""
"chr1:214527623-214530629"	"chr1:214527623-214530629"	"chr1"	214527623	214530629	""
"chr1:214530630-214533791"	"chr1:214530630-214533791"	"chr1"	214530630	214533791	""
"chr1:214545055-214558418"	"chr1:214545055-214558418"	"chr1"	214545055	214558418	"PTPN14"
"chr1:214600882-214608695"	"chr1:214600882-214608695"	"chr1"	214600882	214608695	"CENPF"
"chr1:214608696-214611095"	"chr1:214608696-214611095"	"chr1"	214608696	214611095	""
"chr1:214613148-214615166"	"chr1:214613148-214615166"	"chr1"	214613148	214615166	""
"chr1:214482877-214484711"	"chr1:214482877-214484711"	"chr1"	214482877	214484711	""
"chr1:214484712-214486986"	"chr1:214484712-214486986"	"chr1"	214484712	214486986	""
"chr1:220447348-220448449"	"chr1:220447348-220448449"	"chr1"	220447348	220448449	""
"chr1:215883268-215885169"	"chr1:215883268-215885169"	"chr1"	215883268	215885169	""
"chr1:219759356-219761544"	"chr1:219759356-219761544"	"chr1"	219759356	219761544	""
"chr1:219761545-219761929"	"chr1:219761545-219761929"	"chr1"	219761545	219761929	""
"chr1:219222338-219225969"	"chr1:219222338-219225969"	"chr1"	219222338	219225969	""
"chr1:219225970-219228718"	"chr1:219225970-219228718"	"chr1"	219225970	219228718	""
"chr1:219290959-219293672"	"chr1:219290959-219293672"	"chr1"	219290959	219293672	""
"chr1:219556668-219557599"	"chr1:219556668-219557599"	"chr1"	219556668	219557599	""
"chr1:219610487-219616722"	"chr1:219610487-219616722"	"chr1"	219610487	219616722	"ZC3H11B"
"chr1:218539427-218543117"	"chr1:218539427-218543117"	"chr1"	218539427	218543117	""
"chr1:218442037-218443734"	"chr1:218442037-218443734"	"chr1"	218442037	218443734	"TGFB2-OT1"
"chr1:220045395-220051020"	"chr1:220045395-220051020"	"chr1"	220045395	220051020	"EPRS"
"chr1:220357272-220360750"	"chr1:220357272-220360750"	"chr1"	220357272	220360750	""
"chr1:220360751-220360953"	"chr1:220360751-220360953"	"chr1"	220360751	220360953	""
"chr1:220360954-220364338"	"chr1:220360954-220364338"	"chr1"	220360954	220364338	""
"chr1:222807913-222818846"	"chr1:222807913-222818846"	"chr1"	222807913	222818846	""
"chr1:222871405-222875822"	"chr1:222871405-222875822"	"chr1"	222871405	222875822	"DISP1"
"chr1:220193443-220203069"	"chr1:220193443-220203069"	"chr1"	220193443	220203069	"MIR664A;SNORA36B"
"chr1:220875898-220881706"	"chr1:220875898-220881706"	"chr1"	220875898	220881706	"HLX;HLX-AS1"
"chr1:220398981-220399649"	"chr1:220398981-220399649"	"chr1"	220398981	220399649	""
"chr1:220399650-220403392"	"chr1:220399650-220403392"	"chr1"	220399650	220403392	""
"chr1:220448450-220451999"	"chr1:220448450-220451999"	"chr1"	220448450	220451999	""
"chr1:220452000-220458239"	"chr1:220452000-220458239"	"chr1"	220452000	220458239	""
"chr1:220463846-220470538"	"chr1:220463846-220470538"	"chr1"	220463846	220470538	""
"chr1:221547173-221547743"	"chr1:221547173-221547743"	"chr1"	221547173	221547743	""
"chr1:221131728-221134383"	"chr1:221131728-221134383"	"chr1"	221131728	221134383	""
"chr1:221332784-221338333"	"chr1:221332784-221338333"	"chr1"	221332784	221338333	"C1orf140"
"chr1:221338334-221340134"	"chr1:221338334-221340134"	"chr1"	221338334	221340134	"C1orf140"
"chr1:221562626-221566581"	"chr1:221562626-221566581"	"chr1"	221562626	221566581	""
"chr1:222614553-222620400"	"chr1:222614553-222620400"	"chr1"	222614553	222620400	"MIA3"
"chr1:223143256-223144479"	"chr1:223143256-223144479"	"chr1"	223143256	223144479	"TLR5"
"chr1:223144894-223148088"	"chr1:223144894-223148088"	"chr1"	223144894	223148088	"TLR5"
"chr1:223177048-223179380"	"chr1:223177048-223179380"	"chr1"	223177048	223179380	""
"chr1:223698048-223708338"	"chr1:223698048-223708338"	"chr1"	223698048	223708338	"CAPN2"
"chr1:223857110-223859760"	"chr1:223857110-223859760"	"chr1"	223857110	223859760	""
"chr1:223859968-223867242"	"chr1:223859968-223867242"	"chr1"	223859968	223867242	""
"chr1:223354315-223364429"	"chr1:223354315-223364429"	"chr1"	223354315	223364429	"SUSD4"
"chr1:224429106-224433047"	"chr1:224429106-224433047"	"chr1"	224429106	224433047	"CNIH3"
"chr1:224570362-224574590"	"chr1:224570362-224574590"	"chr1"	224570362	224574590	""
"chr1:224574591-224575572"	"chr1:224574591-224575572"	"chr1"	224574591	224575572	""
"chr1:224615595-224617176"	"chr1:224615595-224617176"	"chr1"	224615595	224617176	""
"chr1:224617177-224617640"	"chr1:224617177-224617640"	"chr1"	224617177	224617640	""
"chr1:222714107-222721849"	"chr1:222714107-222721849"	"chr1"	222714107	222721849	"AIDA"
"chr1:223972314-223979800"	"chr1:223972314-223979800"	"chr1"	223972314	223979800	""
"chr1:223983968-223993008"	"chr1:223983968-223993008"	"chr1"	223983968	223993008	""
"chr1:223993094-223994732"	"chr1:223993094-223994732"	"chr1"	223993094	223994732	""
"chr1:224034633-224038278"	"chr1:224034633-224038278"	"chr1"	224034633	224038278	""
"chr1:224295102-224297603"	"chr1:224295102-224297603"	"chr1"	224295102	224297603	""
"chr1:224352355-224357245"	"chr1:224352355-224357245"	"chr1"	224352355	224357245	"CNIH4"
"chr1:223938265-223956786"	"chr1:223938265-223956786"	"chr1"	223938265	223956786	""
"chr1:224711136-224714525"	"chr1:224711136-224714525"	"chr1"	224711136	224714525	""
"chr1:224723112-224731798"	"chr1:224723112-224731798"	"chr1"	224723112	224731798	""
"chr1:224731799-224733259"	"chr1:224731799-224733259"	"chr1"	224731799	224733259	""
"chr1:225959885-225963200"	"chr1:225959885-225963200"	"chr1"	225959885	225963200	""
"chr1:225963201-225963985"	"chr1:225963201-225963985"	"chr1"	225963201	225963985	""
"chr1:226145453-226149180"	"chr1:226145453-226149180"	"chr1"	226145453	226149180	"ACBD3-AS1"
"chr1:226311190-226313656"	"chr1:226311190-226313656"	"chr1"	226311190	226313656	"LIN9"
"chr1:225738162-225739597"	"chr1:225738162-225739597"	"chr1"	225738162	225739597	""
"chr1:225740326-225742957"	"chr1:225740326-225742957"	"chr1"	225740326	225742957	""
"chr1:225737942-225738161"	"chr1:225737942-225738161"	"chr1"	225737942	225738161	""
"chr1:225652795-225661218"	"chr1:225652795-225661218"	"chr1"	225652795	225661218	"ENAH"
"chr1:225726998-225737941"	"chr1:225726998-225737941"	"chr1"	225726998	225737941	""
"chr1:225739598-225740325"	"chr1:225739598-225740325"	"chr1"	225739598	225740325	""
"chr1:226057034-226062312"	"chr1:226057034-226062312"	"chr1"	226057034	226062312	"H3F3A"
"chr1:226062313-226062946"	"chr1:226062313-226062946"	"chr1"	226062313	226062946	""
"chr1:225694409-225700843"	"chr1:225694409-225700843"	"chr1"	225694409	225700843	""
"chr1:226303760-226311189"	"chr1:226303760-226311189"	"chr1"	226303760	226311189	"LIN9"
"chr1:226217386-226224683"	"chr1:226217386-226224683"	"chr1"	226217386	226224683	"MIXL1"
"chr1:226819732-226825720"	"chr1:226819732-226825720"	"chr1"	226819732	226825720	""
"chr1:226825721-226826630"	"chr1:226825721-226826630"	"chr1"	226825721	226826630	""
"chr1:226826631-226828945"	"chr1:226826631-226828945"	"chr1"	226826631	226828945	""
"chr1:227315128-227322870"	"chr1:227315128-227322870"	"chr1"	227315128	227322870	"CDC42BPA"
"chr1:227946743-227951896"	"chr1:227946743-227951896"	"chr1"	227946743	227951896	"WNT9A"
"chr1:228610238-228610766"	"chr1:228610238-228610766"	"chr1"	228610238	228610766	"RNA5S1"
"chr1:228613290-228614347"	"chr1:228613290-228614347"	"chr1"	228613290	228614347	"RNA5S2"
"chr1:228622219-228622942"	"chr1:228622219-228622942"	"chr1"	228622219	228622942	"RNA5S6"
"chr1:228627097-228628051"	"chr1:228627097-228628051"	"chr1"	228627097	228628051	"RNA5S8"
"chr1:228684603-228685624"	"chr1:228684603-228685624"	"chr1"	228684603	228685624	""
"chr1:228649739-228653621"	"chr1:228649739-228653621"	"chr1"	228649739	228653621	""
"chr1:227963599-227979713"	"chr1:227963599-227979713"	"chr1"	227963599	227979713	""
"chr1:228458842-228463233"	"chr1:228458842-228463233"	"chr1"	228458842	228463233	"HIST3H2A;MIR4666A"
"chr1:228622943-228627096"	"chr1:228622943-228627096"	"chr1"	228622943	228627096	"RNA5S6;RNA5S7;RNA5S8"
"chr1:228628052-228633793"	"chr1:228628052-228633793"	"chr1"	228628052	228633793	"RNA5S9;RNA5S10;RNA5S11"
"chr1:228633794-228636004"	"chr1:228633794-228636004"	"chr1"	228633794	228636004	"RNA5S11;RNA5S12"
"chr1:228636005-228637112"	"chr1:228636005-228637112"	"chr1"	228636005	228637112	"RNA5S12;RNA5S13"
"chr1:228685625-228687759"	"chr1:228685625-228687759"	"chr1"	228685625	228687759	""
"chr1:228368073-228373878"	"chr1:228368073-228373878"	"chr1"	228368073	228373878	""
"chr1:228454211-228456114"	"chr1:228454211-228456114"	"chr1"	228454211	228456114	"HIST3H2BB"
"chr1:228272614-228279845"	"chr1:228272614-228279845"	"chr1"	228272614	228279845	""
"chr1:229313546-229318039"	"chr1:229313546-229318039"	"chr1"	229313546	229318039	""
"chr1:228852314-228857246"	"chr1:228852314-228857246"	"chr1"	228852314	228857246	""
"chr1:228857247-228864244"	"chr1:228857247-228864244"	"chr1"	228857247	228864244	""
"chr1:229035572-229039826"	"chr1:229035572-229039826"	"chr1"	229035572	229039826	""
"chr1:229039827-229042272"	"chr1:229039827-229042272"	"chr1"	229039827	229042272	""
"chr1:229202788-229205819"	"chr1:229202788-229205819"	"chr1"	229202788	229205819	""
"chr1:229205820-229209358"	"chr1:229205820-229209358"	"chr1"	229205820	229209358	""
"chr1:229238972-229245810"	"chr1:229238972-229245810"	"chr1"	229238972	229245810	""
"chr1:229266064-229278581"	"chr1:229266064-229278581"	"chr1"	229266064	229278581	"RAB4A"
"chr1:229620222-229627060"	"chr1:229620222-229627060"	"chr1"	229620222	229627060	"URB2;TAF5L"
"chr1:229627061-229627753"	"chr1:229627061-229627753"	"chr1"	229627061	229627753	"TAF5L"
"chr1:229627754-229630692"	"chr1:229627754-229630692"	"chr1"	229627754	229630692	"TAF5L"
"chr1:230280638-230282006"	"chr1:230280638-230282006"	"chr1"	230280638	230282006	""
"chr1:230283882-230286001"	"chr1:230283882-230286001"	"chr1"	230283882	230286001	""
"chr1:230420751-230424918"	"chr1:230420751-230424918"	"chr1"	230420751	230424918	""
"chr1:230424919-230428817"	"chr1:230424919-230428817"	"chr1"	230424919	230428817	"PGBD5"
"chr1:229681935-229692816"	"chr1:229681935-229692816"	"chr1"	229681935	229692816	""
"chr1:229888049-229893728"	"chr1:229888049-229893728"	"chr1"	229888049	229893728	"LINC01682"
"chr1:231333040-231341716"	"chr1:231333040-231341716"	"chr1"	231333040	231341716	"SPRTN;EXOC8"
"chr1:231670804-231671217"	"chr1:231670804-231671217"	"chr1"	231670804	231671217	""
"chr1:231668765-231670803"	"chr1:231668765-231670803"	"chr1"	231668765	231670803	""
"chr1:231475734-231479276"	"chr1:231475734-231479276"	"chr1"	231475734	231479276	""
"chr1:233289015-233290190"	"chr1:233289015-233290190"	"chr1"	233289015	233290190	""
"chr1:232749410-232754977"	"chr1:232749410-232754977"	"chr1"	232749410	232754977	"LINC01744"
"chr1:234213437-234217428"	"chr1:234213437-234217428"	"chr1"	234213437	234217428	""
"chr1:233608055-233614619"	"chr1:233608055-233614619"	"chr1"	233608055	233614619	"KCNK1"
"chr1:233618754-233623179"	"chr1:233618754-233623179"	"chr1"	233618754	233623179	"MIR4427"
"chr1:235295408-235296154"	"chr1:235295408-235296154"	"chr1"	235295408	235296154	""
"chr1:235326482-235326664"	"chr1:235326482-235326664"	"chr1"	235326482	235326664	"GGPS1;TBCE"
"chr1:235336092-235344028"	"chr1:235336092-235344028"	"chr1"	235336092	235344028	""
"chr1:234623718-234631526"	"chr1:234623718-234631526"	"chr1"	234623718	234631526	"LINC00184"
"chr1:234641797-234644242"	"chr1:234641797-234644242"	"chr1"	234641797	234644242	""
"chr1:234658241-234660663"	"chr1:234658241-234660663"	"chr1"	234658241	234660663	""
"chr1:234835898-234836848"	"chr1:234835898-234836848"	"chr1"	234835898	234836848	""
"chr1:234899354-234907285"	"chr1:234899354-234907285"	"chr1"	234899354	234907285	""
"chr1:234969411-234974343"	"chr1:234969411-234974343"	"chr1"	234969411	234974343	"LOC101927851"
"chr1:234979693-234981014"	"chr1:234979693-234981014"	"chr1"	234979693	234981014	""
"chr1:234981015-234983320"	"chr1:234981015-234983320"	"chr1"	234981015	234983320	""
"chr1:235065892-235076659"	"chr1:235065892-235076659"	"chr1"	235065892	235076659	""
"chr1:235095489-235099455"	"chr1:235095489-235099455"	"chr1"	235095489	235099455	""
"chr1:235101559-235107788"	"chr1:235101559-235107788"	"chr1"	235101559	235107788	""
"chr1:235189567-235192133"	"chr1:235189567-235192133"	"chr1"	235189567	235192133	"MIR4753"
"chr1:234837405-234838469"	"chr1:234837405-234838469"	"chr1"	234837405	234838469	""
"chr1:235126715-235141366"	"chr1:235126715-235141366"	"chr1"	235126715	235141366	"SNORA14B;TOMM20"
"chr1:234538976-234545462"	"chr1:234538976-234545462"	"chr1"	234538976	234545462	""
"chr1:234591238-234592893"	"chr1:234591238-234592893"	"chr1"	234591238	234592893	""
"chr1:234592894-234594328"	"chr1:234592894-234594328"	"chr1"	234592894	234594328	""
"chr1:235611790-235616703"	"chr1:235611790-235616703"	"chr1"	235611790	235616703	""
"chr1:235650854-235652409"	"chr1:235650854-235652409"	"chr1"	235650854	235652409	"GNG4"
"chr1:235652436-235654343"	"chr1:235652436-235654343"	"chr1"	235652436	235654343	"GNG4"
"chr1:235361112-235361411"	"chr1:235361112-235361411"	"chr1"	235361112	235361411	""
"chr1:236109742-236118542"	"chr1:236109742-236118542"	"chr1"	236109742	236118542	""
"chr1:235853155-235853379"	"chr1:235853155-235853379"	"chr1"	235853155	235853379	"MIR1537"
"chr1:235853711-235857076"	"chr1:235853711-235857076"	"chr1"	235853711	235857076	"MIR1537"
"chr1:235942501-235944576"	"chr1:235942501-235944576"	"chr1"	235942501	235944576	""
"chr1:235944577-235951280"	"chr1:235944577-235951280"	"chr1"	235944577	235951280	""
"chr1:236105621-236109741"	"chr1:236105621-236109741"	"chr1"	236105621	236109741	""
"chr1:236138035-236147268"	"chr1:236138035-236147268"	"chr1"	236138035	236147268	"GPR137B"
"chr1:236118543-236134614"	"chr1:236118543-236134614"	"chr1"	236118543	236134614	""
"chr1:236551379-236551863"	"chr1:236551379-236551863"	"chr1"	236551379	236551863	""
"chr1:236551864-236552901"	"chr1:236551864-236552901"	"chr1"	236551864	236552901	""
"chr1:236660077-236662459"	"chr1:236660077-236662459"	"chr1"	236660077	236662459	"ACTN2"
"chr1:236662460-236678034"	"chr1:236662460-236678034"	"chr1"	236662460	236678034	"ACTN2"
"chr1:236267511-236269045"	"chr1:236267511-236269045"	"chr1"	236267511	236269045	""
"chr1:236281596-236285289"	"chr1:236281596-236285289"	"chr1"	236281596	236285289	"ERO1B"
"chr1:236286631-236293132"	"chr1:236286631-236293132"	"chr1"	236286631	236293132	""
"chr1:236257838-236267459"	"chr1:236257838-236267459"	"chr1"	236257838	236267459	""
"chr1:237042003-237042629"	"chr1:237042003-237042629"	"chr1"	237042003	237042629	"RYR2"
"chr1:237550855-237556452"	"chr1:237550855-237556452"	"chr1"	237550855	237556452	""
"chr1:237556453-237558642"	"chr1:237556453-237558642"	"chr1"	237556453	237558642	""
"chr1:239901347-239901517"	"chr1:239901347-239901517"	"chr1"	239901347	239901517	"CHRM3-AS1"
"chr1:239969314-239973407"	"chr1:239969314-239973407"	"chr1"	239969314	239973407	""
"chr1:240010252-240017258"	"chr1:240010252-240017258"	"chr1"	240010252	240017258	"FMN2"
"chr1:241816108-241832833"	"chr1:241816108-241832833"	"chr1"	241816108	241832833	""
"chr1:241952168-241957796"	"chr1:241952168-241957796"	"chr1"	241952168	241957796	"BECN2"
"chr1:241989651-241991837"	"chr1:241989651-241991837"	"chr1"	241989651	241991837	""
"chr1:241991838-241998605"	"chr1:241991838-241998605"	"chr1"	241991838	241998605	""
"chr1:241998779-241999794"	"chr1:241998779-241999794"	"chr1"	241998779	241999794	"MAP1LC3C"
"chr1:241999803-242000270"	"chr1:241999803-242000270"	"chr1"	241999803	242000270	"MAP1LC3C"
"chr1:242000271-242003286"	"chr1:242000271-242003286"	"chr1"	242000271	242003286	"MAP1LC3C"
"chr1:242054148-242070723"	"chr1:242054148-242070723"	"chr1"	242054148	242070723	""
"chr1:242135249-242145243"	"chr1:242135249-242145243"	"chr1"	242135249	242145243	""
"chr1:242145244-242158180"	"chr1:242145244-242158180"	"chr1"	242145244	242158180	""
"chr1:241676996-241677734"	"chr1:241676996-241677734"	"chr1"	241676996	241677734	"OPN3"
"chr1:241677735-241682070"	"chr1:241677735-241682070"	"chr1"	241677735	241682070	"OPN3"
"chr1:241914598-241916409"	"chr1:241914598-241916409"	"chr1"	241914598	241916409	""
"chr1:241957797-241960218"	"chr1:241957797-241960218"	"chr1"	241957797	241960218	"BECN2"
"chr1:246721789-246723962"	"chr1:246721789-246723962"	"chr1"	246721789	246723962	"SCCPDH"
"chr1:241846325-241847060"	"chr1:241846325-241847060"	"chr1"	241846325	241847060	"EXO1"
"chr1:244410741-244411788"	"chr1:244410741-244411788"	"chr1"	244410741	244411788	""
"chr1:244594793-244601751"	"chr1:244594793-244601751"	"chr1"	244594793	244601751	""
"chr1:244397159-244403021"	"chr1:244397159-244403021"	"chr1"	244397159	244403021	""
"chr1:244409584-244410740"	"chr1:244409584-244410740"	"chr1"	244409584	244410740	""
"chr1:244392399-244397158"	"chr1:244392399-244397158"	"chr1"	244392399	244397158	""
"chr1:244406151-244409583"	"chr1:244406151-244409583"	"chr1"	244406151	244409583	""
"chr1:244966370-244971430"	"chr1:244966370-244971430"	"chr1"	244966370	244971430	"EFCAB2"
"chr1:245232149-245237535"	"chr1:245232149-245237535"	"chr1"	245232149	245237535	"KIF26B-AS1"
"chr1:245017622-245021657"	"chr1:245017622-245021657"	"chr1"	245017622	245021657	""
"chr1:245021658-245021959"	"chr1:245021658-245021959"	"chr1"	245021658	245021959	""
"chr1:245021960-245022568"	"chr1:245021960-245022568"	"chr1"	245021960	245022568	""
"chr1:245022569-245023159"	"chr1:245022569-245023159"	"chr1"	245022569	245023159	""
"chr1:245023160-245035277"	"chr1:245023160-245035277"	"chr1"	245023160	245035277	""
"chr1:246173664-246177190"	"chr1:246173664-246177190"	"chr1"	246173664	246177190	""
"chr1:246177191-246188968"	"chr1:246177191-246188968"	"chr1"	246177191	246188968	""
"chr1:246426431-246427281"	"chr1:246426431-246427281"	"chr1"	246426431	246427281	""
"chr1:246427282-246428423"	"chr1:246427282-246428423"	"chr1"	246427282	246428423	""
"chr1:246603172-246606094"	"chr1:246603172-246606094"	"chr1"	246603172	246606094	""
"chr1:246618833-246634450"	"chr1:246618833-246634450"	"chr1"	246618833	246634450	""
"chr1:247007110-247008890"	"chr1:247007110-247008890"	"chr1"	247007110	247008890	"ZNF695"
"chr1:247014725-247015011"	"chr1:247014725-247015011"	"chr1"	247014725	247015011	""
"chr1:247015012-247016432"	"chr1:247015012-247016432"	"chr1"	247015012	247016432	""
"chr1:246927746-246935067"	"chr1:246927746-246935067"	"chr1"	246927746	246935067	"AHCTF1"
"chr1:247115929-247123397"	"chr1:247115929-247123397"	"chr1"	247115929	247123397	""
"chr1:247243143-247243432"	"chr1:247243143-247243432"	"chr1"	247243143	247243432	""
"chr1:247243433-247246317"	"chr1:247243433-247246317"	"chr1"	247243433	247246317	""
"chr1:247331039-247332470"	"chr1:247331039-247332470"	"chr1"	247331039	247332470	"ZNF496"
"chr1:247458468-247463076"	"chr1:247458468-247463076"	"chr1"	247458468	247463076	"OR2B11"
"chr1:247482600-247486222"	"chr1:247482600-247486222"	"chr1"	247482600	247486222	"OR2W5"
"chr1:247486223-247490272"	"chr1:247486223-247490272"	"chr1"	247486223	247490272	"OR2W5"
"chr1:247501444-247505468"	"chr1:247501444-247505468"	"chr1"	247501444	247505468	"GCSAML"
"chr1:247507256-247514309"	"chr1:247507256-247514309"	"chr1"	247507256	247514309	"GCSAML"
"chr1:247585971-247588399"	"chr1:247585971-247588399"	"chr1"	247585971	247588399	"OR2G2"
"chr1:247631909-247647820"	"chr1:247631909-247647820"	"chr1"	247631909	247647820	""
"chr1:247680884-247681952"	"chr1:247680884-247681952"	"chr1"	247680884	247681952	"OR13G1"
"chr1:247735877-247738335"	"chr1:247735877-247738335"	"chr1"	247735877	247738335	"OR14K1"
"chr1:247347891-247348964"	"chr1:247347891-247348964"	"chr1"	247347891	247348964	""
"chr1:247074346-247081006"	"chr1:247074346-247081006"	"chr1"	247074346	247081006	"ZNF670-ZNF695;ZNF670"
"chr1:247081007-247089443"	"chr1:247081007-247089443"	"chr1"	247081007	247089443	""
"chr1:247173635-247187154"	"chr1:247173635-247187154"	"chr1"	247173635	247187154	"ZNF124"
"chr1:247200700-247203550"	"chr1:247200700-247203550"	"chr1"	247200700	247203550	"MIR3916"
"chr1:247206066-247206860"	"chr1:247206066-247206860"	"chr1"	247206066	247206860	""
"chr1:247386046-247393128"	"chr1:247386046-247393128"	"chr1"	247386046	247393128	""
"chr1:247338070-247347890"	"chr1:247338070-247347890"	"chr1"	247338070	247347890	""
"chr1:248038001-248044908"	"chr1:248038001-248044908"	"chr1"	248038001	248044908	"OR2L3"
"chr1:248090381-248093415"	"chr1:248090381-248093415"	"chr1"	248090381	248093415	"OR2L13"
"chr1:247762821-247772536"	"chr1:247762821-247772536"	"chr1"	247762821	247772536	""
"chr1:248397001-248402184"	"chr1:248397001-248402184"	"chr1"	248397001	248402184	"OR2T1"
"chr1:247725506-247730348"	"chr1:247725506-247730348"	"chr1"	247725506	247730348	"OR14A2"
"chr1:247738336-247740467"	"chr1:247738336-247740467"	"chr1"	247738336	247740467	"OR14K1"
"chr1:247823802-247827305"	"chr1:247823802-247827305"	"chr1"	247823802	247827305	"OR14A16"
"chr1:247827306-247830515"	"chr1:247827306-247830515"	"chr1"	247827306	247830515	""
"chr1:247838545-247844251"	"chr1:247838545-247844251"	"chr1"	247838545	247844251	"OR11L1"
"chr1:247854130-247856684"	"chr1:247854130-247856684"	"chr1"	247854130	247856684	"TRIM58"
"chr1:247856685-247863218"	"chr1:247856685-247863218"	"chr1"	247856685	247863218	"TRIM58"
"chr1:248851297-248860542"	"chr1:248851297-248860542"	"chr1"	248851297	248860542	"ZNF692"
"chr1:247936436-247937601"	"chr1:247936436-247937601"	"chr1"	247936436	247937601	""
"chr1:248770412-248776855"	"chr1:248770412-248776855"	"chr1"	248770412	248776855	""
"chr1:248835788-248842223"	"chr1:248835788-248842223"	"chr1"	248835788	248842223	"ZNF672"
"chr1:248860543-248861188"	"chr1:248860543-248861188"	"chr1"	248860543	248861188	"ZNF692"
"chr10:930017-931187"	"chr10:930017-931187"	"chr10"	930017	931187	"LOC101927762"
"chr10:931188-942659"	"chr10:931188-942659"	"chr10"	931188	942659	"LOC101927762;LARP4B"
"chr10:983402-997170"	"chr10:983402-997170"	"chr10"	983402	997170	"GTPBP4"
"chr10:1017677-1020753"	"chr10:1017677-1020753"	"chr10"	1017677	1020753	"IDI2-AS1"
"chr10:1020754-1026810"	"chr10:1020754-1026810"	"chr10"	1020754	1026810	"IDI2-AS1;IDI2"
"chr10:1026811-1027213"	"chr10:1026811-1027213"	"chr10"	1026811	1027213	"IDI2"
"chr10:1027214-1031691"	"chr10:1027214-1031691"	"chr10"	1027214	1031691	"IDI2"
"chr10:1046570-1048755"	"chr10:1046570-1048755"	"chr10"	1046570	1048755	"WDR37"
"chr10:1048756-1062635"	"chr10:1048756-1062635"	"chr10"	1048756	1062635	"WDR37;IDI1"
"chr10:3132160-3134300"	"chr10:3132160-3134300"	"chr10"	3132160	3134300	""
"chr10:3134301-3137057"	"chr10:3134301-3137057"	"chr10"	3134301	3137057	""
"chr10:1158468-1161899"	"chr10:1158468-1161899"	"chr10"	1158468	1161899	"LINC00200"
"chr10:3137058-3145153"	"chr10:3137058-3145153"	"chr10"	3137058	3145153	"PITRM1-AS1"
